person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1,A,489602,0.9998,0.9970,1.0000,0.9977,0.9756,-2.4435,-9.1226,-3.1794,0.0133,-0.0610,-0.0195
P1,A,489622,0.9982,1.0000,1.0000,1.0000,0.9774,-2.3232,-9.1280,-3.1405,0.0160,-0.0147,-0.0021
P1,A,489642,0.9941,0.9948,1.0000,0.9980,0.9500,-2.2334,-9.1250,-3.2075,0.0068,-0.0504,-0.0085
P1,A,489662,0.9941,0.9931,0.9856,0.9942,1.0000,-2.4088,-9.0723,-3.1584,0.0088,-0.0410,-0.0128
P1,A,489682,0.9933,0.9948,0.9929,0.9938,1.0000,-2.3214,-9.0819,-3.1279,0.0085,-0.0266,0.0007
P1,A,489702,0.9952,0.9953,1.0000,0.9794,0.9869,-2.2968,-9.1580,-3.1495,0.0120,-0.0357,-0.0028
P1,A,489722,0.9952,0.9940,0.9925,1.0000,0.9352,-2.3322,-9.1274,-3.1710,0.0145,-0.0316,-0.0079
P1,A,489742,0.9960,0.9983,1.0000,0.9848,0.9848,-2.3519,-9.1226,-3.1213,0.0127,-0.0276,-0.0008
P1,A,489762,0.9952,0.9944,0.9934,0.9949,0.9708,-2.2956,-9.1723,-3.1920,-0.0020,-0.0302,-0.0007
P1,A,489782,0.9952,0.9957,0.9994,0.9926,1.0000,-2.4166,-9.1089,-3.1423,0.0037,-0.0211,0.0043
P1,A,489802,0.9960,0.9944,0.9811,0.9961,1.0000,-2.2202,-9.0430,-3.1249,0.0044,-0.0048,0.0084
P1,A,489822,0.9960,0.9944,0.9943,0.9918,0.9878,-2.2789,-9.2035,-3.1351,0.0140,-0.0482,-0.0077
P1,A,489842,0.9956,0.9944,0.9678,0.9670,0.9869,-2.3052,-9.0789,-3.0321,0.0011,-0.0444,-0.0091
P1,A,489862,0.9948,0.9948,1.0000,0.9914,1.0000,-2.3202,-9.1172,-3.0578,0.0238,-0.0374,-0.0129
P1,A,489882,0.9960,0.9935,0.9843,0.9537,0.9830,-2.3459,-9.1382,-3.1261,0.0209,-0.0265,-0.0099
P1,A,489902,0.9948,0.9948,0.9975,0.9953,0.9643,-2.3381,-9.1604,-3.1854,0.0175,-0.0262,-0.0048
P1,A,489922,0.9937,0.9927,0.9934,0.9934,1.0000,-2.3543,-9.0843,-3.1614,0.0051,-0.0197,0.0047
P1,A,489942,0.9952,0.9940,1.0000,0.9949,0.9691,-2.3705,-9.1574,-3.1405,0.0145,-0.0185,0.0105
P1,A,489962,0.9944,0.9979,0.9971,0.9907,1.0000,-2.2759,-9.0687,-3.0878,0.0007,-0.0123,0.0079
P1,A,489982,0.9910,0.9914,1.0000,0.9798,0.9822,-2.3938,-9.1825,-3.1369,0.0201,-0.0052,0.0113
P1,A,490002,0.9937,0.9861,0.9957,0.9965,0.9469,-2.4998,-9.1202,-3.1297,0.0095,0.0454,0.0345
P1,A,490022,0.9963,0.9935,1.0000,0.9984,0.9739,-1.9555,-9.1310,-3.0477,0.0269,0.0574,0.0328
P1,A,490042,0.9944,0.9944,1.0000,0.9763,1.0000,-2.1669,-9.1071,-3.0932,0.0211,-0.0821,-0.0342
P1,A,490062,0.9956,0.9931,1.0000,0.9914,0.9635,-2.5028,-9.1681,-3.1375,0.0452,-0.0497,-0.0293
P1,A,490082,0.9929,0.9931,0.9966,0.9681,0.9843,-2.3357,-9.1849,-3.2201,0.0272,-0.0009,0.0017
P1,A,490102,0.9910,0.9957,0.9911,1.0000,0.9482,-2.2872,-9.1107,-3.1710,0.0072,-0.0384,-0.0015
P1,A,490122,0.9952,0.9944,0.9943,1.0000,0.9322,-2.3507,-9.0640,-3.2045,-0.0057,-0.0702,-0.0184
P1,A,490142,0.9944,0.9927,0.9875,0.9977,0.9774,-2.4118,-9.0035,-3.1405,0.0057,-0.0553,-0.0099
P1,A,490162,0.9944,0.9944,0.9984,1.0000,0.9604,-2.2280,-9.1849,-3.1159,0.0208,-0.0605,-0.0147
P1,A,490182,0.9902,0.9948,0.9929,1.0000,0.9526,-2.2831,-9.1454,-3.1393,0.0137,-0.0773,-0.0353
P1,A,490202,0.9922,0.9935,1.0000,0.9860,1.0000,-2.4435,-9.1310,-3.1830,0.0234,-0.0394,-0.0165
P1,A,490222,0.9941,0.9935,0.9783,0.9949,1.0000,-2.2825,-9.1208,-3.1944,0.0253,0.0120,0.0093
P1,A,490242,0.9944,0.9914,0.9870,0.9930,1.0000,-2.2705,-9.0801,-3.1962,0.0340,-0.0091,0.0011
P1,A,490262,0.9918,0.9948,0.9884,0.9945,1.0000,-2.3639,-9.0520,-3.2081,0.0308,-0.0234,-0.0093
P1,A,490282,0.9941,0.9927,0.9920,1.0000,0.9613,-2.3417,-9.1430,-3.1944,0.0163,-0.0232,0.0007
P1,A,490302,0.9933,0.9905,0.9756,0.9899,0.9839,-2.3136,-9.1627,-3.1716,0.0092,-0.0405,-0.0073
P1,A,490322,0.9933,0.9918,0.9929,1.0000,0.9417,-2.4058,-9.1029,-3.2213,0.0008,-0.0489,-0.0089
P1,A,536302,0.9404,0.9414,0.9619,0.8865,0.0522,-1.0113,-9.3154,-3.2662,-0.0028,-0.0418,0.0020
P1,A,536322,0.9415,0.9427,0.9756,0.8982,0.0000,-1.0837,-9.2663,-3.2399,0.0075,-0.0333,-0.0145
P1,A,536362,0.9423,0.9436,0.9646,0.8916,0.0135,-1.2221,-9.3549,-3.1985,-0.0024,-0.0492,-0.0270
P1,A,536382,0.9396,0.9414,0.9628,0.9024,0.0705,-1.3532,-9.3591,-3.1830,-0.0149,-0.0380,-0.0184
P1,A,536402,0.9412,0.9427,0.9614,0.8873,0.0527,-1.2640,-9.3047,-3.1057,-0.0052,-0.0400,0.0052
P1,A,536422,0.9404,0.9419,0.9399,0.8826,0.0109,-1.2041,-9.3238,-3.0710,0.0133,-0.0441,0.0104
P1,A,536442,0.9358,0.9384,0.9641,0.8935,0.0000,-1.1304,-9.3711,-3.1387,0.0208,-0.0498,0.0017
P1,A,536462,0.9389,0.9432,0.9641,0.9079,0.0600,-1.1520,-9.3549,-3.2033,0.0108,-0.0570,-0.0032
P1,A,536482,0.9400,0.9401,0.9829,0.8869,0.0131,-1.0837,-9.2544,-3.1914,0.0124,-0.0541,-0.0083
P1,A,536502,0.9396,0.9406,0.9628,0.8881,0.0553,-1.1712,-9.3567,-3.2369,0.0148,-0.0592,-0.0105
P1,A,536522,0.9404,0.9414,0.9669,0.9094,0.0461,-1.1783,-9.3484,-3.2081,0.0132,-0.0340,-0.0056
P1,A,536542,0.9393,0.9388,0.9788,0.8896,0.0370,-1.0616,-9.3436,-3.1842,0.0143,-0.0230,-0.0009
P1,A,536562,0.9396,0.9388,0.9605,0.8869,0.0000,-1.0670,-9.3424,-3.2111,-0.0011,-0.0450,-0.0101
P1,A,536582,0.9404,0.9414,0.9623,0.8896,0.0000,-1.1987,-9.2657,-3.1854,0.0027,-0.0396,-0.0144
P1,A,536602,0.9393,0.9419,0.9637,0.8958,0.0144,-1.1478,-9.3094,-3.1788,0.0172,-0.0272,-0.0147
P1,A,536622,0.9404,0.9410,0.9605,0.8892,0.0131,-1.1879,-9.3412,-3.1584,0.0192,-0.0298,-0.0097
P1,A,536642,0.9362,0.9414,0.9404,0.8955,0.0000,-1.1586,-9.3597,-3.1991,0.0139,-0.0222,-0.0071
P1,A,536662,0.9408,0.9427,0.9596,0.8916,0.0000,-1.1616,-9.2999,-3.1842,0.0075,-0.0157,-0.0031
P1,A,536682,0.9381,0.9423,0.9651,0.8721,0.0018,-1.1999,-9.2568,-3.1650,0.0177,-0.0256,-0.0037
P1,A,536702,0.9400,0.9401,0.9577,0.8888,0.0266,-1.1837,-9.3166,-3.1812,0.0257,-0.0188,-0.0067
P1,A,536722,0.9408,0.9406,0.9801,0.8896,0.0000,-1.2251,-9.3993,-3.2183,0.0172,-0.0242,-0.0047
P1,A,536742,0.9396,0.9427,0.9641,0.8853,0.0157,-1.2131,-9.2993,-3.1991,0.0009,-0.0208,0.0003
P1,A,536762,0.9393,0.9432,0.9692,0.9001,0.0483,-1.1203,-9.2927,-3.1884,0.0041,-0.0348,-0.0057
P1,A,536782,0.9396,0.9249,0.9582,0.8982,0.0000,-1.1310,-9.2747,-3.1896,0.0161,-0.0695,-0.0167
P1,A,536802,0.9419,0.9436,0.9490,0.8686,0.0431,-1.2358,-9.3891,-3.2524,0.0057,-0.0526,-0.0109
P1,A,536822,0.9370,0.9419,0.9577,0.8702,0.0000,-1.1400,-9.2831,-3.1608,-0.0119,-0.0294,-0.0023
P1,A,536842,0.9415,0.9427,0.9733,0.8881,0.0457,-1.1071,-9.2945,-3.1602,0.0076,-0.0420,-0.0075
P1,A,536862,0.9400,0.9445,0.9769,0.8628,0.0000,-1.1993,-9.2837,-3.1764,0.0189,-0.0541,-0.0155
P1,A,536882,0.9400,0.9410,0.9564,0.8955,0.0014,-1.2825,-9.3484,-3.2441,0.0246,-0.0140,-0.0053
P1,A,536902,0.9389,0.9393,0.9559,0.8978,0.0179,-1.1454,-9.3047,-3.2554,-0.0035,-0.0048,0.0083
P1,A,536922,0.9400,0.9379,0.9596,0.8912,0.0000,-1.1478,-9.2807,-3.2081,-0.0023,-0.0453,-0.0035
P1,A,536942,0.9408,0.9393,0.9609,0.8989,0.0000,-1.1664,-9.3047,-3.1788,0.0053,-0.0509,-0.0113
P1,A,536962,0.9400,0.9384,0.9381,0.9176,0.0457,-1.2406,-9.3172,-3.1465,0.0104,-0.0285,-0.0021
P1,A,536982,0.9381,0.9397,0.9577,0.8970,0.0000,-1.0885,-9.3633,-3.1483,0.0059,-0.0088,0.0075
P1,A,537002,0.9396,0.9393,0.9614,0.8951,0.0522,-1.1071,-9.3358,-3.1770,0.0023,-0.0314,-0.0009
P1,A,537022,0.9404,0.9406,0.9513,0.8904,0.0392,-1.0873,-9.2669,-3.1423,0.0164,-0.0332,-0.0091
P1,A,537042,0.9389,0.9401,0.9641,0.8935,0.0479,-1.1610,-9.3957,-3.1932,0.0224,-0.0350,-0.0199
P1,A,537062,0.9366,0.9393,0.9628,0.8989,0.0157,-1.1640,-9.3082,-3.1536,0.0063,-0.0313,-0.0175
P1,A,537082,0.9389,0.9388,0.9596,0.9114,0.0670,-1.2143,-9.3394,-3.1979,0.0121,-0.0324,-0.0124
P1,A,537102,0.9396,0.9414,0.9564,0.8791,0.0083,-1.2173,-9.2436,-3.2117,0.0124,-0.0290,-0.0072
P1,A,537122,0.9400,0.9401,0.9573,0.9063,0.0540,-1.2316,-9.3537,-3.2447,0.0113,-0.0329,-0.0051
P1,A,537142,0.9389,0.9393,0.9596,0.8815,0.0948,-1.1706,-9.3292,-3.1866,0.0023,-0.0369,-0.0088
P1,A,537162,0.9415,0.9384,0.9664,0.9114,0.0444,-1.1676,-9.3424,-3.1590,-0.0004,-0.0425,-0.0091
P1,A,537182,0.9404,0.9410,0.9619,0.9079,0.0409,-1.2544,-9.2993,-3.1363,0.0001,-0.0364,-0.0065
P1,A,537202,0.9385,0.9401,0.9637,0.9009,0.0583,-1.1778,-9.3148,-3.1327,0.0213,-0.0137,-0.0024
P1,A,537222,0.9389,0.9423,0.9426,0.9094,0.0513,-1.0939,-9.3196,-3.1794,0.0233,-0.0497,-0.0080
P1,A,537242,0.9393,0.9401,0.9586,0.9044,0.0974,-1.2143,-9.3220,-3.1662,0.0117,-0.0626,-0.0180
P1,A,537262,0.9354,0.9419,0.9792,0.8970,0.0118,-1.2574,-9.3346,-3.1704,0.0117,-0.0386,-0.0080
P1,A,537282,0.9415,0.9371,0.9623,0.8970,0.0618,-1.1754,-9.3053,-3.2033,0.0037,-0.0382,-0.0036
P1,A,537302,0.9393,0.9401,0.9605,0.8570,0.0605,-1.1981,-9.2520,-3.1818,0.0085,-0.0570,-0.0144
P1,A,537322,0.9385,0.9388,0.9619,0.9021,0.0557,-1.2562,-9.3693,-3.1758,0.0226,-0.0592,-0.0123
P1,A,537342,0.9385,0.9393,0.9637,0.9106,0.0444,-1.1676,-9.3304,-3.2033,0.0101,-0.0534,-0.0065
P1,A,537362,0.9358,0.9410,0.9646,0.8974,0.0248,-1.1801,-9.3274,-3.1698,0.0137,-0.0466,-0.0051
P1,A,537382,0.9408,0.9410,0.9605,0.9024,0.0605,-1.1748,-9.2945,-3.1626,0.0101,-0.0197,0.0027
P1,A,537402,0.9393,0.9401,0.9632,0.9013,0.0787,-1.1281,-9.2358,-3.1506,0.0200,-0.0237,0.0007
P1,A,537422,0.9385,0.9388,1.0000,0.8955,0.0000,-1.1754,-9.3244,-3.2375,0.0337,-0.0374,-0.0143
P1,A,537442,0.9404,0.9401,0.9550,0.8772,0.0748,-1.2406,-9.3627,-3.2967,0.0113,-0.0374,-0.0145
P1,A,537462,0.9400,0.9410,0.9541,0.9040,0.0600,-1.2442,-9.3226,-3.2961,-0.0089,-0.0265,-0.0001
P1,A,537482,0.9389,0.9414,0.9673,0.8900,0.0457,-1.2316,-9.2777,-3.1818,-0.0073,-0.0148,0.0029
P1,A,537502,0.9419,0.9401,0.9596,0.8966,0.1057,-1.1221,-9.3418,-3.1261,0.0077,-0.0298,0.0033
P1,A,537522,0.9377,0.9388,0.9619,0.8908,0.1148,-1.1376,-9.3094,-3.1297,0.0121,-0.0445,-0.0100
P1,A,537542,0.9393,0.9397,0.9605,0.9063,0.0905,-1.1754,-9.3334,-3.1279,0.0208,-0.0306,-0.0088
P1,A,537562,0.9381,0.9388,0.9577,0.8857,0.0000,-1.1616,-9.3891,-3.1650,0.0169,-0.0200,-0.0107
P1,A,537582,0.9396,0.9379,0.9527,0.8896,0.0018,-1.1616,-9.3466,-3.1596,0.0104,-0.0329,-0.0120
P1,A,537602,0.9408,0.9393,0.9591,0.9110,0.0900,-1.2346,-9.2897,-3.1938,0.0215,-0.0462,-0.0152
P1,A,537622,0.9393,0.9406,0.9591,0.8772,0.0118,-1.2586,-9.3023,-3.1728,0.0297,-0.0318,-0.0087
P1,A,537642,0.9404,0.9353,0.9605,0.8764,0.0640,-1.2478,-9.3466,-3.2111,0.0294,-0.0304,-0.0071
P1,A,537662,0.9385,0.9393,0.9692,0.9028,0.0000,-1.1855,-9.3508,-3.2153,0.0101,-0.0381,-0.0052
P1,A,537682,0.9431,0.9397,0.9605,0.8923,0.0135,-1.2101,-9.3058,-3.2177,0.0091,-0.0485,-0.0048
P1,A,537702,0.9396,0.9306,0.9440,0.8853,0.0000,-1.1628,-9.3058,-3.1997,0.0083,-0.0393,-0.0033
P1,A,537722,0.9377,0.9406,0.9815,0.9036,0.0757,-1.1754,-9.3082,-3.2093,0.0011,-0.0502,-0.0068
P1,A,537742,0.9404,0.9384,0.9632,0.8892,0.0496,-1.2077,-9.3029,-3.2219,0.0075,-0.0344,-0.0035
P1,A,537762,0.9393,0.9379,0.9436,0.9044,0.0000,-1.1299,-9.2729,-3.1548,0.0127,-0.0250,-0.0029
P1,A,537782,0.9240,0.9388,0.9596,0.8877,0.0000,-1.1233,-9.3496,-3.1956,0.0220,-0.0394,-0.0133
P1,A,537802,0.9389,0.9254,0.9628,0.8943,0.0557,-1.2514,-9.3418,-3.2225,0.0113,-0.0422,-0.0143
P1,A,537822,0.9374,0.9379,0.9527,0.8791,0.0000,-1.2646,-9.3100,-3.1794,0.0067,-0.0229,-0.0085
P1,A,537842,0.9408,0.9384,0.9554,0.8842,0.0000,-1.1682,-9.3035,-3.1806,0.0168,-0.0314,-0.0095
P1,A,537862,0.9389,0.9384,0.9605,0.8904,0.0653,-1.2448,-9.3268,-3.1866,0.0137,-0.0637,-0.0160
P1,A,537882,0.9389,0.9397,0.9532,0.8912,0.0000,-1.2981,-9.3496,-3.1920,0.0029,-0.0537,-0.0087
P1,A,537902,0.9370,0.9401,0.9623,0.9005,0.0000,-1.1855,-9.2388,-3.1447,0.0007,-0.0390,-0.0017
P1,A,537922,0.9396,0.9393,0.9477,0.8822,0.0222,-1.2017,-9.3759,-3.1429,0.0047,-0.0554,-0.0045
P1,A,537942,0.9343,0.9401,0.9568,0.8986,0.0000,-1.2418,-9.2789,-3.1267,0.0095,-0.0590,-0.0092
P1,A,537962,0.9404,0.9397,0.9619,0.8923,0.0818,-1.2430,-9.2987,-3.1459,0.0240,-0.0340,-0.0009
P1,A,537982,0.9385,0.9397,0.9788,0.8920,0.0087,-1.1760,-9.3484,-3.2321,0.0226,-0.0224,0.0027
P1,A,538002,0.9381,0.9349,0.9591,0.8947,0.0000,-1.1664,-9.3370,-3.2967,0.0068,-0.0462,-0.0020
P1,A,538022,0.9374,0.9401,0.9568,0.8888,0.0000,-1.2310,-9.2699,-3.2878,-0.0039,-0.0457,-0.0024
P1,A,538042,0.9354,0.9371,0.9577,0.9009,0.0000,-1.1873,-9.2939,-3.2105,0.0009,-0.0332,0.0033
P1,A,538062,0.9381,0.9379,0.9669,0.9048,0.0161,-1.1107,-9.3418,-3.1968,0.0065,-0.0330,0.0043
P1,A,538082,0.9339,0.9388,0.9605,0.9145,0.0474,-1.0808,-9.3011,-3.1632,-0.0004,-0.0274,-0.0008
P1,A,538102,0.9385,0.9466,0.9596,0.8834,0.0000,-1.0556,-9.3244,-3.1704,0.0127,-0.0272,-0.0181
P1,A,538122,0.9324,0.9440,0.9609,0.8916,0.0000,-1.2083,-9.3262,-3.1279,0.0096,-0.0270,-0.0192
P1,A,538142,0.9385,0.9388,0.9586,0.8931,0.0000,-1.2724,-9.3310,-3.1453,0.0092,-0.0269,-0.0103
P1,A,538162,0.9381,0.9375,0.9559,0.9001,0.0000,-1.2664,-9.3567,-3.1818,0.0188,-0.0381,-0.0073
P1,A,538182,0.9385,0.9419,0.9582,0.9079,0.0527,-1.2724,-9.3190,-3.1626,0.0161,-0.0353,-0.0053
P1,A,538202,0.9423,0.9384,0.9605,0.9176,0.0157,-1.2508,-9.2771,-3.2003,0.0201,-0.0344,-0.0008
P1,A,538222,0.9389,0.9388,0.9559,0.8815,0.0000,-1.2556,-9.3352,-3.2351,0.0156,-0.0494,-0.0009
P1,A,538242,0.9381,0.9388,0.9568,0.8578,0.0579,-1.2556,-9.3100,-3.2201,0.0096,-0.0490,0.0037
P1,A,538262,0.9404,0.9375,0.9513,0.9036,0.0000,-1.2131,-9.3406,-3.1890,0.0183,-0.0477,0.0072
P1,A,538282,0.9377,0.9375,0.9582,0.9024,0.0000,-1.1652,-9.3118,-3.1818,0.0032,-0.0322,0.0164
P1,A,538302,0.9381,0.9414,0.9600,0.9067,0.0427,-1.1251,-9.3118,-3.1566,0.0080,-0.0253,0.0195
P1,A,538322,0.9259,0.9397,0.9623,0.8989,0.0505,-1.0239,-9.2621,-3.1506,0.0175,-0.0410,0.0043
P1,A,538342,0.9385,0.9379,0.9513,0.8888,0.0000,-1.1544,-9.3112,-3.1920,0.0246,-0.0604,-0.0168
