person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1BACK,BACKSPACE,409863,0.9944,0.9963,1.0000,1.0000,0.9509,-2.4609,-8.7179,-3.1758,0.0376,0.0951,-0.1536
P1BACK,BACKSPACE,409883,0.9912,0.9942,0.9937,0.9834,0.9465,-3.2369,-8.6251,-3.4015,-0.0369,-0.0157,-0.1563
P1BACK,BACKSPACE,409903,0.9900,0.9927,1.0000,0.9789,0.9367,-3.8769,-8.5161,-3.6776,-0.0949,-0.1066,-0.0943
P1BACK,BACKSPACE,409923,0.9936,0.9952,0.9984,1.0000,0.9714,-3.8548,-8.9346,-4.0446,-0.1507,-0.1581,0.0116
P1BACK,BACKSPACE,409943,0.9920,0.9958,1.0000,0.9731,0.9924,-3.1890,-9.3232,-3.9398,-0.1916,-0.1947,0.0925
P1BACK,BACKSPACE,409963,0.9908,0.9952,0.9819,0.9856,0.9523,-2.3495,-9.5992,-3.4584,-0.1514,-0.1502,0.1339
P1BACK,BACKSPACE,409983,0.9859,0.9947,0.9860,1.0000,0.9202,-1.3741,-9.7148,-2.9004,-0.0770,-0.0360,0.1456
P1BACK,BACKSPACE,410003,0.9912,0.9932,0.9860,1.0000,1.0000,-0.5772,-9.3029,-2.3136,0.0205,0.0580,0.0517
P1BACK,BACKSPACE,410023,0.9900,0.9932,0.9943,0.9856,1.0000,-0.9011,-8.7771,-2.4351,0.1388,0.0810,-0.1186
P1BACK,BACKSPACE,410043,0.9920,0.9927,0.9866,1.0000,0.9055,-2.3196,-8.3227,-3.1339,0.1759,0.0400,-0.2372
P1BACK,BACKSPACE,410063,0.9912,0.9932,0.9807,0.9963,1.0000,-3.7518,-8.1670,-3.9913,0.1171,-0.0085,-0.2148
P1BACK,BACKSPACE,410083,0.9900,0.9942,0.9890,1.0000,1.0000,-4.2254,-8.3269,-4.2925,-0.0226,-0.0469,-0.0690
P1BACK,BACKSPACE,410103,0.9904,0.9942,0.9848,0.9959,1.0000,-3.6207,-8.5329,-3.8446,-0.1120,-0.0665,0.1094
P1BACK,BACKSPACE,410123,0.9859,0.9947,0.9842,0.9932,1.0000,-2.3968,-8.9232,-3.1764,-0.1315,-0.0637,0.1955
P1BACK,BACKSPACE,410143,0.9847,0.9907,0.9878,0.9758,0.9652,-1.5065,-9.0005,-2.7291,-0.0993,-0.0494,0.1903
P1BACK,BACKSPACE,410163,0.9896,0.9922,0.9629,1.0000,0.9238,-0.9646,-9.0795,-2.5279,-0.0217,0.0200,0.1083
P1BACK,BACKSPACE,410183,0.9908,0.9942,0.9860,1.0000,0.9545,-1.2646,-9.0382,-2.6938,0.0325,0.0465,0.0063
P1BACK,BACKSPACE,410203,0.9900,0.9912,0.9860,0.9717,0.9429,-2.3651,-9.0717,-3.2375,0.0249,0.0024,-0.0578
P1BACK,BACKSPACE,410223,0.9888,0.9927,0.9848,0.9901,1.0000,-3.3207,-9.0053,-3.6410,0.0004,-0.0333,-0.0512
P1BACK,BACKSPACE,410243,0.9896,0.9932,0.9913,0.9758,1.0000,-3.7889,-9.3819,-3.7476,-0.0338,-0.0762,0.0449
P1BACK,BACKSPACE,410263,0.9884,0.9907,0.9896,0.9713,1.0000,-3.2926,-9.5669,-3.4961,-0.0520,-0.0745,0.1511
P1BACK,BACKSPACE,410283,0.9876,0.9922,0.9848,1.0000,0.9879,-2.2765,-9.7094,-3.2363,-0.0128,-0.0473,0.1791
P1BACK,BACKSPACE,410303,0.9888,0.9937,0.9842,0.9722,1.0000,-1.5334,-9.6190,-3.0722,0.0257,-0.0249,0.1116
P1BACK,BACKSPACE,410323,0.9892,0.9855,0.9825,1.0000,0.9541,-1.1005,-9.3675,-2.8381,0.0737,0.0394,0.0000
P1BACK,BACKSPACE,410343,0.9892,0.9932,0.9884,0.9990,1.0000,-1.2993,-8.7275,-2.7884,0.1119,0.0973,-0.0997
P1BACK,BACKSPACE,410363,0.9863,0.9901,0.9730,0.9798,0.9616,-2.0304,-8.8538,-3.5045,0.1263,0.0725,-0.1704
P1BACK,BACKSPACE,410383,0.9888,0.9927,0.9736,0.9664,0.9888,-3.0986,-8.5137,-3.8021,0.0197,-0.0317,-0.1660
P1BACK,BACKSPACE,410403,0.9880,0.9901,1.0000,1.0000,0.9915,-3.6644,-8.8562,-3.8692,-0.0119,-0.0725,-0.0445
P1BACK,BACKSPACE,410423,0.9880,0.9927,0.9813,0.9990,1.0000,-3.1255,-9.0903,-3.7638,-0.0493,-0.0609,0.0939
P1BACK,BACKSPACE,410443,0.9904,0.9942,1.0000,0.9923,1.0000,-2.3345,-9.3172,-3.5129,-0.0718,-0.0697,0.1439
P1BACK,BACKSPACE,410463,0.9892,0.9871,0.9854,1.0000,0.9585,-1.5963,-9.4334,-3.0620,-0.0526,-0.0462,0.1182
P1BACK,BACKSPACE,410483,0.9859,0.9942,0.9860,0.9771,0.9598,-1.0370,-9.1023,-2.5202,0.0055,0.0358,0.0586
P1BACK,BACKSPACE,410503,0.9896,0.9907,0.9842,1.0000,0.9451,-1.0275,-8.7550,-2.6423,0.1077,0.1102,-0.0305
P1BACK,BACKSPACE,422763,0.0000,0.0000,0.0000,0.0000,0.1508,-2.1543,-10.0441,-0.6065,0.4732,0.3866,0.0815
P1BACK,BACKSPACE,422803,0.0000,0.0000,0.0000,0.0000,0.1258,-1.7729,-9.8980,-1.4137,0.4730,0.5433,0.1743
P1BACK,BACKSPACE,422823,0.0000,0.0000,0.0000,0.0000,0.1681,-1.5005,-9.9783,-1.7310,0.3942,0.5816,0.2188
P1BACK,BACKSPACE,422843,0.0000,0.0000,0.0000,0.0000,0.1436,-1.3232,-9.9591,-1.8466,0.2649,0.5339,0.2085
P1BACK,BACKSPACE,422863,0.0000,0.0000,0.0000,0.0000,0.1249,-1.3688,-10.0375,-1.9681,0.1215,0.4806,0.1668
P1BACK,BACKSPACE,422883,0.0000,0.0000,0.0000,0.0000,0.1762,-1.1484,-10.0256,-1.7490,0.0041,0.3941,0.1015
P1BACK,BACKSPACE,422903,0.0000,0.0000,0.0000,0.0000,0.0826,-1.1610,-10.0579,-1.5783,-0.0442,0.2819,0.0020
P1BACK,BACKSPACE,422923,0.0000,0.0000,0.0000,0.0000,0.0857,-1.1921,-10.0190,-1.3562,-0.0814,0.2338,-0.0962
P1BACK,BACKSPACE,422943,0.0000,0.0000,0.0000,0.0000,0.0902,-0.9023,-9.9280,-1.0843,-0.0759,0.1555,-0.1860
P1BACK,BACKSPACE,422963,0.0000,0.0000,0.0000,0.0000,0.0706,-0.7035,-9.6088,-0.8915,-0.0246,-0.0092,-0.2615
P1BACK,BACKSPACE,422983,0.0000,0.0000,0.0000,0.0000,0.0732,-0.7209,-9.4100,-0.9167,0.0528,-0.1801,-0.3186
P1BACK,BACKSPACE,423003,0.0000,0.0000,0.0000,0.0000,0.0893,-0.4988,-9.4130,-1.1059,0.0749,-0.3535,-0.3264
P1BACK,BACKSPACE,423023,0.0000,0.0000,0.0000,0.0000,0.0968,-0.5760,-9.2232,-1.2011,0.0380,-0.5477,-0.3389
P1BACK,BACKSPACE,423043,0.0000,0.0000,0.0000,0.0000,0.0821,-0.7161,-8.9382,-1.0778,0.0441,-0.7484,-0.3695
P1BACK,BACKSPACE,423063,0.0000,0.0000,0.0000,0.0000,0.1227,-0.5347,-8.7933,-1.0311,0.1152,-1.1531,-0.4791
P1BACK,BACKSPACE,423083,0.0000,0.0000,0.0000,0.0000,0.2064,-0.4784,-8.7257,-1.2460,0.2080,-1.9374,-0.7328
P1BACK,BACKSPACE,423103,0.0000,0.0000,0.0000,0.0000,0.1343,-1.5334,-8.3215,-2.0058,0.2927,-2.6717,-1.0228
P1BACK,BACKSPACE,423123,0.0000,0.0000,0.0000,0.0000,0.0973,-2.8986,-8.2095,-2.3693,0.4062,-2.9322,-1.0738
P1BACK,BACKSPACE,423143,0.0000,0.0000,0.0000,0.0000,0.1606,-4.0410,-8.5011,-3.1051,0.3706,-2.5552,-0.8507
P1BACK,BACKSPACE,423163,0.0000,0.0000,0.0000,0.0000,0.1294,-3.7638,-8.9795,-3.1950,0.1067,-1.9825,-0.2907
P1BACK,BACKSPACE,423183,0.0000,0.0000,0.0000,0.0000,0.1369,-3.3009,-9.6615,-3.5991,-0.4736,-1.2368,0.2883
P1BACK,BACKSPACE,423203,0.0000,0.0000,0.0000,0.0000,0.0986,-2.5297,-9.9094,-3.6925,-1.3559,-0.6021,1.1237
P1BACK,BACKSPACE,423223,0.0000,0.0000,0.0000,0.0000,0.1521,-2.6597,-10.2818,-4.2170,-2.4309,0.0715,2.2231
P1BACK,BACKSPACE,423243,0.0000,0.0000,0.0000,0.0000,0.0888,-2.0453,-9.5471,-4.0566,-3.6127,0.6652,3.4780
P1BACK,BACKSPACE,423263,0.0000,0.0000,0.0000,0.0000,0.1066,-2.0154,-9.2484,-4.4278,-4.3657,1.3526,4.3656
P1BACK,BACKSPACE,423283,0.0000,0.0000,0.0000,0.0000,0.1525,-3.4656,-7.9946,-2.9728,-4.3657,2.6998,4.3656
P1BACK,BACKSPACE,423303,0.0000,0.0000,0.0000,0.0000,0.1169,-4.6062,-6.6378,-3.5350,-4.3657,4.3656,4.3656
P1BACK,BACKSPACE,423323,0.0000,0.0000,0.0000,0.0000,0.0960,-1.4945,-6.6719,-5.8666,-4.3657,4.3656,4.3656
P1BACK,BACKSPACE,423343,0.0000,0.0000,0.0000,0.0000,0.1352,6.4282,-5.2074,-8.1407,-4.3657,4.3656,3.6163
P1BACK,BACKSPACE,423363,0.0000,0.0000,0.0000,0.0000,0.1806,11.1057,-4.4661,-9.5436,-4.3657,4.3656,1.1145
P1BACK,BACKSPACE,423383,0.0000,0.0000,0.0000,0.0000,0.1218,12.9373,-4.0308,-11.0033,-4.3657,4.3656,-0.3328
