person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1B,B,639142,0.9956,0.9968,1.0000,1.0000,0.9426,-1.8382,-9.5454,-1.4208,0.0264,-0.0417,-0.0192
P1B,B,639162,0.9953,0.9968,1.0000,0.9919,0.9636,-1.9783,-9.6286,-1.4807,0.0370,-0.0557,-0.0386
P1B,B,639182,0.9975,0.9981,0.9974,0.9896,1.0000,-1.9951,-9.5196,-1.4807,0.0369,-0.0332,-0.0233
P1B,B,639202,0.9960,0.9938,0.9961,0.9973,1.0000,-1.8885,-9.4585,-1.5592,0.0342,-0.0332,-0.0151
P1B,B,639222,0.9942,0.9955,0.9755,1.0000,0.9759,-1.9472,-9.4717,-1.5741,0.0260,-0.0336,-0.0232
P1B,B,639242,0.9953,0.9955,0.9939,0.9923,0.9422,-2.0837,-9.3549,-1.5574,0.0091,-0.0222,-0.0068
P1B,B,639262,0.9960,0.9947,1.0000,1.0000,1.0000,-2.0148,-9.4400,-1.5412,0.0173,-0.0067,0.0187
P1B,B,639282,0.9949,0.9943,0.9895,1.0000,0.9597,-1.8573,-9.4735,-1.5214,0.0036,-0.0328,0.0069
P1B,B,639302,0.9953,0.9921,0.9900,1.0000,0.9312,-2.0004,-9.5298,-1.5532,0.0009,-0.0588,-0.0107
P1B,B,639322,0.9930,0.9968,0.9952,1.0000,0.9444,-2.0591,-9.6052,-1.5675,0.0033,-0.0342,-0.0052
P1B,B,639342,0.9971,0.9943,0.9970,1.0000,0.9225,-2.0130,-9.5621,-1.5657,-0.0061,-0.0258,0.0045
P1B,B,639362,0.9964,0.9938,0.9917,0.9778,1.0000,-1.9633,-9.6663,-1.5514,-0.0075,-0.0476,-0.0057
P1B,B,639382,0.9942,0.9943,0.9944,0.9846,0.9470,-2.0657,-9.5867,-1.5148,-0.0181,-0.0584,-0.0153
P1B,B,639402,0.9927,0.9968,0.9895,0.9931,0.9435,-2.0795,-9.5489,-1.4382,0.0021,-0.0272,-0.0017
P1B,B,639422,0.9942,0.9951,0.9922,0.9984,1.0000,-1.8963,-9.6477,-1.4448,0.0109,-0.0180,0.0096
P1B,B,639442,0.9953,0.9938,0.9922,0.9701,0.9501,-1.8364,-9.5148,-1.3987,0.0113,-0.0329,0.0003
P1B,B,639462,0.9938,0.9951,0.9786,0.9885,1.0000,-1.8807,-9.5717,-1.4885,0.0354,-0.0358,-0.0156
