person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1C,C,797182,0.9897,0.9951,0.9910,0.9955,0.9455,-0.9149,-9.6723,-1.9400,0.0394,-0.0104,-0.0021
P1C,C,797202,0.9890,0.9900,0.9942,1.0000,0.9314,-1.1149,-9.6370,-1.9244,0.0694,-0.0321,-0.0300
P1C,C,797222,0.9894,0.9866,0.9887,0.9989,0.9546,-1.2771,-9.5669,-2.1106,0.1029,-0.0458,-0.0172
P1C,C,797242,0.9921,0.9908,0.9924,1.0000,0.9683,-1.2017,-9.6304,-2.4615,0.1025,-0.0436,0.0153
P1C,C,797262,0.9870,0.9913,0.9946,1.0000,0.9719,-0.9856,-9.5855,-2.5974,0.0751,-0.0758,0.0183
P1C,C,797282,0.9905,0.9934,0.9982,0.9898,1.0000,-1.0376,-9.5537,-2.5196,0.0649,-0.1176,0.0088
P1C,C,797302,0.9870,0.9913,1.0000,0.9867,0.9346,-1.0077,-9.5316,-2.4184,0.0657,-0.1138,0.0377
P1C,C,797322,0.9870,0.9917,0.9955,0.9905,0.9560,-0.8005,-9.5184,-2.3741,0.0846,-0.0854,0.0580
P1C,C,797342,0.9890,0.9921,0.9910,0.9814,1.0000,-0.5952,-9.5843,-2.4471,0.0850,-0.0750,0.0350
P1C,C,797362,0.9866,0.9904,1.0000,1.0000,1.0000,-0.6898,-9.4274,-2.5621,0.0620,-0.0901,-0.0056
P1C,C,797382,0.9870,0.9908,0.9942,0.9723,1.0000,-0.8359,-9.3987,-2.6381,0.0500,-0.0758,-0.0072
P1C,C,797402,0.9866,0.9908,0.9969,0.9780,0.9514,-0.7239,-9.4064,-2.7058,0.0317,-0.0550,-0.0049
P1C,C,797422,0.9932,0.9896,1.0000,0.9932,0.9706,-0.7347,-9.4454,-2.7908,0.0220,-0.0722,-0.0209
P1C,C,797442,0.9878,0.9908,0.9779,0.9818,0.9729,-0.8616,-9.4675,-2.7992,0.0043,-0.0586,-0.0217
P1C,C,797462,0.9870,0.9874,0.9915,0.9856,1.0000,-0.8335,-9.4094,-2.7201,0.0168,-0.0270,-0.0045
P1C,C,797482,0.9859,0.9913,0.9915,1.0000,0.9815,-0.7598,-9.5513,-2.6962,0.0043,-0.0280,0.0083
P1C,C,797502,0.9882,0.9908,0.9906,0.9989,1.0000,-0.7688,-9.5609,-2.5639,-0.0252,-0.0230,-0.0091
P1C,C,797522,0.9886,0.9900,0.9924,1.0000,0.9578,-0.8622,-9.5549,-2.3956,-0.0536,-0.0093,-0.0113
P1C,C,797542,0.9882,0.9908,1.0000,1.0000,1.0000,-0.8724,-9.5148,-2.2693,-0.0545,0.0011,-0.0152
P1C,C,797562,0.9863,0.9883,0.9856,0.9658,1.0000,-1.0089,-9.6861,-2.3357,-0.0181,-0.0111,-0.0340
P1C,C,797582,0.9847,0.9891,0.9919,1.0000,0.9674,-1.1155,-9.7567,-2.3573,-0.0104,-0.0244,-0.0289
P1C,C,797602,0.9870,0.9874,0.9933,0.9905,0.9560,-1.1137,-9.5765,-2.2729,0.0133,-0.0496,0.0079
P1C,C,797622,0.9863,0.9921,0.9874,0.9860,1.0000,-0.7844,-9.5082,-2.4004,0.0318,-0.0402,0.0461
P1C,C,797642,0.9866,0.9883,0.9887,0.9883,0.9610,-0.5676,-9.5501,-2.5411,0.0208,-0.0504,0.0237
P1C,C,797662,0.9800,0.9900,0.9906,0.9905,0.9109,-0.5724,-9.5190,-2.4974,-0.0100,-0.0632,-0.0261
P1C,C,797682,0.9859,0.9870,0.9928,1.0000,0.9469,-0.7856,-9.4957,-2.5507,-0.0205,-0.0454,-0.0496
P1C,C,797702,0.9859,0.9891,1.0000,0.9985,0.9770,-0.8251,-9.5046,-2.5483,-0.0313,-0.0137,-0.0344
P1C,C,797722,0.9855,0.9883,0.9928,0.9902,1.0000,-0.6742,-9.5064,-2.4866,-0.0366,-0.0260,-0.0560
P1C,C,797742,0.9855,0.9878,0.9883,0.9978,1.0000,-0.9856,-9.5244,-2.4980,-0.0249,-0.0646,-0.0774
P1C,C,797762,0.9863,0.9887,0.9982,1.0000,0.8972,-1.0682,-9.5298,-2.4782,-0.0169,-0.0229,-0.0436
P1C,C,797782,0.9851,0.9878,0.9901,1.0000,0.9510,-0.9137,-9.5501,-2.4878,-0.0215,-0.0047,-0.0276
P1C,C,797802,0.9843,0.9887,0.9915,0.9955,1.0000,-1.0215,-9.5615,-2.5100,-0.0376,-0.0397,-0.0442
P1C,C,797822,0.9894,0.9883,0.9928,0.9883,0.9464,-1.1281,-9.5304,-2.4339,-0.0546,-0.0318,-0.0409
P1C,C,797842,0.9960,0.9857,0.9896,0.9852,1.0000,-1.1167,-9.5693,-2.3142,-0.0581,-0.0282,-0.0317
P1C,C,797862,0.9859,0.9866,0.9793,0.9837,0.9523,-1.2424,-9.5825,-2.2483,-0.0512,-0.0369,-0.0294
P1C,C,797882,0.9859,0.9866,0.9860,0.9708,0.9510,-1.1981,-9.5974,-2.1316,-0.0305,-0.0364,-0.0196
