person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1D,D,42803,0.9951,0.9917,1.0000,0.9826,0.9856,-1.1161,-9.6040,-2.2525,0.0036,-0.0538,-0.0183
P1D,D,42823,0.9958,1.0000,1.0000,0.9938,0.9682,-1.2149,-9.5795,-2.2142,0.0072,-0.0605,-0.0236
P1D,D,42843,0.9937,0.9904,0.9966,1.0000,0.9562,-1.2155,-9.5927,-2.2663,0.0131,-0.0388,-0.0011
P1D,D,42863,0.9972,0.9859,1.0000,0.9570,0.9874,-1.0939,-9.6148,-2.2687,0.0165,-0.0538,-0.0023
P1D,D,42883,0.9933,0.9884,0.9826,0.9605,0.9878,-1.1454,-9.5220,-2.2441,0.0240,-0.0666,-0.0211
P1D,D,42903,0.9954,0.9925,1.0000,0.9783,0.9860,-1.2173,-9.5118,-2.2645,0.0308,-0.0512,-0.0095
P1D,D,42923,0.9937,0.9925,0.9741,0.9930,1.0000,-1.0784,-9.5723,-2.3507,0.0349,-0.0441,0.0021
P1D,D,42943,0.9940,0.9871,1.0000,0.9934,0.9388,-1.0556,-9.5645,-2.3585,0.0176,-0.0629,-0.0242
P1D,D,42963,0.9951,0.9892,0.9987,0.9953,0.9749,-1.0879,-9.5208,-2.3327,0.0095,-0.0749,-0.0326
P1D,D,42983,0.9947,0.9921,0.9923,0.9922,1.0000,-1.1999,-9.4549,-2.3214,0.0112,-0.0686,-0.0338
P1D,D,43003,0.9933,0.9904,1.0000,0.9926,0.9731,-1.1849,-9.5998,-2.3327,0.0144,-0.0580,-0.0213
P1D,D,43023,0.9933,0.9896,0.9970,0.9922,0.9735,-1.2460,-9.5040,-2.3256,-0.0021,-0.0368,-0.0159
P1D,D,43043,0.9965,0.9892,0.9970,0.9930,0.9468,-1.2233,-9.5370,-2.3513,0.0029,-0.0017,-0.0036
P1D,D,43063,0.9922,0.9913,0.9944,0.9876,1.0000,-1.1269,-9.5537,-2.2783,-0.0023,-0.0137,-0.0055
P1D,D,43083,0.9929,0.9900,0.9982,0.9899,0.9753,-1.1304,-9.5567,-2.2807,-0.0005,-0.0644,-0.0281
P1D,D,43103,0.9940,0.9892,0.9919,0.9872,1.0000,-1.2412,-9.5232,-2.2220,0.0145,-0.0659,-0.0344
P1D,D,43123,0.9947,0.9888,0.9911,0.9926,0.9735,-1.1921,-9.6471,-2.2555,0.0136,-0.0710,-0.0333
P1D,D,43143,0.9965,0.9904,0.9970,0.9659,1.0000,-1.3179,-9.5208,-2.2543,-0.0120,-0.0933,-0.0337
P1D,D,43163,0.9958,0.9962,0.9957,1.0000,0.9713,-1.3592,-9.4843,-2.2034,0.0131,-0.0533,-0.0199
P1D,D,43183,0.9940,0.9904,0.9949,1.0000,0.9646,-1.1975,-9.5442,-2.2765,0.0265,-0.0392,-0.0083
P1D,D,43203,0.9937,0.9904,1.0000,0.9953,0.9727,-1.2514,-9.5232,-2.2974,0.0289,-0.0454,-0.0155
