person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1EAT,EAT,583094,0.9887,0.9878,0.9831,1.0000,1.0000,0.3540,1.0000,0.5334,0.5184,0.4878,0.4872
P1EAT,EAT,583114,0.9865,0.9878,0.9788,0.9788,1.0000,0.3517,1.0000,0.5329,0.5164,0.4891,0.4911
P1EAT,EAT,583134,0.9883,0.9829,1.0000,1.0000,0.9292,0.3482,1.0000,0.5296,0.5153,0.4919,0.4944
P1EAT,EAT,583154,0.9865,0.9874,0.9924,0.9988,0.9260,0.3490,1.0000,0.5310,0.5173,0.4960,0.4960
P1EAT,EAT,583174,0.9826,0.9845,1.0000,0.9906,1.0000,0.3540,1.0000,0.5278,0.5155,0.4966,0.5011
P1EAT,EAT,583194,0.9858,0.9882,0.9889,0.9929,0.9834,0.3592,1.0000,0.5261,0.5109,0.4946,0.5055
P1EAT,EAT,583214,0.9890,0.9853,0.9885,0.9944,0.9646,0.3628,1.0000,0.5252,0.5082,0.4938,0.5058
P1EAT,EAT,583234,0.9872,0.9878,0.9904,0.9984,0.9282,0.3630,1.0000,0.5293,0.5078,0.4934,0.5055
P1EAT,EAT,583254,0.9865,0.9862,0.9854,0.9847,0.9609,0.3585,1.0000,0.5265,0.5103,0.4949,0.5073
P1EAT,EAT,583274,0.9854,0.9890,0.9873,0.9966,0.9984,0.3593,1.0000,0.5248,0.5101,0.4990,0.5117
P1EAT,EAT,583294,0.9840,0.9878,0.9897,0.9869,0.9625,0.3679,1.0000,0.5252,0.5057,0.5003,0.5157
P1EAT,EAT,583314,0.9869,0.9845,1.0000,0.9929,0.9298,0.3738,1.0000,0.5277,0.5014,0.5032,0.5156
P1EAT,EAT,583334,0.9887,0.9870,0.9939,0.9869,0.9743,0.3812,1.0000,0.5318,0.4991,0.5038,0.5118
P1EAT,EAT,583354,0.9890,0.9862,0.9850,0.9776,1.0000,0.3840,1.0000,0.5356,0.5030,0.4989,0.5093
