person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1E,E,155243,0.9918,0.9906,0.9912,0.9756,1.0000,-1.8681,-9.6244,-1.6322,0.0513,-0.0180,0.0089
P1E,E,155263,0.9921,0.9902,0.9882,0.9880,1.0000,-1.7795,-9.6046,-1.7729,0.0064,-0.0225,0.0124
P1E,E,155283,0.9925,0.9886,0.9861,0.9816,1.0000,-1.7567,-9.4980,-1.6891,-0.0181,-0.0418,-0.0013
P1E,E,155303,0.9888,0.9881,0.9929,1.0000,0.9680,-1.8514,-9.4753,-1.6364,-0.0104,-0.0338,0.0039
P1E,E,155323,0.9925,0.9848,0.9933,0.9876,0.9409,-1.7100,-9.5495,-1.5705,0.0075,-0.0063,0.0140
P1E,E,155343,0.9943,0.9894,0.9642,0.9808,0.9536,-1.6538,-9.6154,-1.5292,0.0049,-0.0273,-0.0012
P1E,E,155363,0.9925,0.9894,0.9882,0.9876,0.9364,-1.8154,-9.6465,-1.5370,0.0004,-0.0325,-0.0132
P1E,E,155383,0.9918,0.9911,0.9903,0.9860,1.0000,-1.7585,-9.5286,-1.5107,0.0008,-0.0370,-0.0115
P1E,E,155403,0.9907,0.9927,0.9929,1.0000,0.9540,-1.7801,-9.5723,-1.5268,0.0156,-0.0449,-0.0141
P1E,E,155423,0.9910,0.9902,1.0000,0.9740,0.9310,-1.8537,-9.5388,-1.5202,0.0185,-0.0272,-0.0093
P1E,E,155443,0.9918,0.9869,0.9908,1.0000,0.9310,-1.8011,-9.6525,-1.5316,0.0246,-0.0019,0.0020
P1E,E,155463,0.9899,0.9898,0.9861,1.0000,1.0000,-1.7819,-9.5699,-1.5178,0.0077,-0.0298,-0.0060
P1E,E,155483,0.9951,0.9890,0.9806,0.9780,0.9703,-1.8873,-9.5771,-1.6202,0.0151,-0.0502,-0.0075
P1E,E,155503,0.9885,0.9894,0.9802,0.9892,0.9518,-1.8286,-9.5238,-1.6089,0.0039,-0.0401,0.0081
P1E,E,155523,0.9936,0.9886,0.9882,0.9832,0.9590,-1.7645,-9.5891,-1.6148,0.0007,-0.0294,0.0051
P1E,E,155543,0.9903,0.9911,0.9874,0.9828,0.9437,-1.7939,-9.5663,-1.5759,0.0031,-0.0504,-0.0028
P1E,E,155563,0.9896,0.9877,1.0000,1.0000,0.9671,-1.8011,-9.5897,-1.5610,0.0055,-0.0314,0.0075
P1E,E,155583,0.9929,0.9890,0.9785,0.9720,0.9464,-1.6717,-9.5454,-1.5196,0.0213,-0.0185,0.0069
P1E,E,155603,0.9899,0.9881,0.9912,0.9740,0.9509,-1.6627,-9.6609,-1.5795,0.0242,-0.0378,-0.0152
P1E,E,155623,0.9870,0.9852,0.9874,0.9972,0.9116,-1.8005,-9.5567,-1.5532,0.0049,-0.0337,-0.0228
P1E,E,155643,0.9874,0.9911,1.0000,0.9792,0.9450,-1.8502,-9.6094,-1.5424,0.0193,-0.0304,-0.0063
P1E,E,155663,0.9903,0.9856,0.9882,0.9852,0.9558,-1.8675,-9.5711,-1.5262,0.0220,-0.0441,-0.0060
P1E,E,155683,0.9907,0.9869,1.0000,1.0000,1.0000,-1.9154,-9.5172,-1.5855,0.0193,-0.0380,0.0021
P1E,E,155703,0.9874,0.9894,0.9908,0.9992,1.0000,-1.7424,-9.5723,-1.6639,0.0215,-0.0096,0.0221
P1E,E,155723,0.9881,0.9890,0.9891,0.9920,0.9744,-1.5370,-9.6016,-1.6508,-0.0045,-0.0314,0.0009
P1E,E,155743,0.9855,0.9860,0.9844,0.9900,1.0000,-1.8310,-9.5394,-1.5915,-0.0212,-0.0610,-0.0180
P1E,E,155763,0.9903,0.9869,0.9899,0.9836,0.9441,-1.8322,-9.5202,-1.4562,0.0048,-0.0252,-0.0013
P1E,E,155783,0.9914,0.9831,0.9849,0.9792,0.9328,-1.7352,-9.6328,-1.4544,0.0250,-0.0393,-0.0173
P1E,E,155803,0.9881,0.9873,0.9861,0.9824,0.9346,-1.8328,-9.5873,-1.4705,0.0330,-0.0530,-0.0171
P1E,E,155823,0.9870,0.9856,0.9781,0.9736,0.9622,-1.9004,-9.6082,-1.5765,0.0288,-0.0401,0.0013
P1E,E,155843,0.9870,0.9869,0.9933,1.0000,0.9261,-1.8029,-9.5100,-1.6382,0.0249,-0.0273,0.0115
P1E,E,155863,0.9851,0.9865,0.9899,0.9936,0.9419,-1.6981,-9.5651,-1.6753,0.0111,-0.0201,0.0087
P1E,E,155883,0.9851,0.9865,0.9908,0.9824,0.9536,-1.7873,-9.5579,-1.6304,-0.0008,-0.0486,-0.0071
P1E,E,155903,0.9862,0.9815,0.9785,0.9724,0.9978,-1.7801,-9.5226,-1.5406,0.0105,-0.0321,-0.0059
P1E,E,155923,0.9892,0.9852,0.9882,0.9980,0.9590,-1.7579,-9.5962,-1.5508,0.0234,-0.0185,0.0091
P1E,E,155943,0.9888,0.9881,0.9924,0.9864,1.0000,-1.6346,-9.6172,-1.5388,0.0276,-0.0326,0.0032
P1E,E,168083,0.8101,0.8836,0.9347,1.0000,1.0000,-2.6537,-9.3484,-1.2718,-0.0321,-0.0248,-0.0241
P1E,E,168103,0.8097,0.8853,0.9234,0.9732,1.0000,-2.7225,-9.4394,-1.2029,0.0039,-0.0492,-0.0147
P1E,E,168143,0.8090,0.8832,0.9297,0.9916,0.9933,-2.6938,-9.5340,-1.1837,0.0075,-0.0297,0.0254
P1E,E,168163,0.8083,0.8840,0.9352,0.9700,1.0000,-2.4735,-9.4891,-1.1742,0.0179,-0.0072,0.0290
P1E,E,168183,0.8097,0.8815,0.9347,0.9900,1.0000,-2.3447,-9.4729,-1.1568,0.0109,-0.0292,0.0165
P1E,E,168203,0.8119,0.8832,0.9335,1.0000,0.9856,-2.4609,-9.4507,-1.1514,0.0203,-0.0405,-0.0019
P1E,E,168223,0.8083,0.8861,0.9326,0.9884,1.0000,-2.5387,-9.4358,-1.1646,0.0229,-0.0073,0.0060
P1E,E,168243,0.8108,0.8794,0.9347,0.9772,1.0000,-2.4052,-9.3735,-1.1927,0.0240,0.0036,-0.0043
P1E,E,168263,0.8024,0.8828,0.9347,1.0000,1.0000,-2.5489,-9.4202,-1.2251,0.0297,-0.0125,-0.0213
P1E,E,168283,0.8105,0.8845,0.9347,0.9868,1.0000,-2.6501,-9.5004,-1.1604,0.0041,-0.0005,-0.0200
P1E,E,168303,0.8105,0.8866,0.9457,1.0000,1.0000,-2.5776,-9.4256,-1.0784,-0.0165,0.0051,-0.0131
P1E,E,168323,0.8097,0.8874,0.9343,0.9944,1.0000,-2.5639,-9.4070,-1.0532,-0.0169,-0.0434,-0.0139
P1E,E,168343,0.8090,0.8840,0.9339,1.0000,0.9798,-2.6962,-9.4531,-1.0335,-0.0047,-0.0572,-0.0100
P1E,E,168363,0.8094,0.8828,0.9267,0.9848,1.0000,-2.5914,-9.3771,-1.0658,0.0020,-0.0404,0.0101
P1E,E,168383,0.8112,0.8857,0.9402,0.9796,1.0000,-2.5010,-9.4843,-1.0574,0.0273,-0.0454,0.0139
P1E,E,168403,0.8079,0.8857,0.9297,0.9948,1.0000,-2.4968,-9.4280,-1.1287,0.0143,-0.0444,0.0131
P1E,E,168423,0.8083,0.8849,0.9352,0.9916,1.0000,-2.4303,-9.4166,-1.2119,0.0370,-0.0432,0.0129
P1E,E,168443,0.8083,0.8866,0.9512,1.0000,1.0000,-2.4082,-9.4579,-1.3041,0.0305,-0.0460,-0.0001
P1E,E,168463,0.8075,0.8832,0.9284,0.9800,0.9911,-2.5154,-9.4759,-1.3340,0.0160,-0.0502,-0.0023
P1E,E,168483,0.8112,0.8840,0.9272,0.9872,1.0000,-2.4902,-9.4531,-1.3197,0.0020,-0.0248,0.0001
P1E,E,168503,0.8094,0.8832,0.9310,0.9828,1.0000,-2.4657,-9.4005,-1.2634,-0.0072,-0.0240,0.0031
P1E,E,168523,0.8086,0.8815,0.9352,0.9856,1.0000,-2.5202,-9.4717,-1.1760,0.0003,-0.0236,-0.0019
P1E,E,168543,0.8079,0.8853,0.9187,0.9924,1.0000,-2.4770,-9.5226,-1.1101,0.0048,-0.0141,0.0017
P1E,E,168563,0.8086,0.8828,0.9284,0.9872,1.0000,-2.4621,-9.4885,-1.1322,-0.0019,-0.0208,-0.0073
P1E,E,168583,0.8094,0.8836,0.9331,0.9792,1.0000,-2.5495,-9.4340,-1.0891,0.0024,-0.0430,-0.0167
P1E,E,168603,0.8094,0.8853,0.9314,0.9712,1.0000,-2.6758,-9.5364,-1.0879,0.0218,-0.0260,-0.0112
P1E,E,168623,0.8094,0.8840,0.9335,0.9780,0.9911,-2.4992,-9.5292,-1.0873,0.0358,-0.0224,-0.0019
P1E,E,168643,0.8079,0.8832,0.9259,1.0000,1.0000,-2.5184,-9.5843,-1.1849,0.0321,-0.0665,-0.0027
P1E,E,168663,0.8086,0.8857,0.9246,0.9924,1.0000,-2.5585,-9.5178,-1.2712,0.0183,-0.0600,-0.0056
P1E,E,168683,0.8094,0.8857,0.9343,0.9888,0.9974,-2.5585,-9.4052,-1.1963,0.0261,-0.0352,0.0069
P1E,E,168703,0.8075,0.8811,0.9305,0.9732,1.0000,-2.4010,-9.5465,-1.2316,0.0286,-0.0191,-0.0032
P1E,E,168723,0.8086,0.8815,0.9356,0.9964,1.0000,-2.4094,-9.4436,-1.2274,-0.0136,-0.0212,-0.0143
P1E,E,168743,0.8064,0.8832,0.9310,0.9996,1.0000,-2.5016,-9.3909,-1.2101,-0.0148,-0.0156,-0.0261
