person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1F,F,278523,0.9948,0.9917,0.9862,0.9798,0.9231,-2.0310,-9.3681,-2.4501,0.0136,-0.0480,0.0012
P1F,F,278543,0.9930,0.9929,0.9944,1.0000,0.9695,-2.0639,-9.3855,-2.5004,0.0155,-0.0659,-0.0096
P1F,F,278563,0.9919,1.0000,0.9971,1.0000,1.0000,-2.1100,-9.3945,-2.5094,0.0097,-0.0254,0.0035
P1F,F,278583,0.9937,0.9933,0.9849,0.9776,1.0000,-2.0004,-9.3160,-2.5166,0.0056,-0.0313,0.0033
P1F,F,278603,0.9912,0.9885,0.9930,0.9991,0.9284,-1.9909,-9.2777,-2.4806,0.0079,-0.0436,-0.0091
P1F,F,278623,0.9916,0.9933,1.0000,0.9948,0.9367,-2.1196,-9.3496,-2.4663,0.0149,-0.0505,-0.0143
P1F,F,278643,0.9916,0.9933,0.9926,0.9952,0.9553,-2.0693,-9.3579,-2.4196,0.0060,-0.0297,-0.0080
P1F,F,278663,0.9912,0.9925,0.9944,1.0000,0.9544,-2.1292,-9.3711,-2.4280,-0.0059,-0.0105,0.0016
P1F,F,278683,0.9912,0.9933,0.9912,0.9988,0.9984,-2.0028,-9.3561,-2.3747,-0.0004,-0.0204,-0.0025
P1F,F,278703,0.9941,0.9990,0.9908,0.9859,0.9666,-2.0986,-9.3723,-2.4022,0.0144,-0.0608,-0.0187
P1F,F,278723,0.9912,0.9905,0.9844,0.9991,1.0000,-2.2142,-9.3448,-2.3956,0.0236,-0.0237,-0.0053
P1F,F,278743,0.9905,0.9925,0.9830,1.0000,0.9558,-1.9651,-9.4262,-2.4459,0.0234,-0.0063,0.0123
P1F,F,278763,0.9884,0.9921,0.9903,0.9776,0.9328,-1.9861,-9.3861,-2.4435,0.0031,-0.0454,-0.0044
P1F,F,278783,0.9901,0.9933,0.9894,1.0000,1.0000,-2.1483,-9.3436,-2.4363,0.0043,-0.0576,-0.0080
P1F,F,278803,0.9901,0.9917,0.9985,0.9823,0.9974,-2.1178,-9.2915,-2.4256,0.0059,-0.0436,-0.0064
P1F,F,278823,0.9909,0.9897,0.9944,1.0000,0.9998,-2.1196,-9.3190,-2.4333,0.0249,-0.0385,0.0028
P1F,F,278843,0.9891,0.9929,0.9880,1.0000,0.9358,-2.1076,-9.3436,-2.5088,0.0260,-0.0433,0.0011
P1F,F,278863,0.9905,0.9945,0.9776,1.0000,0.9416,-2.0495,-9.3849,-2.5453,0.0199,-0.0333,0.0007
P1F,F,278883,0.9898,0.9929,0.9917,0.9916,0.9636,-2.0160,-9.3657,-2.5543,0.0077,-0.0370,0.0053
P1F,F,278903,0.9912,0.9921,0.9717,1.0000,0.8830,-2.0046,-9.3873,-2.4884,0.0016,-0.0164,0.0047
P1F,F,278923,0.9901,0.9901,0.9817,0.9984,1.0000,-1.9196,-9.3358,-2.4489,-0.0084,-0.0068,0.0019
P1F,F,278943,0.9905,0.9941,0.9839,0.9927,1.0000,-1.9460,-9.3639,-2.4537,0.0096,-0.0338,-0.0064
P1F,F,278963,0.9894,0.9917,0.9867,0.9909,1.0000,-2.0944,-9.3496,-2.3992,0.0172,-0.0278,-0.0123
P1F,F,278983,0.9912,0.9901,0.9862,1.0000,0.9172,-1.9945,-9.3831,-2.4214,0.0238,-0.0269,-0.0195
P1F,F,279003,0.9912,0.9905,0.9917,0.9916,0.9451,-2.0801,-9.3945,-2.4250,0.0125,-0.0405,-0.0213
P1F,F,279023,0.9909,0.9913,0.9912,1.0000,0.9372,-2.0974,-9.3843,-2.4699,-0.0031,-0.0432,-0.0185
P1F,F,279043,0.9901,0.9897,0.9894,0.9902,0.9607,-2.1465,-9.3166,-2.4268,0.0013,-0.0254,-0.0120
P1F,F,279063,0.9901,0.9901,0.9708,1.0000,0.9612,-2.1232,-9.3891,-2.4657,0.0152,0.0039,-0.0059
P1F,F,279083,0.9912,0.9905,0.9944,1.0000,0.9641,-2.0531,-9.4460,-2.4848,-0.0015,0.0069,-0.0043
P1F,F,279103,0.9873,0.9889,0.9867,0.9830,0.9661,-1.9603,-9.3184,-2.3986,-0.0212,-0.0280,-0.0033
P1F,F,279123,0.9901,0.9873,0.9930,0.9812,0.9328,-2.0537,-9.2681,-2.3926,-0.0067,-0.0581,-0.0152
P1F,F,279143,0.9891,0.9848,0.9771,1.0000,0.8918,-2.0573,-9.3376,-2.3729,0.0337,-0.0605,-0.0167
P1F,F,279163,0.9873,0.9881,0.9912,0.9934,0.9094,-2.1028,-9.3813,-2.4082,0.0428,-0.0492,-0.0196
P1F,F,279183,0.9873,0.9856,0.9844,0.9959,1.0000,-2.1076,-9.4100,-2.5118,0.0404,-0.0117,-0.0011
P1F,F,279203,0.9887,0.9877,0.9835,0.9791,0.8942,-1.9328,-9.2663,-2.5273,0.0273,0.0116,-0.0008
P1F,F,279223,0.9869,0.9860,0.9917,0.9740,0.9490,-1.8633,-9.2999,-2.5914,0.0268,-0.0386,-0.0261
P1F,F,279243,0.9884,0.9873,0.9908,1.0000,0.9333,-2.2046,-9.4094,-2.5675,0.0128,-0.0470,-0.0305
P1F,F,342323,0.1038,0.1047,0.2851,0.3521,0.2992,-1.8639,-9.0987,-3.3440,-0.0180,-0.0318,-0.0119
P1F,F,342343,0.1016,0.1051,0.2869,0.3775,0.3300,-2.0070,-9.1322,-3.2632,-0.0016,-0.0326,-0.0187
P1F,F,342383,0.1031,0.1108,0.2874,0.3718,0.3329,-2.1477,-9.1160,-3.2453,0.0266,-0.0264,-0.0199
P1F,F,342403,0.1016,0.1088,0.2865,0.3714,0.3148,-2.2495,-9.1059,-3.4099,0.0317,-0.0389,-0.0192
P1F,F,342423,0.1020,0.1055,0.2869,0.3686,0.4160,-2.2705,-9.0454,-3.4740,0.0324,-0.0400,-0.0095
P1F,F,342443,0.1016,0.1059,0.2742,0.3711,0.3358,-2.1663,-9.0412,-3.5446,0.0302,-0.0392,0.0095
P1F,F,342463,0.1027,0.1063,0.2874,0.3668,0.3554,-2.0897,-8.9993,-3.6015,0.0258,-0.0514,0.0135
P1F,F,342483,0.1013,0.1088,0.2860,0.3908,0.4111,-2.0909,-8.9969,-3.6416,0.0260,-0.0260,0.0191
P1F,F,342503,0.1031,0.1076,0.2833,0.3696,0.3490,-1.9184,-9.0316,-3.5764,0.0121,-0.0040,0.0165
P1F,F,342523,0.1013,0.1076,0.2847,0.3757,0.4239,-1.8262,-9.0945,-3.5153,-0.0052,-0.0719,-0.0060
P1F,F,342543,0.1006,0.1015,0.3056,0.3678,0.3256,-2.0699,-9.1298,-3.4225,-0.0185,-0.0929,-0.0294
P1F,F,342563,0.0988,0.1043,0.2815,0.3721,0.4107,-2.2076,-9.1011,-3.3949,-0.0111,-0.0560,-0.0087
P1F,F,342583,0.1031,0.1096,0.2738,0.3750,0.3178,-2.0932,-9.1226,-3.3638,-0.0067,-0.0081,0.0087
P1F,F,342603,0.1031,0.1088,0.2847,0.3668,0.4395,-1.9513,-9.0933,-3.3848,0.0119,-0.0278,0.0051
P1F,F,342623,0.1023,0.1071,0.3056,0.3682,0.3515,-2.0795,-9.1340,-3.4369,0.0163,-0.0497,-0.0117
P1F,F,342643,0.0995,0.1055,0.2942,0.3876,0.4459,-2.0513,-9.1017,-3.4434,0.0120,-0.0298,0.0020
P1F,F,342663,0.1020,0.1047,0.2733,0.3556,0.3657,-1.9855,-9.0262,-3.4584,0.0099,-0.0290,-0.0067
P1F,F,342683,0.1034,0.1067,0.2960,0.3754,0.4185,-2.0501,-9.0628,-3.4830,0.0147,-0.0618,-0.0262
P1F,F,342703,0.0991,0.1084,0.2683,0.3876,0.3481,-2.2992,-9.0574,-3.4871,0.0151,-0.0353,-0.0144
P1F,F,342723,0.1027,0.1088,0.2856,0.3664,0.4395,-2.0873,-9.0526,-3.5225,0.0133,0.0011,0.0049
P1F,F,342743,0.1106,0.1084,0.2747,0.3732,0.3143,-2.0214,-9.0795,-3.5255,0.0028,-0.0376,0.0020
P1F,F,342763,0.1009,0.1080,0.2888,0.3793,0.4253,-2.0986,-9.0831,-3.5632,-0.0023,-0.0590,-0.0052
P1F,F,342783,0.1013,0.1088,0.2869,0.3668,0.4116,-2.1196,-9.1130,-3.4794,-0.0136,-0.0268,0.0088
P1F,F,342803,0.1009,0.1055,0.2824,0.3811,0.3960,-1.9358,-9.1532,-3.3506,-0.0047,-0.0201,0.0085
P1F,F,342823,0.1020,0.1092,0.2901,0.3585,0.3569,-1.9328,-9.1065,-3.3452,0.0035,-0.0620,-0.0127
P1F,F,342843,0.1034,0.1100,0.3033,0.3807,0.4268,-2.1022,-9.1214,-3.4027,0.0009,-0.0518,-0.0205
P1F,F,342863,0.0998,0.1080,0.2860,0.3574,0.3510,-2.0711,-9.0921,-3.3884,-0.0045,-0.0261,-0.0155
P1F,F,342883,0.1034,0.1080,0.2851,0.3815,0.3725,-2.0932,-9.0646,-3.3434,0.0049,-0.0229,-0.0175
P1F,F,342903,0.1013,0.1084,0.3047,0.3614,0.3432,-2.0711,-9.1160,-3.3656,0.0288,-0.0400,-0.0171
P1F,F,342923,0.1006,0.1108,0.2965,0.3614,0.3652,-2.1825,-9.0514,-3.4351,0.0336,-0.0485,-0.0144
P1F,F,342943,0.1013,0.1084,0.2883,0.3789,0.3701,-2.1364,-9.0825,-3.4782,0.0444,-0.0059,-0.0032
P1F,F,342963,0.1023,0.1084,0.2851,0.3643,0.3339,-2.0364,-9.0598,-3.4901,0.0344,-0.0241,-0.0023
P1F,F,342983,0.1020,0.1092,0.3097,0.3743,0.3745,-2.1334,-9.0250,-3.5422,0.0236,-0.0428,-0.0055
P1F,F,343003,0.1023,0.1071,0.2919,0.3560,0.3588,-2.0795,-9.0669,-3.5237,0.0100,-0.0297,-0.0031
P1F,F,343023,0.0998,0.1124,0.2842,0.3657,0.3960,-2.0645,-9.0274,-3.4937,0.0005,-0.0358,-0.0024
P1F,F,343043,0.1016,0.1084,0.2865,0.3779,0.4121,-2.0968,-9.0460,-3.4392,0.0123,-0.0392,0.0017
P1F,F,343063,0.0998,0.1059,0.2856,0.3736,0.3187,-2.0136,-9.1298,-3.4207,0.0189,-0.0242,0.0029
P1F,F,343083,0.1020,0.1092,0.2869,0.3643,0.3490,-2.0717,-9.0681,-3.4458,0.0087,-0.0486,-0.0043
P1F,F,343103,0.1027,0.1067,0.2901,0.3746,0.3994,-2.1094,-9.0574,-3.4955,0.0123,-0.0340,-0.0077
P1F,F,343123,0.1009,0.1055,0.2865,0.3958,0.4136,-2.0783,-9.0562,-3.4375,0.0140,-0.0290,-0.0009
P1F,F,343143,0.1009,0.1092,0.2860,0.3743,0.4185,-2.0980,-9.1095,-3.4279,0.0087,-0.0445,-0.0044
