person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1G,G,534383,0.9900,0.9930,0.9814,0.9934,0.9515,-2.1118,-9.4310,-2.4447,0.0060,-0.0674,-0.0208
P1G,G,534403,0.9875,0.9935,0.9878,0.9780,1.0000,-2.1974,-9.3292,-2.4124,0.0025,-0.0139,-0.0116
P1G,G,534423,0.9926,0.9943,0.9892,0.9974,1.0000,-2.0316,-9.2627,-2.3693,0.0207,0.0095,-0.0091
P1G,G,534443,0.9904,0.9902,0.9928,1.0000,1.0000,-2.0992,-9.3651,-2.4046,0.0434,-0.0309,-0.0197
P1G,G,534463,0.9926,0.9939,0.9846,1.0000,0.9578,-2.1340,-9.4178,-2.4956,0.0341,-0.0302,-0.0129
P1G,G,534483,0.9922,0.9918,0.9754,0.9992,1.0000,-2.1992,-9.3729,-2.5411,-0.0111,-0.0286,-0.0063
P1G,G,534503,0.9911,0.9930,0.9887,0.9875,0.9252,-2.1795,-9.3328,-2.4765,-0.0091,-0.0083,0.0091
P1G,G,534523,0.9904,0.9910,0.9993,0.9897,1.0000,-1.9124,-9.3088,-2.3878,0.0061,-0.0472,-0.0005
P1G,G,534543,0.9911,0.9890,0.9878,1.0000,0.9381,-2.1310,-9.3891,-2.4363,0.0107,-0.0861,-0.0149
P1G,G,534563,0.9918,0.9943,0.9873,0.9839,0.9600,-2.2064,-9.4058,-2.4477,-0.0084,-0.0168,0.0069
P1G,G,534583,0.9918,0.9918,0.9860,0.9813,0.9158,-1.9741,-9.2987,-2.3345,-0.0119,0.0360,0.0180
P1G,G,534603,0.9897,0.9910,0.9956,1.0000,0.9895,-1.7765,-9.3831,-2.2986,0.0087,-0.0237,-0.0057
P1G,G,534623,0.9908,0.9853,0.9905,1.0000,0.9922,-2.1250,-9.3699,-2.3387,0.0257,-0.0858,-0.0376
P1G,G,534643,0.9922,0.9886,0.9873,0.9718,0.9980,-2.1884,-9.4130,-2.3950,0.0254,-0.0376,-0.0168
P1G,G,534663,0.9886,0.9926,0.9873,0.9996,0.9390,-2.0591,-9.3741,-2.3890,0.0256,-0.0115,0.0016
P1G,G,534683,0.9944,0.9881,0.9796,1.0000,0.9127,-2.0064,-9.3508,-2.4160,0.0153,-0.0294,-0.0103
P1G,G,534703,0.9886,0.9935,0.9617,0.9934,0.9457,-2.1376,-9.3603,-2.4555,0.0123,-0.0550,-0.0241
P1G,G,534723,0.9886,0.9902,0.9887,1.0000,0.9430,-2.2070,-9.3406,-2.4411,0.0021,-0.0372,-0.0121
P1G,G,534743,0.9886,0.9910,0.9993,0.9904,0.9109,-2.1729,-9.4005,-2.4507,-0.0059,-0.0249,-0.0025
P1G,G,534763,0.9915,0.9894,0.9768,1.0000,0.9180,-2.0567,-9.3549,-2.3962,-0.0163,-0.0310,0.0027
P1G,G,534783,0.9904,0.9877,0.9887,1.0000,0.9493,-2.1130,-9.3262,-2.3717,0.0052,-0.0506,0.0017
P1G,G,534803,0.9911,0.9906,0.9892,0.9974,0.9310,-2.0849,-9.3190,-2.3591,0.0302,-0.0276,-0.0043
P1G,G,534823,0.9889,0.9894,0.9896,0.9934,0.9162,-2.0388,-9.4298,-2.3681,0.0304,-0.0266,-0.0009
P1G,G,534843,0.9889,0.9918,0.9901,0.9930,0.9515,-2.0549,-9.3765,-2.3992,0.0103,-0.0119,0.0051
P1G,G,534863,0.9900,0.9865,0.9763,1.0000,0.9435,-1.8693,-9.3322,-2.2968,0.0242,-0.0268,-0.0087
