person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1HELLO,HELLO,476134,0.9912,0.9895,0.9916,0.9856,0.9846,0.3764,1.0000,0.5704,0.5073,0.4974,0.5073
P1HELLO,HELLO,476154,0.9881,0.9934,0.9948,0.9914,1.0000,0.3770,1.0000,0.5668,0.5048,0.4931,0.5121
P1HELLO,HELLO,476174,0.9889,0.9916,0.9833,0.9960,0.9607,0.3894,1.0000,0.5685,0.5007,0.4922,0.5138
P1HELLO,HELLO,476194,0.9916,0.9977,1.0000,1.0000,1.0000,0.3985,1.0000,0.5709,0.5008,0.4852,0.5135
P1HELLO,HELLO,476214,0.9877,0.9873,0.9961,0.9937,0.9720,0.3990,1.0000,0.5730,0.5007,0.4850,0.5082
P1HELLO,HELLO,476234,0.9904,0.9934,0.9928,0.9787,1.0000,0.3986,1.0000,0.5766,0.5047,0.4927,0.5012
P1HELLO,HELLO,476254,0.9873,0.9916,0.9821,0.9952,0.9786,0.3934,1.0000,0.5743,0.5061,0.5001,0.4965
P1HELLO,HELLO,476274,0.9877,0.9938,0.9977,1.0000,1.0000,0.3930,1.0000,0.5766,0.5082,0.5001,0.4925
P1HELLO,HELLO,476294,0.9893,0.9912,1.0000,0.9703,0.9583,0.3793,1.0000,0.5776,0.5119,0.4921,0.4938
P1HELLO,HELLO,476314,0.9893,0.9873,0.9801,0.9829,0.9942,0.3713,1.0000,0.5771,0.5159,0.4978,0.4947
P1HELLO,HELLO,476334,0.9924,1.0000,0.9821,0.9756,0.9774,0.3710,1.0000,0.5737,0.5176,0.5078,0.4951
P1HELLO,HELLO,476354,0.9908,0.9864,0.9994,1.0000,1.0000,0.3716,1.0000,0.5713,0.5173,0.5081,0.4971
P1HELLO,HELLO,476374,0.9908,0.9929,1.0000,0.9933,0.9697,0.3721,1.0000,0.5691,0.5156,0.5063,0.4986
P1HELLO,HELLO,476394,0.9896,0.9916,0.9932,0.9868,0.9619,0.3743,1.0000,0.5678,0.5155,0.5076,0.4983
