person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1H,H,653683,0.9915,0.9923,0.9706,1.0000,1.0000,-2.1346,-9.1322,-3.4153,0.0029,-0.0059,-0.0017
P1H,H,653703,0.9925,0.9927,0.9853,0.9914,0.9557,-2.0214,-9.0885,-3.4345,0.0092,-0.0554,-0.0159
P1H,H,653723,0.9925,0.9923,0.9885,0.9749,0.9746,-2.2202,-9.0472,-3.4243,-0.0015,-0.0470,-0.0153
P1H,H,653743,0.9907,0.9939,0.9922,0.9975,1.0000,-2.1340,-9.0214,-3.3854,0.0109,-0.0081,0.0031
P1H,H,653763,0.9929,0.9895,0.9931,1.0000,0.9727,-2.0465,-9.0867,-3.3997,0.0176,-0.0329,-0.0029
P1H,H,653783,0.9933,0.9927,0.9807,1.0000,0.9543,-2.1765,-9.1083,-3.3919,0.0145,-0.0430,-0.0075
P1H,H,653803,0.9918,0.9987,0.9876,1.0000,0.9118,-2.0956,-9.0508,-3.4003,0.0188,-0.0334,-0.0045
P1H,H,653823,0.9929,0.9935,0.9936,0.9939,0.9722,-2.1022,-9.1358,-3.4273,0.0250,-0.0117,0.0044
P1H,H,653843,0.9918,0.9895,0.9913,1.0000,0.9217,-2.0400,-9.0616,-3.4345,0.0109,-0.0278,0.0017
P1H,H,653863,0.9933,0.9935,0.9839,0.9807,0.9746,-2.1555,-9.0675,-3.4518,0.0266,-0.0421,-0.0027
P1H,H,653883,0.9925,0.9923,0.9885,0.9835,0.9510,-1.9837,-9.0669,-3.4692,0.0196,-0.0257,-0.0016
P1H,H,653903,0.9922,0.9903,0.9766,1.0000,0.9245,-2.1124,-9.0891,-3.4734,0.0109,-0.0565,-0.0091
P1H,H,653923,0.9907,0.9931,0.9780,1.0000,1.0000,-2.1268,-9.0310,-3.4171,0.0117,-0.0100,0.0009
P1H,H,653943,0.9915,0.9927,0.9848,1.0000,1.0000,-2.0004,-9.1029,-3.4590,0.0119,0.0011,0.0057
P1H,H,653963,0.9886,0.9907,0.9927,0.9989,1.0000,-2.0807,-9.0352,-3.4770,0.0064,-0.0366,-0.0011
P1H,H,653983,0.9929,0.9931,0.9853,0.9753,1.0000,-2.0447,-9.0340,-3.4860,0.0211,-0.0317,-0.0016
P1H,H,654003,0.9922,0.9907,0.9871,0.9932,1.0000,-2.0639,-9.1130,-3.5464,0.0077,-0.0358,-0.0063
P1H,H,654023,0.9889,0.9879,0.9867,0.9588,0.9996,-2.1489,-9.0681,-3.4758,-0.0076,-0.0169,-0.0083
P1H,H,654043,0.9918,0.9895,0.9881,0.9878,1.0000,-2.0669,-9.1202,-3.4309,-0.0040,0.0176,-0.0004
P1H,H,654063,0.9922,0.9919,0.9789,0.9878,1.0000,-1.9723,-9.1166,-3.3854,-0.0020,-0.0304,-0.0071
P1H,H,654083,0.9907,0.9915,0.9977,0.9850,0.9670,-2.1585,-9.0400,-3.4039,-0.0007,-0.0394,-0.0129
P1H,H,654103,0.9911,0.9919,0.9917,1.0000,0.9543,-2.0843,-9.0843,-3.3482,0.0115,-0.0152,0.0015
P1H,H,654123,0.9915,0.9903,1.0000,0.9882,0.9708,-2.0639,-9.1083,-3.3961,0.0168,-0.0340,-0.0079
P1H,H,654143,0.9918,0.9871,0.9959,1.0000,0.9717,-2.1340,-9.0544,-3.4105,0.0136,-0.0075,-0.0053
P1H,H,654163,0.9911,0.9915,0.9940,0.9778,0.9656,-2.0885,-9.0915,-3.4105,0.0250,0.0176,0.0032
P1H,H,654183,0.9911,0.9919,0.9798,1.0000,0.9519,-1.9986,-9.0562,-3.4782,0.0242,0.0060,-0.0051
P1H,H,654203,0.9882,0.9875,0.9770,0.9832,1.0000,-2.0154,-9.0795,-3.5794,0.0121,0.0230,-0.0076
P1H,H,654223,0.9886,0.9919,0.9853,0.9753,0.9566,-1.8741,-9.0729,-3.6392,-0.0043,0.0437,-0.0035
P1H,H,654243,0.9904,0.9899,0.9770,0.9839,0.9585,-1.8130,-9.0849,-3.5536,-0.0277,0.0024,-0.0288
P1H,H,654263,0.9907,0.9927,0.9862,0.9957,0.9826,-2.1962,-9.0083,-3.3913,-0.0290,-0.0237,-0.0520
P1H,H,654283,0.9904,0.9887,0.9853,0.9749,0.9292,-2.2825,-9.0412,-3.2249,-0.0071,-0.0143,-0.0445
P1H,H,654303,0.9915,0.9923,0.9848,1.0000,0.9689,-2.4848,-9.1029,-3.2057,0.0065,-0.0506,-0.0228
P1H,H,654323,0.9911,0.9895,0.9890,0.9796,0.9656,-2.5124,-9.1178,-3.2099,0.0306,-0.0196,0.0041
P1H,H,654343,0.9897,0.9883,1.0000,0.9893,0.9557,-2.3082,-9.1334,-3.2644,0.0252,-0.0001,0.0274
P1H,H,654363,0.9900,0.9903,0.9830,1.0000,0.9557,-2.2585,-9.0155,-3.3171,0.0330,-0.0171,0.0332
P1H,H,654383,0.9904,0.9915,0.9825,1.0000,0.9406,-2.0968,-9.1220,-3.3955,0.0502,-0.0159,0.0278
P1H,H,654403,0.9893,0.9931,0.9807,0.9893,1.0000,-1.9968,-9.1232,-3.4979,0.0318,-0.0306,0.0224
P1H,H,680683,0.6735,0.2377,0.0000,0.0000,0.8414,6.9545,-5.9379,3.3321,-0.0013,-0.0341,-0.0075
P1H,H,680703,0.6714,0.2377,0.0000,0.0000,0.7763,6.9012,-5.9127,3.2914,-0.0148,-0.0714,-0.0151
P1H,H,680723,0.6725,0.2393,0.0000,0.0000,0.8377,6.8869,-5.8636,3.3650,-0.0076,-0.0322,-0.0282
P1H,H,680743,0.6825,0.2409,0.0000,0.0000,0.8117,6.8839,-5.8259,3.3878,0.0060,-0.0365,-0.0421
P1H,H,680763,0.6728,0.2405,0.0000,0.0000,0.8381,6.7426,-5.9307,3.4015,-0.0099,-0.0450,-0.0418
P1H,H,680783,0.6714,0.2389,0.0000,0.0000,0.8877,6.8025,-5.8888,3.4931,-0.0001,-0.0258,-0.0272
P1H,H,680803,0.6743,0.2397,0.0000,0.0000,0.8381,6.7270,-5.9019,3.5339,0.0196,-0.0568,-0.0135
P1H,H,680823,0.6728,0.2389,0.0000,0.0000,0.7560,6.6989,-5.9600,3.6446,0.0330,-0.0633,0.0015
P1H,H,680843,0.6761,0.2397,0.0000,0.0000,0.8329,6.6061,-5.9564,3.5560,0.0163,-0.0477,0.0095
P1H,H,680863,0.6793,0.2397,0.0000,0.0000,0.7650,6.5606,-5.9259,3.4842,0.0215,-0.0468,0.0248
P1H,H,680883,0.6728,0.2417,0.0000,0.0000,0.8216,6.6306,-5.9804,3.4752,0.0568,-0.0292,0.0357
P1H,H,680903,0.6753,0.2413,0.0000,0.0000,0.8443,6.6791,-6.0564,3.3830,0.0632,-0.0365,0.0438
P1H,H,680923,0.6764,0.2393,0.0000,0.0000,0.8131,6.8013,-6.0588,3.3123,0.0390,-0.0193,0.0308
P1H,H,680943,0.6721,0.2409,0.0000,0.0000,0.7579,6.8965,-6.0073,3.2608,0.0293,-0.0462,0.0278
P1H,H,680963,0.6761,0.2397,0.0000,0.0000,0.8381,6.7575,-6.0055,3.2506,0.0376,-0.0453,0.0132
P1H,H,680983,0.6732,0.2409,0.0000,0.0000,0.7045,6.8498,-6.0187,3.2674,0.0173,-0.0216,0.0008
P1H,H,681003,0.6761,0.2401,0.0000,0.0000,0.8188,6.9030,-6.0349,3.3117,-0.0063,-0.0140,-0.0064
P1H,H,681023,0.6685,0.2369,0.0000,0.0000,0.8235,6.8587,-5.9738,3.4045,-0.0084,-0.0177,-0.0059
P1H,H,681043,0.6707,0.2401,0.0000,0.0000,0.8447,6.8186,-5.9379,3.4452,0.0116,-0.0433,-0.0108
P1H,H,681063,0.6667,0.2393,0.0000,0.0000,0.8183,6.7959,-5.9540,3.4842,0.0152,-0.0380,-0.0153
P1H,H,681083,0.6771,0.2437,0.0000,0.0000,0.8235,6.7629,-5.9846,3.4704,0.0470,-0.0393,-0.0152
P1H,H,681103,0.6768,0.2405,0.0000,0.0000,0.8023,6.7240,-6.0798,3.4129,0.0292,-0.0298,-0.0128
P1H,H,681123,0.6721,0.2381,0.0000,0.0000,0.8537,6.8108,-5.9408,3.3836,0.0256,0.0053,-0.0151
P1H,H,681143,0.6717,0.2381,0.0000,0.0000,0.8197,6.9306,-5.9977,3.3907,0.0593,-0.0312,-0.0113
P1H,H,681163,0.6696,0.2433,0.0000,0.0000,0.7612,6.7845,-6.0630,3.2788,0.0659,-0.0630,0.0083
P1H,H,681183,0.6717,0.2377,0.0000,0.0000,0.7248,6.8653,-6.0031,3.2530,0.0470,-0.0502,0.0096
P1H,H,681203,0.6728,0.2437,0.0000,0.0000,0.8065,6.7498,-6.0642,3.1938,0.0322,-0.0350,-0.0027
P1H,H,681223,0.6725,0.2397,0.0000,0.0000,0.7706,6.9659,-6.0217,3.2824,0.0033,0.0004,-0.0149
P1H,H,681243,0.6732,0.2401,0.0000,0.0000,0.7555,6.9270,-5.9989,3.3470,0.0083,-0.0430,-0.0135
P1H,H,681263,0.6735,0.2401,0.0000,0.0000,0.7480,6.8827,-6.0295,3.3632,0.0133,-0.0468,-0.0161
P1H,H,681283,0.6761,0.2385,0.0000,0.0000,0.7588,6.8551,-6.0247,3.3782,0.0272,-0.0747,-0.0064
P1H,H,681303,0.6717,0.2393,0.0000,0.0000,0.7130,6.7695,-6.0301,3.3668,0.0340,-0.0589,-0.0039
P1H,H,681323,0.6768,0.2405,0.0000,0.0000,0.7749,6.7659,-6.0636,3.3201,0.0252,-0.0553,-0.0033
P1H,H,681343,0.6717,0.2381,0.0000,0.0000,0.7517,6.7522,-6.0636,3.2722,-0.0015,-0.0222,-0.0101
P1H,H,681363,0.6739,0.2401,0.0000,0.0000,0.8650,6.8683,-5.9870,3.3165,-0.0125,-0.0119,-0.0015
P1H,H,681383,0.6717,0.2381,0.0000,0.0000,0.8424,6.8162,-5.9199,3.3746,0.0220,-0.0592,0.0036
P1H,H,681403,0.6757,0.2285,0.0000,0.0000,0.7763,6.7719,-6.0402,3.3602,0.0252,-0.0481,-0.0024
P1H,H,681423,0.6789,0.2397,0.0000,0.0000,0.7097,6.8480,-5.9420,3.3925,0.0103,-0.0454,0.0101
P1H,H,681443,0.6793,0.2365,0.0000,0.0000,0.7673,6.7252,-5.9049,3.4129,0.0389,-0.0777,0.0168
P1H,H,681463,0.6793,0.2421,0.0000,0.0000,0.8603,6.6324,-5.9893,3.3925,0.0477,-0.0612,0.0081
P1H,H,681483,0.6868,0.2365,0.0000,0.0000,0.7640,6.7791,-5.9708,3.3812,0.0344,-0.0224,-0.0020
P1H,H,681503,0.6732,0.2377,0.0000,0.0000,0.8046,6.8569,-5.9762,3.3955,0.0312,-0.0151,-0.0105
P1H,H,681523,0.6775,0.2381,0.0000,0.0000,0.7248,6.9066,-5.9181,3.3273,0.0404,-0.0396,-0.0044
P1H,H,681543,0.6714,0.2369,0.0000,0.0000,0.8377,6.8510,-5.9570,3.3075,0.0501,-0.0496,-0.0073
P1H,H,681563,0.6710,0.2373,0.0000,0.0000,0.7617,6.8150,-6.0271,3.3153,0.0512,-0.0612,-0.0035
P1H,H,681583,0.6743,0.2369,0.0000,0.0000,0.8174,6.7552,-6.0217,3.3165,0.0460,-0.0472,-0.0051
P1H,H,681603,0.6732,0.2301,0.0000,0.0000,0.8334,6.7288,-6.0462,3.3243,0.0260,-0.0238,-0.0144
P1H,H,681623,0.6710,0.2369,0.0000,0.0000,0.8108,6.7306,-6.0738,3.2961,0.0172,-0.0410,-0.0107
P1H,H,681643,0.6689,0.2397,0.0000,0.0000,0.8065,6.7797,-6.0019,3.2578,0.0105,-0.0222,-0.0040
P1H,H,681663,0.6743,0.2369,0.0000,0.0000,0.8471,6.7486,-5.9911,3.2914,0.0249,-0.0211,-0.0017
P1H,H,681683,0.6728,0.2401,0.0000,0.0000,0.8008,6.9719,-6.0456,3.3255,0.0356,-0.0204,-0.0064
P1H,H,681703,0.6728,0.2397,0.0000,0.0000,0.7177,6.7953,-6.0187,3.2644,0.0135,-0.0442,0.0004
P1H,H,681723,0.6768,0.2441,0.0000,0.0000,0.8259,7.0084,-5.9780,3.3476,0.0197,-0.0286,-0.0044
P1H,H,681743,0.6714,0.2365,0.0000,0.0000,0.8424,6.9587,-6.0618,3.2914,0.0277,-0.0965,-0.0004
P1H,H,681763,0.6667,0.2349,0.0000,0.0000,0.8079,6.7983,-6.0971,3.2530,0.0112,-0.0841,-0.0076
P1H,H,681783,0.6699,0.2389,0.0000,0.0000,0.8348,6.8468,-6.0654,3.3117,-0.0185,-0.0360,-0.0160
P1H,H,681803,0.6714,0.2377,0.0000,0.0000,0.7645,6.8162,-5.9726,3.3422,-0.0073,-0.0356,-0.0245
P1H,H,681823,0.6750,0.2353,0.0000,0.0000,0.8188,6.7240,-6.0732,3.3836,0.0268,-0.0460,-0.0238
P1H,H,681843,0.6703,0.2369,0.0000,0.0000,0.7626,6.6893,-6.0822,3.3578,0.0167,-0.0625,-0.0011
P1H,H,681863,0.6743,0.2369,0.0000,0.0000,0.7565,6.5971,-6.0504,3.3087,0.0201,-0.0500,0.0068
P1H,H,681883,0.6707,0.2353,0.0000,0.0000,0.8542,6.6641,-6.0845,3.2716,0.0149,-0.0238,0.0041
P1H,H,681903,0.6725,0.2373,0.0000,0.0000,0.8358,6.6276,-5.9887,3.2363,-0.0096,-0.0040,0.0049
P1H,H,681923,0.6782,0.2369,0.0000,0.0000,0.8037,6.9851,-5.8720,3.3997,0.0031,-0.0107,0.0104
P1H,H,681943,0.6746,0.2393,0.0000,0.0000,0.7574,6.8581,-5.8822,3.4620,0.0452,-0.0773,0.0148
