person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1I,I,778543,0.9907,0.9867,0.9912,0.9934,1.0000,-1.1903,-9.5196,-2.4381,0.0105,-0.0360,0.0012
P1I,I,778563,0.9903,0.9907,0.9990,0.9751,0.9612,-1.1921,-9.4951,-2.4429,0.0123,-0.0316,0.0031
P1I,I,778583,0.9925,0.9891,0.9920,1.0000,0.9721,-1.1077,-9.4921,-2.4519,0.0175,-0.0416,0.0052
P1I,I,778603,0.9899,0.9879,0.9932,0.9797,1.0000,-1.1831,-9.5004,-2.4531,0.0260,-0.0457,-0.0021
P1I,I,778623,0.9892,0.9859,0.9895,1.0000,0.9721,-1.0544,-9.5310,-2.4585,0.0220,-0.0397,-0.0063
P1I,I,778643,0.9928,0.9887,0.9940,1.0000,0.9558,-1.1939,-9.4645,-2.4812,0.0144,-0.0461,-0.0113
P1I,I,778663,0.9874,0.9887,0.9883,1.0000,0.9517,-1.2053,-9.4951,-2.4920,0.0132,-0.0111,-0.0033
P1I,I,778683,0.9910,0.9895,1.0000,1.0000,0.9495,-1.1430,-9.4316,-2.4878,0.0172,-0.0273,-0.0077
P1I,I,778703,0.9899,0.9915,0.9879,0.9968,1.0000,-1.3544,-9.5340,-2.5387,0.0222,-0.0087,-0.0004
P1I,I,778723,0.9921,0.9863,0.9957,1.0000,0.9359,-1.0820,-9.5088,-2.5058,0.0013,0.0121,0.0076
P1I,I,778743,0.9899,0.9911,0.9903,0.9865,0.9408,-1.1819,-9.5346,-2.5267,-0.0117,-0.0677,-0.0007
P1I,I,778763,0.9899,0.9863,1.0000,0.9808,0.9576,-1.3005,-9.4759,-2.4812,-0.0189,-0.0353,0.0065
P1I,I,778783,0.9885,0.9863,0.9928,0.9869,0.9649,-1.0778,-9.4879,-2.4190,0.0019,-0.0053,0.0117
P1I,I,778803,0.9910,0.9863,0.9891,1.0000,0.9350,-1.0514,-9.5196,-2.3495,0.0029,-0.0281,0.0033
P1I,I,778823,0.9917,0.9871,0.9932,0.9816,0.8987,-1.0873,-9.5220,-2.4100,0.0040,-0.0293,-0.0072
P1I,I,778843,0.9892,0.9863,0.9899,0.9881,1.0000,-1.1023,-9.5394,-2.4208,-0.0043,-0.0348,-0.0065
P1I,I,778863,0.9896,0.9907,0.9899,0.9869,0.9522,-1.2352,-9.5082,-2.4196,-0.0089,-0.0252,-0.0061
P1I,I,778883,0.9899,0.9851,0.9961,1.0000,0.9712,-1.1640,-9.4406,-2.4214,-0.0048,-0.0037,-0.0093
P1I,I,778903,0.9892,0.9871,0.9969,0.9759,0.9694,-1.1059,-9.4591,-2.4136,0.0145,-0.0274,-0.0120
P1I,I,778923,0.9896,0.9879,0.9723,0.9945,1.0000,-1.1766,-9.4885,-2.4896,0.0180,-0.0662,-0.0217
P1I,I,778943,0.9903,0.9851,0.9916,0.9869,0.9531,-1.2394,-9.5621,-2.4860,0.0039,-0.0632,-0.0151
P1I,I,778963,0.9899,0.9855,0.9928,1.0000,0.9680,-1.2586,-9.5394,-2.4705,0.0063,-0.0272,-0.0064
P1I,I,778983,0.9899,0.9919,0.9994,0.9850,0.9544,-1.0299,-9.5202,-2.4262,0.0000,-0.0203,-0.0029
P1I,I,779003,0.9896,0.9875,0.9891,1.0000,0.9495,-1.1598,-9.4669,-2.4154,-0.0081,-0.0597,-0.0159
P1I,I,779023,0.9885,0.9831,0.9920,0.9858,0.9372,-1.2059,-9.4969,-2.4447,0.0056,-0.0277,-0.0072
P1I,I,779043,0.9892,0.9851,0.9883,0.9995,1.0000,-1.0969,-9.5226,-2.4202,0.0128,-0.0318,-0.0123
P1I,I,779063,0.9907,0.9871,0.9842,1.0000,0.9467,-1.2155,-9.4591,-2.4741,0.0031,-0.0420,-0.0109
P1I,I,779083,0.9892,0.9855,0.9842,0.9960,1.0000,-1.0772,-9.5136,-2.4034,0.0199,-0.0346,-0.0139
P1I,I,779103,0.9889,0.9855,0.9875,1.0000,0.9649,-1.2071,-9.5064,-2.4435,0.0093,-0.0636,-0.0185
P1I,I,779123,0.9903,0.9863,1.0000,0.9873,0.9531,-1.2676,-9.5412,-2.4250,0.0089,-0.0157,-0.0079
P1I,I,779143,0.9910,0.9855,0.9908,1.0000,0.9644,-1.1089,-9.4849,-2.4034,0.0115,-0.0429,-0.0067
P1I,I,779163,0.9885,0.9831,0.9932,0.9911,1.0000,-1.3149,-9.5406,-2.4130,0.0161,-0.0485,-0.0107
P1I,I,779183,0.9881,0.9855,0.9858,1.0000,0.9635,-1.1538,-9.4885,-2.4130,0.0143,-0.0266,0.0007
