person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1J,J,107363,0.9921,0.9874,0.9784,1.0000,1.0000,-2.4483,-8.8185,-3.6159,0.0121,-0.0533,-0.0105
P1J,J,107383,0.9946,0.9850,0.9940,0.9886,0.9648,-2.5423,-8.9448,-3.6554,0.0254,-0.0286,-0.0008
P1J,J,107403,0.9914,0.9838,0.9955,1.0000,0.9731,-2.4657,-8.9670,-3.6799,0.0185,-0.0052,0.0059
P1J,J,107423,0.9907,0.9930,0.9898,1.0000,0.8869,-2.3190,-8.9232,-3.7296,0.0123,-0.0073,0.0032
P1J,J,107443,0.9914,0.9858,0.9943,0.9859,1.0000,-2.4034,-8.8891,-3.6913,0.0049,-0.0390,0.0009
P1J,J,107463,0.9921,0.9886,0.9940,0.9856,0.9486,-2.4034,-8.8227,-3.7207,0.0175,-0.0310,0.0007
P1J,J,107483,0.9914,0.9827,1.0000,0.9701,0.9589,-2.4495,-8.9071,-3.7296,0.0113,-0.0340,-0.0020
P1J,J,107503,0.9925,0.9890,1.0000,1.0000,1.0000,-2.5255,-8.8316,-3.7320,0.0175,-0.0212,-0.0080
P1J,J,107523,0.9921,0.9866,1.0000,0.9799,0.9775,-2.4351,-8.9807,-3.7362,0.0039,-0.0033,-0.0008
P1J,J,107543,0.9893,0.9874,0.9936,0.9780,0.9750,-2.5363,-8.9250,-3.7021,-0.0148,-0.0369,0.0084
P1J,J,107563,0.9903,0.9831,0.9925,0.9923,0.9564,-2.5339,-8.8712,-3.6123,0.0117,-0.0029,0.0196
P1J,J,107583,0.9907,0.9862,0.9856,0.9912,0.9692,-2.3220,-8.9777,-3.6105,0.0171,0.0123,0.0292
P1J,J,107603,0.9914,0.9870,0.9970,0.9972,1.0000,-2.2519,-8.9214,-3.6249,0.0003,-0.0573,0.0013
P1J,J,107623,0.9932,0.9882,0.9902,1.0000,1.0000,-2.4537,-8.9562,-3.6805,0.0012,-0.0509,-0.0092
P1J,J,107643,0.9914,0.9850,0.9928,1.0000,0.9281,-2.3609,-8.9220,-3.6764,-0.0092,-0.0135,0.0023
P1J,J,107663,0.9907,0.9965,0.9913,0.9999,1.0000,-2.3280,-8.8825,-3.6464,-0.0052,-0.0254,-0.0097
P1J,J,107683,0.9900,0.9834,0.9936,1.0000,1.0000,-2.4022,-8.8801,-3.5925,0.0159,-0.0354,-0.0132
P1J,J,107703,0.9893,0.9862,0.9959,1.0000,1.0000,-2.4687,-8.9705,-3.6380,0.0240,-0.0212,-0.0040
P1J,J,107723,0.9885,0.9858,0.9864,1.0000,0.9633,-2.3824,-8.9191,-3.6434,0.0076,-0.0112,0.0007
P1J,J,107743,0.9921,0.9866,0.9894,0.9875,0.9237,-2.4208,-8.8526,-3.6470,0.0093,-0.0188,-0.0099
