person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1K,K,906563,0.9944,0.9994,0.9872,1.0000,0.9621,-2.0364,-9.0478,-3.5159,0.0377,-0.0120,0.0148
P1K,K,906583,0.9952,0.9982,1.0000,0.9928,0.9708,-1.9927,-9.0059,-3.5812,0.0322,-0.0036,0.0083
P1K,K,906603,0.9956,0.9986,1.0000,1.0000,0.9882,-2.0046,-9.0484,-3.5704,0.0326,-0.0325,-0.0119
P1K,K,906623,0.9956,0.9977,0.9982,0.9950,1.0000,-2.1525,-8.9316,-3.5847,0.0370,-0.0442,-0.0253
P1K,K,906643,0.9933,0.9948,0.9965,0.9991,1.0000,-2.1447,-9.0945,-3.6722,0.0430,-0.0400,-0.0149
P1K,K,906663,0.9944,0.9969,0.9893,0.9943,0.9361,-2.0597,-8.9574,-3.7237,0.0233,-0.0326,-0.0049
P1K,K,906683,0.9952,0.9960,1.0000,0.9943,0.9626,-2.0418,-9.0041,-3.7326,0.0127,-0.0657,-0.0061
P1K,K,906703,0.9952,0.9960,0.9876,0.9898,1.0000,-2.0992,-8.9376,-3.7069,0.0160,-0.0614,-0.0127
P1K,K,906723,0.9952,0.9973,1.0000,0.9909,0.9447,-2.0328,-8.8981,-3.6931,0.0253,-0.0245,-0.0132
P1K,K,906743,0.9956,0.9960,1.0000,0.9973,0.9297,-1.9843,-8.9969,-3.7183,0.0241,-0.0261,-0.0172
P1K,K,906763,0.9956,0.9965,0.9965,0.9913,0.9841,-2.0597,-8.9969,-3.7710,0.0116,-0.0413,-0.0249
P1K,K,906783,0.9940,0.9977,0.9952,1.0000,1.0000,-2.1220,-8.9262,-3.7482,0.0047,-0.0211,-0.0222
P1K,K,906803,0.9944,0.9939,0.9690,0.9976,1.0000,-2.0938,-8.9077,-3.7069,0.0008,-0.0144,-0.0217
P1K,K,906823,0.9993,0.9944,0.9918,0.9898,1.0000,-2.2034,-8.8987,-3.6782,0.0152,-0.0273,-0.0290
P1K,K,906843,0.9959,0.9990,0.9897,1.0000,0.9443,-2.3130,-8.9478,-3.6877,0.0188,-0.0229,-0.0301
P1K,K,906863,0.9933,0.9956,1.0000,1.0000,1.0000,-2.3765,-8.9616,-3.6758,0.0095,-0.0079,-0.0037
P1K,K,906883,0.9925,0.9927,0.9956,1.0000,0.9434,-2.3118,-8.9340,-3.6782,0.0021,0.0039,0.0152
P1K,K,906903,0.9944,0.9927,0.9893,0.9898,1.0000,-2.2986,-8.9795,-3.6171,0.0087,0.0024,0.0220
P1K,K,906923,0.9956,0.9948,1.0000,1.0000,0.9735,-2.1489,-8.9813,-3.5829,-0.0084,-0.0183,0.0184
P1K,K,906943,0.9948,0.9935,0.9796,0.9943,0.9530,-2.1621,-9.0178,-3.5153,-0.0117,-0.0665,0.0023
P1K,K,906963,0.9933,0.9935,0.9720,1.0000,1.0000,-2.2549,-8.9765,-3.4752,-0.0059,-0.0585,0.0016
P1K,K,906983,0.9956,0.9944,0.9952,0.9901,1.0000,-2.1112,-9.0849,-3.5165,-0.0028,-0.0301,0.0205
P1K,K,907003,0.9933,0.9948,0.9889,0.9721,1.0000,-2.0028,-9.0059,-3.4626,-0.0051,-0.0396,0.0153
P1K,K,907023,0.9952,0.9956,0.9961,0.9883,1.0000,-2.0160,-9.0538,-3.4770,0.0180,-0.0544,0.0045
P1K,K,907043,0.9940,0.9960,0.9990,0.9819,1.0000,-2.0382,-9.0556,-3.4895,0.0261,-0.0560,-0.0056
P1K,K,907063,0.9963,0.9944,0.9948,0.9853,0.9799,-2.0723,-9.0651,-3.5572,0.0248,-0.0222,0.0037
P1K,K,907083,0.9952,0.9944,0.9965,0.9916,0.9489,-1.9591,-9.0376,-3.6189,0.0289,-0.0084,0.0043
P1K,K,907103,0.9940,0.9973,0.9931,0.9969,1.0000,-1.9549,-9.0592,-3.6512,0.0233,-0.0249,-0.0035
P1K,K,907123,0.9922,0.9897,0.9948,0.9976,1.0000,-1.9669,-9.0747,-3.6494,0.0197,-0.0494,-0.0209
P1K,K,907143,0.9899,0.9931,0.9931,0.9819,1.0000,-2.1501,-9.0508,-3.6201,0.0073,-0.0426,-0.0261
P1K,K,907163,0.9952,0.9969,0.9982,0.9766,0.9818,-2.1286,-9.0155,-3.5590,0.0116,-0.0218,-0.0077
P1K,K,907183,0.9944,0.9956,1.0000,0.9988,1.0000,-2.0615,-9.0556,-3.5997,0.0200,-0.0306,-0.0099
P1K,K,907203,0.9933,0.9956,1.0000,1.0000,0.9781,-2.1358,-9.0496,-3.6255,0.0314,-0.0473,-0.0148
P1K,K,907223,0.9948,0.9977,1.0000,0.9965,1.0000,-2.1585,-9.0610,-3.6536,0.0338,-0.0392,-0.0033
P1K,K,907243,0.9952,0.9939,0.9935,0.9901,0.9484,-2.0088,-9.0256,-3.6913,0.0325,-0.0556,0.0009
P1K,K,907263,0.9959,0.9931,1.0000,0.9991,1.0000,-1.9765,-9.0011,-3.7584,0.0362,-0.0697,-0.0051
P1K,K,923483,0.7096,0.5887,0.0000,0.0000,0.1642,-0.7155,-9.0382,-3.8769,0.0478,-0.0994,0.0031
P1K,K,923503,0.7103,0.5908,0.0000,0.0000,0.2309,-0.7173,-9.2029,-3.8686,0.0572,-0.0737,0.0053
P1K,K,923523,0.7040,0.5862,0.0000,0.0000,0.1614,-0.6419,-9.1867,-3.8542,0.0199,-0.0388,0.0105
P1K,K,923543,0.7111,0.5841,0.0000,0.0000,0.2432,-0.4976,-9.1238,-3.8380,0.0003,-0.0258,0.0109
P1K,K,923563,0.7133,0.5833,0.0000,0.0000,0.2327,-0.4838,-9.0460,-3.7919,0.0317,-0.0433,-0.0044
P1K,K,923583,0.7145,0.5845,0.0000,0.0000,0.2281,-0.5628,-9.2154,-3.8434,0.0354,-0.0682,-0.0176
