person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1L,L,999663,0.9958,0.9929,0.9935,1.0000,1.0000,-2.3226,-9.4238,-1.8064,0.0256,-0.0234,-0.0040
P1L,L,999683,0.9940,0.9915,0.9948,0.9806,1.0000,-2.2783,-9.4681,-1.8663,0.0127,-0.0041,0.0035
P1L,L,999703,0.9925,0.9929,0.9944,0.9906,0.9631,-2.2058,-9.4190,-1.8807,0.0133,-0.0104,-0.0003
P1L,L,999723,0.9943,0.9897,0.9906,0.9791,0.9754,-2.2064,-9.3855,-1.9364,0.0273,-0.0457,-0.0049
P1L,L,999743,0.9874,0.9906,0.9931,1.0000,0.9784,-2.3118,-9.4298,-1.9579,0.0256,-0.0358,-0.0056
P1L,L,999763,0.9961,0.9934,0.9889,1.0000,1.0000,-2.3854,-9.5088,-1.9927,-0.0001,-0.0240,0.0004
P1L,L,999783,0.9896,0.9943,0.9969,0.9879,0.9456,-2.3160,-9.3567,-1.9394,-0.0226,0.0121,0.0061
P1L,L,999803,0.9950,0.9925,0.9931,0.9841,0.9776,-2.0915,-9.3603,-1.9555,-0.0044,-0.0043,-0.0067
P1L,L,999823,0.9943,0.9893,1.0000,0.9998,1.0000,-2.2543,-9.3915,-1.9292,-0.0052,-0.0405,-0.0220
P1L,L,999843,0.9932,0.9965,0.9910,0.9688,1.0000,-2.3465,-9.4855,-1.8262,-0.0053,-0.0173,-0.0208
P1L,L,999863,0.9943,0.9915,0.9746,0.9879,0.9469,-2.3753,-9.4951,-1.6711,-0.0140,-0.0306,-0.0140
P1L,L,999883,0.9936,0.9929,0.9956,0.9806,1.0000,-2.5998,-9.5286,-1.6053,-0.0091,0.0004,-0.0008
P1L,L,999903,0.9940,0.9906,0.9960,0.9848,1.0000,-2.5040,-9.5591,-1.5071,0.0019,0.0234,0.0329
P1L,L,999923,0.9943,0.9925,0.9981,0.9741,0.9447,-2.4184,-9.4005,-1.4795,0.0205,0.0005,0.0446
P1L,L,999943,0.9925,0.9906,0.9952,0.9875,0.9754,-2.2453,-9.2532,-1.5927,0.0592,0.0241,0.0542
P1L,L,999963,0.9943,0.9911,0.9944,0.9734,1.0000,-1.9082,-9.1598,-1.7669,0.1051,0.0693,0.0348
P1L,L,999983,0.9940,0.9906,0.9918,0.9818,0.9434,-1.6430,-9.3579,-2.0621,0.1086,0.0666,-0.0177
P1L,L,1000003,0.9932,0.9920,0.9935,0.9933,0.9570,-1.7849,-9.3903,-2.2507,0.0312,-0.0280,-0.0730
P1L,L,1000023,0.9947,0.9920,0.9881,0.9979,0.9548,-2.3567,-9.2975,-2.2771,-0.0450,-0.0582,-0.1061
P1L,L,1000043,0.9958,0.9943,0.9918,0.9860,0.9359,-2.7549,-9.3460,-2.1591,-0.0533,-0.0021,-0.0870
P1L,L,1000063,0.9950,0.9906,0.9927,0.9848,0.9749,-2.8058,-9.3651,-2.0094,-0.0077,0.0155,-0.0581
P1L,L,1000083,0.9914,0.9920,0.9897,0.9937,0.9666,-2.8656,-9.4400,-2.0088,0.0089,-0.0336,-0.0143
P1L,L,1000103,0.9925,0.9911,0.9902,1.0000,1.0000,-2.7992,-9.3987,-2.0034,0.0115,-0.0674,0.0276
P1L,L,1000123,0.9958,0.9925,0.9931,0.9887,0.9302,-2.5561,-9.4214,-1.9729,-0.0037,-0.0356,0.0526
P1L,L,1000143,0.9943,0.9897,0.9893,0.9860,0.9933,-2.2483,-9.4663,-1.8298,-0.0254,-0.0381,0.0604
P1L,L,1000163,0.9943,0.9911,0.9927,0.9902,0.9653,-2.1064,-9.4957,-1.6669,-0.0309,-0.1138,0.0408
P1L,L,1000183,0.9950,0.9857,0.9985,1.0000,0.9394,-2.1256,-9.5807,-1.5705,-0.0148,-0.1324,0.0306
P1L,L,1000203,0.9932,0.9893,0.9948,0.9910,0.9302,-2.0495,-9.6028,-1.5304,-0.0016,-0.1278,0.0258
P1L,L,1000223,0.9914,0.9906,0.9931,1.0000,1.0000,-2.0944,-9.5418,-1.5202,0.0234,-0.1081,0.0292
P1L,L,1000243,0.9950,0.9897,0.9927,0.9707,1.0000,-1.9555,-9.5513,-1.6029,0.0679,-0.0620,0.0337
P1L,L,1000263,0.9914,0.9888,0.9906,1.0000,0.9692,-1.7436,-9.5693,-1.7208,0.0987,-0.0935,0.0229
P1L,L,1000283,0.9918,0.9906,0.9885,1.0000,1.0000,-1.9256,-9.5573,-1.9010,0.1057,-0.1147,-0.0007
P1L,L,1000303,0.9936,0.9897,0.9948,0.9967,1.0000,-2.0220,-9.5525,-1.9561,0.0901,-0.0723,-0.0079
P1L,L,1000323,0.9932,0.9911,0.9910,0.9990,0.9776,-2.1262,-9.5621,-1.9400,0.0518,-0.0184,-0.0135
P1L,L,1000343,0.9925,0.9884,0.9872,1.0000,0.9364,-2.0663,-9.4519,-1.8256,0.0450,-0.0171,-0.0252
P1L,L,1015943,0.9269,0.7378,0.6534,0.0000,0.0000,-1.2466,-9.4190,-2.6926,-0.0085,-0.0232,0.0087
