person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1M,M,1138543,0.9937,0.9944,0.9898,1.0000,0.9822,-2.7926,-8.7700,-3.7751,0.0083,-0.0612,-0.0135
P1M,M,1138563,0.9945,0.9971,0.9941,0.9803,0.9716,-2.7124,-8.7891,-3.8093,0.0217,-0.0027,0.0009
P1M,M,1138583,0.9959,0.9931,0.9907,1.0000,1.0000,-2.7249,-8.8089,-3.8398,0.0027,-0.0314,0.0061
P1M,M,1138603,0.9945,0.9944,0.9902,0.9872,0.9566,-2.7537,-8.7891,-3.8183,-0.0091,-0.0215,0.0111
P1M,M,1138623,0.9930,0.9949,0.9937,1.0000,0.9610,-2.6651,-8.7993,-3.7638,-0.0132,-0.0176,0.0067
P1M,M,1138643,0.9930,0.9953,0.9902,0.9907,0.9597,-2.7483,-8.6802,-3.7177,0.0080,-0.0297,-0.0071
P1M,M,1138663,0.9963,0.9953,0.9670,0.9780,1.0000,-2.6812,-8.8047,-3.7356,0.0388,-0.0253,-0.0065
P1M,M,1138683,0.9945,0.9927,0.9756,0.9972,1.0000,-2.6818,-8.8448,-3.7476,0.0149,-0.0406,-0.0128
P1M,M,1138703,0.9930,0.9993,0.9911,0.9761,1.0000,-2.8141,-8.8340,-3.8033,0.0076,-0.0128,-0.0036
P1M,M,1138723,0.9992,0.9922,0.9863,1.0000,0.9650,-2.8231,-8.7191,-3.7859,0.0015,0.0092,0.0147
P1M,M,1138743,0.9937,0.9940,0.9894,0.9926,1.0000,-2.6704,-8.6987,-3.7267,0.0173,0.0278,0.0159
P1M,M,1138763,0.9937,0.9953,0.9937,1.0000,1.0000,-2.6842,-8.7628,-3.8051,0.0436,-0.0208,-0.0068
P1M,M,1138783,0.9923,1.0000,0.9786,0.9980,1.0000,-2.6740,-8.8544,-3.8254,0.0238,-0.0332,-0.0195
P1M,M,1138803,0.9941,0.9909,0.9932,0.9853,0.9795,-2.8213,-8.8011,-3.8153,0.0033,-0.0506,-0.0139
P1M,M,1138823,0.9923,0.9944,0.9885,0.9949,0.9415,-2.8668,-8.7676,-3.7650,-0.0125,-0.0356,0.0048
P1M,M,1138843,0.9927,0.9936,0.9863,0.9830,0.9406,-2.7333,-8.7957,-3.7943,-0.0067,-0.0356,0.0091
P1M,M,1138863,0.9923,0.9940,0.9907,0.9838,1.0000,-2.7267,-8.6981,-3.7201,0.0121,-0.0377,-0.0028
