person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1NEUTR,NEUTRAL,319903,0.9939,0.9904,0.9710,0.9785,0.9754,-1.8663,-9.1430,-3.1806,0.0445,-0.0412,0.0185
P1NEUTR,NEUTRAL,319923,0.9906,0.9909,0.9894,1.0000,0.9570,-1.7969,-9.2466,-3.3039,0.0305,-0.0663,0.0151
P1NEUTR,NEUTRAL,319943,0.9906,0.9918,0.9912,0.9916,0.9284,-1.8070,-9.1819,-3.3201,0.0168,-0.0625,0.0052
P1NEUTR,NEUTRAL,319963,0.9886,0.9887,0.9939,1.0000,0.9722,-1.8490,-9.2106,-3.2776,0.0136,-0.0501,0.0228
P1NEUTR,NEUTRAL,319983,0.9955,0.9882,0.9971,1.0000,1.0000,-1.7029,-9.2184,-3.1722,0.0270,-0.0258,0.0181
P1NEUTR,NEUTRAL,320003,0.9923,0.9918,0.9890,0.9998,0.9648,-1.7915,-9.2747,-3.1375,0.0181,-0.0486,0.0148
P1NEUTR,NEUTRAL,320023,0.9923,0.9904,0.9746,0.9924,0.9118,-1.7262,-9.2268,-3.1878,0.0209,-0.0441,0.0089
P1NEUTR,NEUTRAL,320043,0.9862,0.9900,0.9903,1.0000,0.9413,-1.8555,-9.2071,-3.2105,0.0101,-0.0530,0.0052
P1NEUTR,NEUTRAL,320063,0.9914,0.9900,0.9809,0.9842,1.0000,-1.9076,-9.2286,-3.2195,0.0212,-0.0485,0.0032
P1NEUTR,NEUTRAL,320083,0.9878,0.9945,0.9953,1.0000,0.9883,-1.8663,-9.2394,-3.2441,0.0056,-0.0564,-0.0104
P1NEUTR,NEUTRAL,320103,0.9914,0.9936,1.0000,0.9818,0.9607,-1.9525,-9.2214,-3.3225,-0.0048,-0.0652,-0.0156
P1NEUTR,NEUTRAL,320123,0.9898,0.9963,0.9782,0.9936,1.0000,-2.0034,-9.1705,-3.3285,-0.0360,-0.0766,-0.0108
P1NEUTR,NEUTRAL,320143,0.9955,0.9878,1.0000,1.0000,1.0000,-1.9178,-9.0286,-3.1979,-0.0329,-0.0711,-0.0128
P1NEUTR,NEUTRAL,320163,0.9906,0.9900,0.9917,1.0000,0.9335,-1.8310,-9.2909,-3.2201,-0.0100,-0.0887,-0.0049
P1NEUTR,NEUTRAL,320183,0.9910,0.9904,0.9751,0.9924,0.9533,-1.6813,-9.0113,-3.1249,-0.0056,-0.0794,-0.0191
P1NEUTR,NEUTRAL,320203,0.9939,0.9990,0.9917,0.9809,1.0000,-1.6735,-9.2562,-3.2997,0.0349,-0.0637,-0.0171
P1NEUTR,NEUTRAL,320223,0.9939,0.9913,0.9917,1.0000,1.0000,-1.6011,-9.1735,-3.3285,0.0099,-0.0470,-0.0229
