person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1N,N,1234323,0.9956,0.9928,0.9897,1.0000,1.0000,-2.3687,-9.2933,-2.5381,0.0115,-0.0705,0.0000
P1N,N,1234343,0.9934,0.9958,1.0000,0.9968,0.9522,-2.3429,-9.3076,-2.5441,-0.0015,-0.0085,0.0145
P1N,N,1234363,0.9926,0.9949,0.9820,1.0000,0.9258,-2.1603,-9.2262,-2.4633,-0.0061,0.0125,0.0111
P1N,N,1234383,0.9974,0.9949,0.9915,1.0000,1.0000,-2.0932,-9.3466,-2.3663,0.0173,0.0136,0.0009
P1N,N,1234403,0.9934,0.9954,0.9942,0.9902,1.0000,-2.1130,-9.3825,-2.3268,0.0071,-0.0115,-0.0091
P1N,N,1234423,0.9926,0.9949,0.9874,1.0000,0.9641,-2.2358,-9.3585,-2.3310,0.0092,-0.0332,-0.0175
P1N,N,1234443,0.9908,0.9945,1.0000,1.0000,0.9740,-2.3070,-9.3280,-2.3759,0.0016,-0.0161,-0.0117
P1N,N,1234463,0.9922,0.9954,0.9933,1.0000,1.0000,-2.3501,-9.2987,-2.3723,0.0091,-0.0196,-0.0147
P1N,N,1234483,0.9952,0.9954,1.0000,1.0000,1.0000,-2.3705,-9.3184,-2.3956,0.0143,-0.0361,-0.0141
P1N,N,1234503,0.9908,0.9941,0.9915,1.0000,1.0000,-2.3274,-9.3136,-2.3741,0.0141,-0.0488,-0.0128
P1N,N,1234523,0.9915,0.9945,0.9924,0.9805,0.9636,-2.3447,-9.3484,-2.3806,0.0189,-0.0576,-0.0037
P1N,N,1234543,0.9915,0.9928,0.9974,1.0000,1.0000,-2.2860,-9.3172,-2.3190,0.0217,-0.0456,0.0001
P1N,N,1234563,0.9908,0.9941,0.9607,1.0000,0.9601,-2.2244,-9.3250,-2.3375,0.0217,-0.0512,0.0009
P1N,N,1234583,0.9908,0.9919,0.9625,0.9926,0.9367,-2.3130,-9.3843,-2.4094,0.0208,-0.0473,-0.0028
P1N,N,1234603,0.9915,0.9936,0.9911,0.9754,1.0000,-2.2435,-9.2556,-2.3920,0.0209,-0.0266,-0.0028
P1N,N,1234623,0.9900,0.9941,1.0000,1.0000,0.9382,-2.2310,-9.2975,-2.4651,0.0322,-0.0537,-0.0088
P1N,N,1234643,0.9915,0.9958,1.0000,1.0000,1.0000,-2.3765,-9.3250,-2.5699,0.0171,-0.0446,-0.0016
P1N,N,1234663,0.9867,0.9928,0.9861,0.9949,0.9039,-2.3028,-9.2795,-2.5244,0.0007,-0.0071,-0.0027
P1N,N,1234683,0.9934,0.9915,0.9979,0.9844,0.9785,-2.1633,-9.3106,-2.4866,-0.0032,-0.0261,-0.0025
P1N,N,1234703,0.9930,0.9945,0.9988,0.9859,1.0000,-2.2298,-9.2855,-2.4100,-0.0037,-0.0446,-0.0079
P1N,N,1234723,0.9919,0.9906,1.0000,0.9852,1.0000,-2.2399,-9.3035,-2.3765,0.0100,-0.0353,-0.0100
P1N,N,1234743,0.9919,0.9936,0.9947,1.0000,1.0000,-2.2363,-9.3831,-2.3998,0.0019,-0.0147,-0.0099
P1N,N,1234763,0.9908,0.9941,0.9924,0.9972,0.9273,-2.2375,-9.3130,-2.3627,-0.0060,-0.0089,-0.0100
P1N,N,1234783,0.9948,0.9924,1.0000,1.0000,0.9726,-2.2088,-9.2969,-2.3274,0.0040,-0.0284,-0.0155
P1N,N,1234803,0.9926,0.9941,0.9852,0.9918,0.9467,-2.3657,-9.3346,-2.3806,0.0188,-0.0429,-0.0193
P1N,N,1234823,0.9915,0.9928,1.0000,1.0000,0.9512,-2.3639,-9.2963,-2.4046,0.0164,-0.0249,-0.0129
P1N,N,1234843,0.9900,0.9932,0.9671,1.0000,1.0000,-2.3938,-9.3364,-2.4040,0.0048,-0.0181,-0.0060
P1N,N,1234863,0.9930,0.9928,0.9969,0.9976,0.9343,-2.3765,-9.2633,-2.3795,0.0012,0.0031,0.0037
P1N,N,1234883,0.9904,0.9932,1.0000,1.0000,0.9706,-2.2657,-9.2837,-2.3854,0.0101,0.0047,0.0116
P1N,N,1234903,0.9941,0.9924,0.9906,0.9906,0.9363,-2.0885,-9.3238,-2.4046,0.0193,-0.0682,-0.0065
P1N,N,1234923,0.9915,0.9911,0.9779,0.9786,1.0000,-2.3812,-9.3514,-2.4411,0.0079,-0.0898,-0.0203
P1N,N,1234943,0.9889,0.9932,0.9920,0.9918,0.9442,-2.3226,-9.3023,-2.3980,-0.0039,-0.0168,-0.0035
P1N,N,1234963,0.9900,0.9949,0.9843,0.9980,1.0000,-2.1962,-9.2891,-2.3633,0.0139,-0.0232,-0.0011
P1N,N,1234983,0.9937,0.9911,0.9911,1.0000,0.9581,-2.2621,-9.3196,-2.3944,0.0217,-0.0520,-0.0137
P1N,N,1235003,0.9911,0.9949,0.9951,0.9681,1.0000,-2.3621,-9.3011,-2.4244,0.0265,-0.0332,-0.0152
P1N,N,1248963,0.9105,0.4599,0.5370,0.5837,0.5588,0.0042,-9.5190,2.3148,0.0476,-0.0898,0.0080
P1N,N,1249003,0.9087,0.4608,0.5357,0.5775,0.5295,0.1832,-9.4244,2.4004,-0.0111,-0.0454,0.0345
P1N,N,1249023,0.9094,0.4599,0.5298,0.5919,0.6404,0.0862,-9.4394,2.4603,-0.0165,-0.1234,0.0552
P1N,N,1249043,0.9083,0.4599,0.5456,0.5904,0.6498,-0.0599,-9.4813,2.4747,-0.0211,-0.1033,0.0572
P1N,N,1249063,0.9142,0.4612,0.5475,0.5849,0.6280,0.0222,-9.3621,2.4992,0.0288,-0.0081,0.0420
P1N,N,1249083,0.9102,0.4608,0.5366,0.5655,0.6354,0.2814,-9.4160,2.4058,0.0434,0.0258,0.0297
P1N,N,1249103,0.9109,0.4582,0.5452,0.5592,0.6265,0.5233,-9.3891,2.3196,0.0480,-0.0457,0.0400
P1N,N,1249123,0.9120,0.4586,0.5542,0.5666,0.6215,0.3126,-9.4783,2.2100,0.0336,-0.1175,0.0417
P1N,N,1249143,0.9120,0.4659,0.5316,0.5966,0.5618,0.2245,-9.5495,2.2453,0.0115,-0.0416,0.0136
P1N,N,1249163,0.9098,0.4621,0.5447,0.5837,0.5583,0.4772,-9.4028,2.3178,-0.0225,-0.0108,0.0061
P1N,N,1249183,0.9087,0.4625,0.5361,0.5818,0.5146,0.3581,-9.4094,2.3753,-0.0067,-0.0771,-0.0003
P1N,N,1249203,0.9094,0.4599,0.5375,0.6001,0.6762,0.1305,-9.3975,2.4351,-0.0001,-0.0659,-0.0167
P1N,N,1249223,0.9131,0.4621,0.5334,0.5950,0.6116,0.1455,-9.4448,2.4735,-0.0004,0.0045,-0.0266
P1N,N,1249243,0.9094,0.4595,0.5370,0.5682,0.5539,0.1659,-9.4298,2.5088,-0.0179,0.0189,-0.0237
P1N,N,1249263,0.9102,0.4633,0.5339,0.6036,0.6150,0.2191,-9.3573,2.5609,-0.0064,0.0040,-0.0207
P1N,N,1249283,0.9124,0.4612,0.5425,0.5865,0.5206,0.1916,-9.4364,2.5070,0.0289,-0.0360,-0.0071
P1N,N,1249303,0.9105,0.4655,0.5312,0.5950,0.6454,0.0730,-9.4178,2.4567,0.0408,-0.0440,-0.0032
P1N,N,1249323,0.9109,0.4560,0.5398,0.5764,0.5688,0.0880,-9.5064,2.4088,0.0204,-0.0137,0.0051
P1N,N,1249343,0.9102,0.4612,0.5352,0.5818,0.6702,0.2778,-9.4801,2.4046,-0.0151,-0.0238,0.0145
P1N,N,1249363,0.9139,0.4633,0.5307,0.5904,0.5509,0.2545,-9.3705,2.4315,-0.0209,-0.0678,0.0168
P1N,N,1249383,0.9098,0.4608,0.5348,0.5911,0.6454,0.1389,-9.3687,2.4399,0.0175,-0.0506,0.0065
P1N,N,1249403,0.9120,0.4552,0.5389,0.5736,0.5887,0.2545,-9.4064,2.4902,0.0396,-0.0131,0.0004
P1N,N,1249423,0.9017,0.4504,0.5461,0.5857,0.5792,0.3233,-9.4543,2.4537,0.0139,-0.0284,-0.0021
P1N,N,1249443,0.9094,0.4603,0.5384,0.5857,0.6618,0.2778,-9.4016,2.4124,-0.0009,-0.0488,0.0032
P1N,N,1249463,0.9109,0.4603,0.5411,0.5775,0.5877,0.1820,-9.3873,2.4525,0.0123,-0.0442,-0.0044
P1N,N,1249483,0.9083,0.4621,0.5140,0.5791,0.6528,0.2275,-9.3340,2.4663,0.0702,-0.0125,-0.0184
P1N,N,1249503,0.9087,0.4599,0.5461,0.6238,0.5345,0.2179,-9.4693,2.3621,0.0853,-0.0215,-0.0199
P1N,N,1249523,0.9117,0.4603,0.5402,0.6114,0.6359,0.2563,-9.5226,2.2591,0.0165,-0.0420,-0.0079
P1N,N,1249543,0.9098,0.4621,0.5330,0.5853,0.6827,0.2299,-9.4741,2.2615,-0.0530,-0.0747,-0.0013
P1N,N,1249563,0.9102,0.4586,0.5434,0.5802,0.6558,0.0587,-9.4466,2.3585,-0.0673,-0.0917,-0.0057
P1N,N,1249583,0.9113,0.4612,0.5389,0.5767,0.5733,-0.0204,-9.3861,2.3705,-0.0380,-0.0915,0.0060
P1N,N,1249603,0.9105,0.4616,0.5366,0.6055,0.5892,-0.1162,-9.4436,2.4004,-0.0105,-0.0574,0.0132
P1N,N,1249623,0.9072,0.4625,0.5429,0.5997,0.6275,0.0419,-9.4693,2.4537,-0.0180,-0.0136,0.0324
P1N,N,1249643,0.9113,0.4590,0.5461,0.5876,0.6469,0.2527,-9.3981,2.4345,-0.0211,-0.0376,0.0409
P1N,N,1249663,0.9117,0.4616,0.5076,0.6047,0.6275,0.2012,-9.4148,2.4369,-0.0221,-0.0506,0.0441
P1N,N,1249683,0.9105,0.4603,0.5348,0.5954,0.5772,0.3796,-9.3669,2.4603,-0.0540,-0.0321,0.0372
P1N,N,1249703,0.9109,0.4633,0.5312,0.5958,0.6687,0.4413,-9.3915,2.5728,-0.0237,-0.0653,0.0220
P1N,N,1249723,0.9094,0.4578,0.5366,0.5872,0.6295,0.3066,-9.3591,2.5106,-0.0262,-0.0751,0.0164
P1N,N,1249743,0.9109,0.4621,0.5280,0.5935,0.5782,0.3042,-9.3508,2.5603,-0.0096,-0.0276,0.0051
P1N,N,1249763,0.9087,0.4599,0.5348,0.5728,0.5902,0.4191,-9.3681,2.6016,-0.0052,-0.0204,-0.0067
P1N,N,1249783,0.9128,0.4612,0.5447,0.5538,0.6633,0.3712,-9.3801,2.6339,-0.0181,-0.0472,-0.0107
P1N,N,1249803,0.9113,0.4672,0.5248,0.5919,0.6339,0.2784,-9.3549,2.6357,-0.0116,-0.0369,-0.0318
P1N,N,1249823,0.9083,0.4629,0.5375,0.6094,0.6394,0.2485,-9.4382,2.6225,0.0112,-0.0236,-0.0337
P1N,N,1249843,0.9083,0.4625,0.5493,0.5950,0.5385,0.1329,-9.3651,2.5669,-0.0091,-0.0276,-0.0246
P1N,N,1249863,0.9069,0.4603,0.5384,0.5896,0.6653,0.0677,-9.3699,2.5447,0.0039,-0.0269,-0.0157
P1N,N,1249883,0.9072,0.4582,0.5334,0.6001,0.6434,0.0766,-9.4058,2.5381,0.0406,-0.0215,-0.0117
P1N,N,1249903,0.9102,0.4582,0.5384,0.5802,0.6588,0.1192,-9.5094,2.4429,0.0524,-0.0377,0.0073
P1N,N,1249923,0.9080,0.4578,0.5330,0.5888,0.6419,0.1617,-9.4567,2.4549,0.0100,-0.0481,0.0149
P1N,N,1249943,0.9109,0.4621,0.5379,0.5861,0.6444,0.2802,-9.3933,2.4705,-0.0016,-0.0494,0.0176
P1N,N,1249963,0.9113,0.4582,0.5443,0.5725,0.5723,0.2802,-9.3699,2.5130,0.0032,-0.0473,0.0061
P1N,N,1249983,0.9069,0.4599,0.5389,0.5764,0.6125,0.3449,-9.4136,2.5160,0.0157,-0.0253,-0.0015
P1N,N,1250003,0.9117,0.4621,0.5407,0.5974,0.5534,0.3970,-9.3783,2.4932,0.0127,-0.0625,0.0040
P1N,N,1250023,0.9098,0.4616,0.5321,0.5977,0.6419,0.2587,-9.4052,2.5016,0.0180,-0.0731,0.0029
P1N,N,1250043,0.9102,0.4590,0.5312,0.6063,0.5206,0.2964,-9.4621,2.4782,0.0051,-0.0317,-0.0064
P1N,N,1250063,0.9080,0.4586,0.5316,0.5857,0.6593,0.3203,-9.3627,2.5297,0.0041,-0.0229,-0.0209
P1N,N,1250083,0.9094,0.4625,0.5447,0.5935,0.5449,0.2856,-9.4005,2.4621,0.0211,-0.0354,-0.0260
P1N,N,1250103,0.9109,0.4603,0.5389,0.5760,0.6354,0.2976,-9.3963,2.4327,0.0061,-0.0440,-0.0248
