person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1O,O,1361743,0.9928,0.9963,0.9927,0.9891,1.0000,-1.6556,-9.0149,-3.7111,0.0107,-0.0179,0.0013
P1O,O,1361763,0.9932,0.9950,0.9822,1.0000,0.9477,-1.6789,-9.0172,-3.7069,0.0148,-0.0421,-0.0096
P1O,O,1361783,0.9943,0.9915,0.9945,1.0000,1.0000,-1.7783,-9.0927,-3.7171,0.0169,-0.0436,-0.0155
P1O,O,1361803,0.9936,0.9907,0.9959,1.0000,0.9545,-1.8017,-9.0190,-3.6913,0.0240,-0.0266,0.0039
P1O,O,1361823,0.9943,0.9881,0.9872,1.0000,1.0000,-1.6430,-9.0855,-3.7440,0.0293,-0.0238,0.0128
P1O,O,1361843,0.9924,0.9915,0.9968,0.9880,0.9699,-1.6436,-9.0969,-3.7686,0.0160,-0.0494,0.0044
P1O,O,1361863,0.9936,0.9915,0.9945,1.0000,0.9999,-1.7442,-9.0232,-3.8213,0.0081,-0.0272,0.0109
P1O,O,1361883,0.9947,0.9928,1.0000,0.9809,0.9605,-1.6460,-9.0310,-3.7811,0.0035,0.0191,0.0252
P1O,O,1361903,0.9932,0.9915,0.9681,0.9865,0.9494,-1.5202,-8.9562,-3.7231,0.0069,0.0068,0.0093
P1O,O,1361923,0.9924,0.9915,0.9923,0.9973,0.9712,-1.7178,-9.0167,-3.7231,0.0325,-0.0310,0.0020
P1O,O,1361943,0.9924,1.0000,0.9877,0.9749,0.9995,-1.5771,-9.1382,-3.8362,0.0290,-0.0412,0.0032
P1O,O,1361963,0.9947,0.9902,0.9767,1.0000,0.9751,-1.6334,-8.9933,-3.8494,0.0148,-0.0602,-0.0053
P1O,O,1361983,0.9962,0.9881,0.9749,0.9861,0.9515,-1.6340,-9.1244,-3.8668,0.0109,-0.0277,0.0097
P1O,O,1362003,0.9928,0.9907,0.9909,1.0000,1.0000,-1.5610,-9.0861,-3.8506,-0.0168,-0.0270,0.0064
P1O,O,1362023,0.9939,0.9915,0.9918,1.0000,1.0000,-1.5041,-9.0478,-3.7566,-0.0224,-0.0314,-0.0037
P1O,O,1362043,0.9920,0.9907,0.9913,1.0000,0.9742,-1.5681,-9.0406,-3.6823,-0.0147,-0.0420,-0.0125
P1O,O,1362063,0.9928,0.9885,0.9964,0.9988,1.0000,-1.7124,-9.0436,-3.6482,0.0035,-0.0228,-0.0160
P1O,O,1362083,0.9943,0.9777,0.9927,0.9839,0.9691,-1.5633,-9.1071,-3.6021,0.0157,-0.0072,-0.0077
P1O,O,1362103,0.9928,0.9902,0.9964,0.9939,0.9562,-1.5969,-9.1454,-3.6093,0.0185,-0.0353,-0.0172
P1O,O,1362123,0.9932,0.9898,1.0000,0.9909,0.9370,-1.6819,-9.0244,-3.6590,0.0254,-0.0324,-0.0204
P1O,O,1362143,0.9920,0.9959,1.0000,1.0000,1.0000,-1.6843,-9.0616,-3.7344,0.0368,-0.0199,-0.0125
P1O,O,1362163,0.9924,0.9915,0.9799,1.0000,0.9160,-1.7172,-9.1029,-3.7865,0.0199,-0.0377,-0.0141
P1O,O,1362183,0.9932,0.9838,0.9973,0.9973,0.9344,-1.6538,-9.0304,-3.7871,0.0172,-0.0334,-0.0213
P1O,O,1362203,0.9917,0.9907,0.9964,0.9935,0.9404,-1.7316,-9.0508,-3.7704,0.0088,-0.0556,-0.0285
P1O,O,1362223,0.9924,0.9885,0.9708,0.9891,1.0000,-1.7657,-9.0101,-3.7728,0.0111,-0.0453,-0.0163
P1O,O,1362243,0.9924,0.9907,0.9626,1.0000,0.9112,-1.7478,-9.0029,-3.7308,0.0153,-0.0262,-0.0085
P1O,O,1362263,0.9909,0.9907,0.9991,0.9928,0.9408,-1.6448,-8.9963,-3.7123,0.0250,-0.0425,-0.0069
P1O,O,1362283,0.9924,0.9911,0.9685,0.9801,0.9558,-1.7909,-9.0161,-3.7919,0.0257,-0.0573,-0.0100
P1O,O,1362303,0.9905,0.9877,1.0000,0.9883,0.9978,-1.7442,-9.0292,-3.7440,0.0294,-0.0425,-0.0067
P1O,O,1362323,0.9928,0.9898,0.9763,0.9827,1.0000,-1.7286,-9.0831,-3.8087,0.0145,-0.0542,0.0057
P1O,O,1362343,0.9932,0.9864,1.0000,1.0000,1.0000,-1.7041,-9.0101,-3.7955,0.0019,-0.0678,0.0107
P1O,O,1362363,0.9920,0.9911,0.9904,0.9906,0.9948,-1.6478,-9.0514,-3.7674,-0.0008,-0.0645,0.0152
P1O,O,1362383,0.9913,0.9890,0.9882,1.0000,0.9580,-1.5610,-9.0538,-3.7153,0.0020,-0.0750,0.0067
P1O,O,1362403,0.9928,0.9911,0.9900,0.9768,0.9657,-1.6142,-9.0849,-3.6273,0.0169,-0.0763,-0.0067
P1O,O,1362423,0.9917,0.9911,1.0000,0.9991,1.0000,-1.6286,-9.0951,-3.6512,0.0165,-0.0649,-0.0147
P1O,O,1392703,0.4082,0.4302,0.6998,0.8036,0.6246,0.6868,-9.3058,2.7782,0.0236,-0.0314,-0.0075
P1O,O,1392723,0.4078,0.4272,0.6998,0.7987,0.6216,0.7778,-9.3082,2.8088,0.0116,-0.0332,-0.0001
P1O,O,1392763,0.4078,0.4285,0.7071,0.7827,0.5770,0.6502,-9.2729,2.8351,0.0037,-0.0584,0.0032
P1O,O,1392783,0.4094,0.4285,0.7048,0.7838,0.5847,0.6544,-9.2939,2.8644,-0.0027,-0.0290,-0.0116
P1O,O,1392803,0.4078,0.4259,0.7016,0.7779,0.5830,0.6532,-9.2478,2.8513,-0.0051,-0.0268,-0.0141
P1O,O,1392823,0.4086,0.4276,0.6952,0.7745,0.5792,0.6461,-9.2657,2.8758,-0.0004,-0.0449,-0.0095
