person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1P,P,1560163,0.9894,0.9899,1.0000,0.9993,1.0000,-1.2053,-9.6352,-1.2586,0.0091,-0.0465,-0.0084
P1P,P,1560183,0.9901,0.9913,0.9991,0.9960,1.0000,-1.3077,-9.6597,-1.2993,0.0320,-0.0378,-0.0011
P1P,P,1560203,0.9905,0.9913,0.9888,0.9879,1.0000,-1.1083,-9.7411,-1.4137,0.0145,-0.0292,0.0017
P1P,P,1560223,0.9901,0.9950,0.9851,1.0000,1.0000,-1.3424,-9.7352,-1.4999,-0.0297,-0.0468,0.0065
P1P,P,1560243,0.9912,0.9908,0.9832,0.9847,0.9582,-1.3101,-9.7543,-1.5939,-0.0893,-0.0128,0.0522
P1P,P,1560263,0.9897,0.9880,0.9916,0.9997,1.0000,-1.2634,-9.2885,-1.3741,-0.1318,-0.0029,0.0750
P1P,P,1560283,0.9919,0.9941,0.9879,1.0000,0.9526,-0.9634,-9.4340,-1.1957,-0.0497,-0.0048,0.0360
P1P,P,1560303,0.9934,0.9917,0.9874,1.0000,0.9906,-0.9969,-9.6783,-1.1299,-0.0101,-0.0357,-0.0112
P1P,P,1560323,0.9916,0.9917,0.9874,1.0000,0.9240,-1.0933,-9.8040,-1.0748,0.0021,-0.0366,-0.0265
P1P,P,1560343,0.9923,0.9867,0.9963,1.0000,1.0000,-1.2023,-9.8825,-1.0574,-0.0041,-0.0318,-0.0221
P1P,P,1560363,0.9905,0.9871,0.9800,0.9977,1.0000,-1.1939,-9.6549,-1.0083,-0.0069,0.0029,-0.0112
P1P,P,1560383,0.9897,0.9843,0.9874,0.9831,1.0000,-1.2388,-9.6801,-0.9897,0.0409,0.0068,-0.0047
P1P,P,1560403,0.9916,0.9904,0.9930,1.0000,0.9621,-1.1831,-9.7298,-1.1173,0.0512,-0.0143,-0.0133
P1P,P,1560423,0.9927,0.9885,0.9870,0.9952,0.9569,-1.3903,-9.7855,-1.2532,0.0412,-0.0328,-0.0156
P1P,P,1560443,0.9905,0.9871,0.9758,0.9985,1.0000,-1.2825,-9.7124,-1.3526,-0.0032,0.0005,0.0079
P1P,P,1560463,0.9905,0.9839,0.9874,0.9826,1.0000,-1.1382,-9.5214,-1.2867,-0.0161,-0.0278,0.0209
