person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1Q,Q,1665363,0.9896,0.9872,0.9957,0.9583,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665383,0.9874,0.9872,0.9825,0.9955,0.9696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665403,0.9903,0.9851,0.9771,0.9694,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665423,0.9892,0.9864,0.9810,0.9782,0.9583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665443,0.9892,0.9847,0.9893,0.9817,0.9583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665463,0.9881,0.9885,0.9884,0.9870,0.9448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665483,0.9885,0.9872,0.9815,1.0000,0.9612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665503,0.9889,0.9830,0.9854,1.0000,0.9557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665523,0.9870,0.9843,0.9523,0.9962,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665543,0.9859,0.9809,0.9888,0.9794,0.9528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665563,0.9859,0.9809,0.9849,0.9897,0.9574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665583,0.9878,0.9868,0.9820,0.9920,0.9662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665603,0.9867,0.9855,0.9913,0.9978,0.9193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665623,0.9885,0.9834,0.9879,1.0000,0.9683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665643,0.9863,0.9860,0.9845,0.9836,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665663,0.9881,0.9817,0.9825,0.9821,0.9796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665683,0.9878,0.9851,0.9752,1.0000,0.9679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P1Q,Q,1665703,0.9885,0.9834,0.9737,0.9928,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
