person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1R,R,1794683,0.9896,0.9944,0.9948,0.9920,0.9545,-1.1089,-9.2232,-3.4075,0.0199,-0.0145,0.0004
P1R,R,1794703,0.9901,0.9944,1.0000,1.0000,0.9621,-1.0550,-9.2502,-3.3937,0.0099,-0.0242,-0.0115
P1R,R,1794723,0.9930,0.9930,0.9829,0.9819,0.9742,-1.1993,-9.2520,-3.3626,0.0132,-0.0380,-0.0313
P1R,R,1794743,0.9910,0.9930,0.9888,1.0000,0.9294,-1.2915,-9.2735,-3.3351,0.0079,-0.0221,-0.0117
P1R,R,1794763,0.9901,0.9930,0.9905,0.9854,0.9787,-1.2227,-9.2298,-3.2854,0.0116,-0.0281,-0.0053
P1R,R,1794783,0.9944,0.9930,0.9986,1.0000,0.9509,-1.3520,-9.2927,-3.3303,0.0167,-0.0422,-0.0135
P1R,R,1794803,0.9915,0.9935,0.9953,0.9920,0.9406,-1.2616,-9.2244,-3.3363,0.0196,-0.0172,0.0060
P1R,R,1794823,0.9925,0.9925,0.9915,1.0000,0.9325,-1.1059,-9.2705,-3.4021,0.0129,-0.0317,0.0053
P1R,R,1794843,0.9925,0.9925,0.9877,1.0000,1.0000,-1.1891,-9.1801,-3.3411,0.0033,-0.0622,-0.0155
P1R,R,1794863,0.9881,1.0000,0.9791,0.9994,0.9832,-1.2101,-9.2262,-3.3740,0.0112,-0.0569,-0.0240
P1R,R,1794883,0.9905,0.9925,0.9932,0.9815,0.9823,-1.1837,-9.2316,-3.4117,0.0159,-0.0428,-0.0144
P1R,R,1794903,0.9848,0.9940,0.9932,1.0000,1.0000,-1.1580,-9.2514,-3.4087,0.0125,-0.0328,-0.0057
P1R,R,1794923,0.9925,0.9890,0.9981,1.0000,0.9482,-1.2526,-9.1933,-3.4033,0.0052,-0.0289,-0.0096
P1R,R,1794943,0.9867,0.9895,0.9861,1.0000,1.0000,-1.2131,-9.1885,-3.3896,0.0141,-0.0187,-0.0053
P1R,R,1794963,0.9944,0.9930,0.9785,1.0000,1.0000,-1.1580,-9.2753,-3.4033,0.0065,-0.0232,-0.0115
P1R,R,1794983,0.9968,0.9925,0.9964,0.9893,0.9200,-1.2801,-9.2071,-3.3722,-0.0063,-0.0428,-0.0221
P1R,R,1795003,0.9920,0.9915,0.9948,0.9982,0.9531,-1.3131,-9.2304,-3.3638,-0.0012,-0.0100,0.0087
P1R,R,1795023,0.9915,0.9920,1.0000,1.0000,0.9518,-1.1095,-9.2358,-3.3464,0.0056,-0.0301,-0.0008
P1R,R,1795043,0.9886,0.9935,0.9715,0.9905,1.0000,-1.1951,-9.2921,-3.3171,-0.0036,-0.0557,-0.0304
P1R,R,1795063,0.9925,0.9910,0.9905,0.9889,1.0000,-1.3694,-9.2687,-3.3105,-0.0107,-0.0406,-0.0115
P1R,R,1795083,0.9915,0.9925,0.9910,0.9866,0.9253,-1.2280,-9.1987,-3.2279,0.0025,-0.0161,0.0075
P1R,R,1795103,0.9905,0.9885,0.9785,0.9691,0.9464,-1.2065,-9.3184,-3.2518,0.0200,-0.0356,-0.0008
P1R,R,1795123,0.9949,0.9915,0.9753,0.9858,0.9684,-1.2927,-9.2885,-3.3417,0.0176,-0.0421,-0.0085
P1R,R,1795143,0.9891,0.9915,0.9948,0.9912,0.9666,-1.2209,-9.2466,-3.3303,0.0129,-0.0185,0.0039
P1R,R,1795163,0.9934,0.9930,0.9964,0.9916,0.9442,-1.1502,-9.2813,-3.3015,0.0168,-0.0374,-0.0040
P1R,R,1795183,0.9915,0.9940,0.9796,0.9928,0.9177,-1.2215,-9.2717,-3.3333,0.0168,-0.0625,-0.0245
P1R,R,1795203,0.9867,0.9885,0.9981,0.9924,0.9370,-1.3717,-9.2124,-3.4147,0.0177,-0.0438,-0.0001
P1R,R,1795223,0.9901,0.9856,0.9574,0.9994,0.9366,-1.1646,-9.2059,-3.3734,0.0191,-0.0163,0.0270
P1R,R,1795243,0.9925,0.9910,0.9807,1.0000,0.9307,-1.0808,-9.2514,-3.4183,0.0072,-0.0497,-0.0035
P1R,R,1795263,0.9891,0.9930,0.9812,0.9924,0.9540,-1.2496,-9.1729,-3.3602,0.0056,-0.0492,-0.0224
P1R,R,1795283,0.9930,0.9910,0.9943,0.9994,0.9778,-1.2442,-9.2597,-3.3219,0.0068,-0.0164,0.0023
P1R,R,1795303,0.9944,0.9940,0.9943,0.9862,0.9644,-1.1173,-9.2490,-3.2866,0.0107,-0.0052,0.0088
P1R,R,1795323,0.9795,1.0000,0.9905,0.9940,0.9514,-1.2191,-9.2759,-3.2961,0.0217,-0.0284,-0.0107
P1R,R,1795343,0.9920,0.9910,0.9964,0.9943,0.9482,-1.3083,-9.2484,-3.3417,0.0258,-0.0384,-0.0228
P1R,R,1795363,0.9877,0.9915,0.9964,1.0000,0.9312,-1.3131,-9.2585,-3.3512,0.0260,-0.0372,-0.0067
P1R,R,1851603,0.7119,0.3300,0.1569,0.0000,0.7437,-0.8077,-8.9969,-4.2206,-0.0763,-0.0353,-0.0253
P1R,R,1851623,0.7114,0.3315,0.1807,0.0000,0.7428,-0.9095,-9.1238,-4.0566,-0.0969,-0.0241,-0.0437
P1R,R,1851643,0.7119,0.3325,0.1433,0.0000,0.7361,-1.0131,-9.1747,-3.8817,-0.0935,-0.0176,-0.0457
P1R,R,1851663,0.7105,0.3330,0.1601,0.0000,0.8374,-1.1328,-9.1693,-3.8195,-0.0769,-0.0264,-0.0488
P1R,R,1851683,0.7109,0.3330,0.1677,0.0000,0.7410,-1.2538,-9.0951,-3.7554,-0.0317,-0.0229,-0.0290
P1R,R,1851703,0.7162,0.3334,0.1623,0.0000,0.7388,-1.1801,-9.0280,-3.8254,0.0268,-0.0252,-0.0087
P1R,R,1851723,0.7105,0.3354,0.1585,0.0000,0.8226,-1.2891,-9.0777,-3.9679,0.0665,-0.0373,0.0067
P1R,R,1851743,0.7129,0.3334,0.1607,0.0000,0.7298,-1.2053,-8.9933,-4.1134,0.0524,-0.0492,0.0023
P1R,R,1851763,0.7105,0.3364,0.1590,0.0000,0.7585,-1.1969,-8.9226,-4.1781,0.0344,-0.0681,-0.0171
P1R,R,1851783,0.7105,0.3290,0.1585,0.0000,0.8101,-1.2730,-8.8891,-4.2326,-0.0019,-0.0743,-0.0209
P1R,R,1851803,0.7124,0.3300,0.1460,0.0000,0.7352,-1.2730,-9.0646,-4.3003,0.0007,-0.0460,-0.0104
P1R,R,1851823,0.7167,0.3315,0.1650,0.0000,0.8271,-1.1778,-8.9664,-4.2146,-0.0132,-0.0496,-0.0007
P1R,R,1851843,0.7105,0.3325,0.1807,0.0000,0.8191,-1.1029,-8.8676,-4.1003,0.0099,-0.0637,0.0220
P1R,R,1851863,0.7129,0.3374,0.1628,0.0000,0.7621,-0.9412,-8.9226,-4.1488,0.0108,-0.0557,0.0342
P1R,R,1851883,0.7143,0.3305,0.1623,0.0000,0.8244,-0.8119,-8.8053,-4.0260,0.0155,-0.0480,0.0177
P1R,R,1851903,0.7119,0.3305,0.1650,0.0000,0.8025,-0.9107,-9.0675,-4.0685,0.0293,-0.0332,-0.0087
P1R,R,1851923,0.7124,0.3325,0.1634,0.0000,0.7769,-1.0125,-9.1556,-4.0787,-0.0128,-0.0228,-0.0394
P1R,R,1851943,0.7124,0.3339,0.1628,0.0000,0.7886,-1.1682,-9.0891,-3.9656,-0.0370,-0.0021,-0.0441
P1R,R,1851963,0.7143,0.3325,0.1965,0.0000,0.8101,-1.2592,-9.0352,-3.9099,-0.0524,-0.0108,-0.0256
P1R,R,1851983,0.7148,0.3310,0.1655,0.0000,0.8482,-1.3023,-8.9634,-3.8177,-0.0220,-0.0296,-0.0151
P1R,R,1852003,0.7167,0.3349,0.1601,0.0000,0.8235,-1.2388,-9.1274,-3.9183,0.0224,-0.0354,-0.0009
P1R,R,1852023,0.7133,0.3315,0.1612,0.0000,0.8020,-1.1340,-9.0472,-4.0200,0.0228,-0.0534,-0.0031
P1R,R,1852043,0.7119,0.3339,0.1579,0.0000,0.8558,-1.2101,-8.9053,-4.1320,0.0127,-0.0581,-0.0056
P1R,R,1852063,0.7129,0.3334,0.1607,0.0000,0.8240,-1.1604,-8.8388,-4.2009,0.0069,-0.0249,0.0079
P1R,R,1852083,0.7124,0.3315,0.1829,0.0000,0.8365,-1.1352,-8.7945,-4.2051,0.0041,-0.0388,-0.0039
P1R,R,1852103,0.7109,0.3300,0.1677,0.0000,0.7361,-1.1658,-8.8807,-4.2512,0.0001,-0.0232,-0.0064
P1R,R,1852123,0.7129,0.3315,0.1541,0.0000,0.8433,-1.0490,-9.0053,-4.2140,-0.0065,-0.0200,-0.0076
P1R,R,1852143,0.7119,0.3339,0.1569,0.0000,0.8105,-1.1257,-8.9957,-4.1799,-0.0316,-0.0640,-0.0238
P1R,R,1852163,0.7114,0.3310,0.1590,0.0000,0.8182,-1.1508,-8.9466,-4.0721,-0.0245,-0.0517,-0.0161
P1R,R,1852183,0.7109,0.3315,0.1487,0.0000,0.7872,-1.1927,-9.0005,-4.0530,-0.0065,-0.0280,0.0033
P1R,R,1852203,0.7129,0.3334,0.1623,0.0000,0.8262,-1.1257,-9.0167,-4.0051,0.0021,-0.0189,-0.0059
