person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1SPACE,SPACE,193163,0.9867,0.9920,0.9952,0.9986,0.9469,-0.3640,-9.6777,-1.5011,0.0241,-0.0514,-0.0253
P1SPACE,SPACE,193183,0.9915,0.9929,1.0000,0.9960,1.0000,-0.5658,-9.7555,-1.5160,0.0281,-0.0318,-0.0117
P1SPACE,SPACE,193203,0.9915,0.9895,0.9983,0.9898,1.0000,-0.2946,-9.7843,-1.5202,0.0187,-0.0167,0.0011
P1SPACE,SPACE,193223,0.9886,0.9807,0.9792,0.9924,0.9356,-0.3587,-9.6765,-1.5095,0.0113,-0.0584,-0.0136
P1SPACE,SPACE,193243,0.9852,0.9908,1.0000,0.9986,1.0000,-0.4311,-9.6459,-1.5490,0.0293,-0.0532,-0.0149
P1SPACE,SPACE,193263,0.9856,0.9887,1.0000,1.0000,0.9266,-0.4000,-9.7495,-1.5879,0.0257,-0.0396,0.0071
P1SPACE,SPACE,193283,0.9834,0.9895,0.9912,1.0000,0.9706,-0.2814,-9.6914,-1.4921,0.0107,-0.0246,0.0032
P1SPACE,SPACE,193303,0.9871,0.9920,0.9917,1.0000,0.9824,-0.2934,-9.7633,-1.5352,0.0051,-0.0586,-0.0217
P1SPACE,SPACE,193323,0.9878,1.0000,0.9952,0.9792,0.9299,-0.4706,-9.6459,-1.4963,0.0037,-0.0596,-0.0234
P1SPACE,SPACE,193343,0.9874,0.9895,1.0000,0.9777,1.0000,-0.4850,-9.7298,-1.5125,0.0161,-0.0135,-0.0019
P1SPACE,SPACE,193363,0.9871,0.9903,0.9801,0.9975,0.9289,-0.3155,-9.7130,-1.5005,0.0133,0.0075,0.0096
P1SPACE,SPACE,193383,0.9845,0.9899,1.0000,1.0000,0.9739,-0.3131,-9.7633,-1.5370,0.0073,-0.0389,-0.0087
P1SPACE,SPACE,193403,0.9856,0.9841,0.9850,0.9836,1.0000,-0.4509,-9.6861,-1.4693,0.0120,-0.0497,-0.0139
P1SPACE,SPACE,193423,0.9860,0.9920,1.0000,1.0000,0.9772,-0.4221,-9.7609,-1.5550,0.0116,-0.0164,0.0073
P1SPACE,SPACE,193443,0.9841,0.9912,1.0000,0.9956,1.0000,-0.3078,-9.7022,-1.5095,0.0031,-0.0385,-0.0028
P1SPACE,SPACE,193463,0.9874,0.9899,0.9961,0.9814,0.9928,-0.3628,-9.6112,-1.4825,0.0125,-0.0484,-0.0229
P1SPACE,SPACE,193483,0.9867,0.9899,1.0000,0.9913,1.0000,-0.3940,-9.7447,-1.4951,0.0205,-0.0446,-0.0095
P1SPACE,SPACE,193503,0.9849,0.9874,0.9961,0.9759,0.9909,-0.4048,-9.7651,-1.5083,0.0124,-0.0454,-0.0096
P1SPACE,SPACE,193523,0.9849,0.9903,0.9965,0.9788,0.9351,-0.4353,-9.7459,-1.5250,0.0048,-0.0226,-0.0004
P1SPACE,SPACE,193543,0.9852,0.9853,1.0000,0.9960,1.0000,-0.3742,-9.6489,-1.4897,0.0103,0.0000,0.0087
P1SPACE,SPACE,193563,0.9886,0.9866,0.9841,0.9876,1.0000,-0.3958,-9.6645,-1.5592,0.0187,-0.0004,0.0052
P1SPACE,SPACE,193583,0.9849,0.9853,1.0000,0.9993,1.0000,-0.4886,-9.8034,-1.6394,0.0029,0.0044,0.0193
P1SPACE,SPACE,193603,0.9856,0.9845,0.9943,1.0000,1.0000,-0.3557,-9.8860,-1.6687,-0.0400,0.0111,0.0426
P1SPACE,SPACE,193623,0.9886,0.9769,0.9908,0.9960,1.0000,-0.2898,-9.7118,-1.6065,-0.0650,0.0425,0.0657
P1SPACE,SPACE,193643,0.9849,0.9878,1.0000,0.9945,1.0000,-0.0982,-9.6184,-1.3891,-0.0741,0.0586,0.0573
P1SPACE,SPACE,193663,0.9849,0.9845,0.9890,0.9997,0.9682,-0.1024,-9.6465,-1.2029,-0.0494,0.0252,0.0284
