person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1S,S,82143,0.9922,0.9907,1.0000,0.9957,0.9711,-1.3664,-9.2316,-3.4452,0.0209,-0.0155,0.0076
P1S,S,82163,0.9914,0.9928,1.0000,0.9803,0.9734,-1.1903,-9.2100,-3.4297,0.0123,-0.0176,0.0129
P1S,S,82183,0.9944,0.9870,0.9909,0.9684,0.9808,-1.2843,-9.1915,-3.4189,0.0197,-0.0541,-0.0121
P1S,S,82203,0.9962,0.9928,0.9938,0.9971,0.9669,-1.2753,-9.2250,-3.4243,0.0109,-0.0384,-0.0047
P1S,S,82223,0.9933,0.9911,1.0000,0.9942,1.0000,-1.2191,-9.2202,-3.3740,0.0188,-0.0433,0.0004
P1S,S,82243,0.9925,0.9928,0.9888,1.0000,0.9530,-1.2197,-9.2723,-3.3842,0.0200,-0.0262,0.0027
P1S,S,82263,0.9933,0.9911,1.0000,0.9624,0.9818,-1.1951,-9.2573,-3.3818,0.0169,-0.0424,-0.0024
P1S,S,82283,0.9936,0.9932,1.0000,0.9807,0.9697,-1.1981,-9.2496,-3.4249,0.0139,-0.0433,-0.0033
P1S,S,82303,0.9933,0.9936,0.9842,0.9953,1.0000,-1.2430,-9.2083,-3.4027,0.0196,-0.0221,-0.0020
P1S,S,82323,0.9899,0.9936,0.9551,0.9990,0.9660,-1.1897,-9.2400,-3.3913,0.0338,-0.0266,-0.0020
P1S,S,82343,0.9918,0.9949,1.0000,0.9713,0.9780,-1.2682,-9.2232,-3.4099,0.0296,-0.0177,0.0069
P1S,S,82363,0.9918,0.9899,0.9892,1.0000,0.9576,-1.1029,-9.2083,-3.4159,0.0432,-0.0193,0.0089
P1S,S,82383,0.9899,0.9895,1.0000,0.9788,0.9938,-1.2945,-9.2478,-3.4470,0.0433,-0.0197,0.0068
P1S,S,82403,0.9896,0.9924,0.9880,0.9893,1.0000,-1.3382,-9.3645,-3.4949,0.0353,0.0424,0.0316
P1S,S,82423,0.9914,0.9928,0.9772,0.9957,0.9483,-0.9730,-9.1951,-3.4087,-0.0246,0.0139,0.0313
P1S,S,82443,0.9829,0.9903,0.9938,0.9885,0.9674,-1.3322,-9.2741,-3.4578,-0.0225,-0.0534,0.0233
P1S,S,82463,0.9896,0.9928,0.9601,0.9609,0.9655,-1.3646,-9.0783,-3.3201,-0.0072,-0.0216,0.0272
P1S,S,82483,0.9910,0.9895,0.9901,0.9755,0.9455,-1.3795,-9.1586,-3.2560,0.0601,0.0021,0.0436
P1S,S,82503,0.9929,0.9907,0.9838,0.9915,0.9985,-1.1580,-9.1574,-3.2327,0.1086,-0.0069,0.0352
P1S,S,82523,0.9910,0.9920,0.9950,0.9758,0.9669,-1.2065,-9.3136,-3.3632,0.1308,-0.0353,0.0224
P1S,S,82543,0.9903,0.9907,0.9855,0.9938,1.0000,-1.1304,-9.3819,-3.4392,0.1147,-0.0300,0.0274
P1S,S,82563,0.9903,0.9886,1.0000,0.9908,0.9562,-1.1065,-9.3699,-3.5692,0.0629,-0.0452,0.0184
P1S,S,82583,0.9877,0.9874,0.9772,0.9885,1.0000,-1.1724,-9.1478,-3.5835,0.0372,-0.0366,0.0036
P1S,S,82603,0.9888,0.9878,0.9967,0.9998,0.9390,-1.1029,-9.1190,-3.5009,0.0604,-0.0055,0.0023
P1S,S,82623,0.9896,0.9874,0.9859,0.9949,0.9544,-1.0879,-9.1645,-3.5542,0.0766,-0.0044,-0.0088
P1S,S,82643,0.9859,0.9874,0.9880,0.9631,0.9734,-1.1490,-9.3939,-3.5877,0.0461,-0.0085,-0.0093
P1S,S,82663,0.9840,0.9857,0.9851,1.0000,0.9316,-1.0526,-9.3208,-3.5476,-0.0128,-0.0161,-0.0140
P1S,S,82683,0.9822,0.9878,0.9942,0.9957,0.9562,-1.0227,-9.2669,-3.5518,-0.0393,-0.0857,-0.0145
P1S,S,82703,0.9785,0.9865,0.9776,0.9919,0.9855,-1.1945,-8.9981,-3.4440,-0.0420,-0.1471,-0.0208
P1S,S,82723,0.9663,0.9824,0.9967,0.9964,0.9980,-1.0963,-8.8484,-3.3279,0.0552,-0.1956,-0.0236
P1S,S,82743,0.9607,0.9786,0.9896,0.9766,0.9613,-1.0275,-8.8915,-3.3428,0.1968,-0.3070,-0.0400
P1S,S,82763,0.9537,0.9686,0.9913,0.9927,0.9344,-1.2927,-9.1083,-3.5237,0.2934,-0.3881,-0.0465
P1S,S,82783,0.9426,0.9632,0.9876,0.9938,0.9121,-1.2897,-9.3076,-3.7769,0.2807,-0.4157,0.0031
P1S,S,82803,0.9330,0.9611,0.9776,1.0000,0.8578,-0.9580,-9.4639,-4.0230,0.1772,-0.5177,0.0358
P1S,S,82823,0.9145,0.9519,0.9755,1.0000,0.8995,-1.0766,-9.3172,-4.1260,0.0220,-0.6277,0.0562
P1S,S,82843,0.9071,0.9398,0.9476,1.0000,0.7746,-1.1394,-8.7724,-4.0117,-0.0438,-0.6556,0.0750
P1S,S,90863,0.9929,0.9219,0.8504,1.0000,0.7491,-0.6239,-9.4795,-2.3938,0.0099,-0.0218,-0.0020
