person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1T,T,158843,0.9902,0.9923,0.9927,0.9909,1.0000,-1.5412,-9.2825,-2.7537,0.0177,-0.0334,-0.0097
P1T,T,158863,0.9910,0.9927,0.9908,0.9744,1.0000,-1.9016,-9.2885,-2.8728,0.0175,-0.0711,-0.0294
P1T,T,158883,0.9906,0.9889,1.0000,1.0000,0.9517,-1.9771,-9.2933,-2.8303,0.0249,-0.0204,-0.0045
P1T,T,158903,0.9925,0.9915,0.9894,0.9636,0.9858,-1.8645,-9.3472,-2.8381,0.0120,0.0057,0.0116
P1T,T,158923,0.9921,0.9923,0.9880,0.9789,1.0000,-1.7753,-9.3017,-2.8195,-0.0029,-0.0213,0.0129
P1T,T,158943,0.9888,0.9940,1.0000,0.9767,1.0000,-1.7627,-9.3064,-2.8201,0.0036,-0.0654,-0.0060
P1T,T,158963,0.9914,0.9893,0.9927,0.9834,0.9531,-1.9112,-9.3376,-2.7824,0.0075,-0.0432,-0.0005
P1T,T,158983,0.9936,0.9910,0.9865,0.9924,0.9720,-1.7795,-9.3502,-2.7363,0.0059,-0.0025,0.0160
P1T,T,159003,0.9906,0.9915,0.9880,0.9748,0.9572,-1.7478,-9.3070,-2.7483,0.0039,0.0052,0.0100
P1T,T,159023,0.9902,0.9915,0.9951,0.9748,0.9766,-1.7609,-9.3496,-2.8285,0.0139,-0.0304,0.0009
P1T,T,159043,0.9906,0.9902,0.9961,0.9845,0.9660,-1.7633,-9.1951,-2.7555,0.0145,-0.0261,-0.0095
P1T,T,159063,0.9895,0.9923,0.9932,0.9830,0.9443,-1.9160,-9.4094,-2.8698,0.0410,-0.0228,0.0005
P1T,T,159083,0.9899,0.9927,0.9966,1.0000,1.0000,-1.8082,-9.2945,-2.8836,0.0265,-0.0016,0.0088
P1T,T,159103,0.9906,0.9923,0.9789,0.9886,0.9277,-1.7981,-9.3304,-2.8794,0.0133,-0.0115,0.0009
P1T,T,159123,0.9899,0.9893,0.9923,0.9954,0.9434,-1.7975,-9.3543,-2.8321,0.0028,-0.0346,-0.0027
P1T,T,159143,0.9914,0.9915,0.9985,1.0000,0.9734,-1.8376,-9.3651,-2.8782,-0.0052,-0.0425,0.0020
P1T,T,159163,0.9806,0.9906,1.0000,0.9957,1.0000,-1.7915,-9.2675,-2.8195,-0.0147,-0.0270,0.0044
P1T,T,159183,0.9921,0.9915,0.9880,0.9785,0.9277,-1.7005,-9.2675,-2.8112,-0.0043,-0.0232,0.0037
P1T,T,159203,0.9947,0.9889,0.9894,1.0000,1.0000,-1.7244,-9.2741,-2.7465,0.0095,-0.0446,-0.0133
P1T,T,159223,0.9884,0.9919,0.9899,0.9793,0.9572,-1.7496,-9.3705,-2.7028,0.0258,-0.0273,-0.0232
P1T,T,159243,0.9891,0.9850,0.9966,0.9957,1.0000,-1.7753,-9.4076,-2.7231,0.0204,-0.0357,-0.0225
P1T,T,159263,0.9910,0.9923,0.9856,0.9987,0.9010,-1.9046,-9.3286,-2.7752,0.0101,-0.0334,-0.0120
P1T,T,159283,0.9928,0.9902,0.9827,0.9808,0.9535,-1.8238,-9.3124,-2.8010,0.0176,-0.0120,0.0076
P1T,T,159303,0.9891,0.9872,0.9966,0.9666,0.9342,-1.7789,-9.2220,-2.7992,0.0168,-0.0528,-0.0113
P1T,T,159323,0.9891,0.9884,0.9908,0.9886,0.9203,-1.9819,-9.3178,-2.8644,0.0320,-0.0546,-0.0124
P1T,T,159343,0.9884,0.9893,0.9970,0.9883,0.9166,-1.8597,-9.2915,-2.8315,0.0204,-0.0017,0.0079
P1T,T,159363,0.9888,0.9889,0.9856,0.9871,0.9056,-1.7065,-9.3136,-2.8118,0.0217,-0.0293,0.0011
P1T,T,159383,0.9906,0.9893,0.9865,0.9883,0.9300,-1.8322,-9.3280,-2.8465,0.0233,-0.0493,-0.0159
P1T,T,159403,0.9877,0.9893,0.9923,0.9834,1.0000,-1.8430,-9.2669,-2.8225,0.0256,-0.0408,-0.0071
