person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1U,U,264703,0.9903,0.9914,0.9934,1.0000,0.9729,-0.3706,-9.8417,-0.6520,-0.0300,0.0212,0.0020
P1U,U,264723,0.9903,0.9901,0.9930,1.0000,0.9660,-0.2545,-9.8591,-0.5736,-0.0257,-0.0494,-0.0296
P1U,U,264743,0.9926,0.9914,0.9930,0.9880,1.0000,-0.5934,-9.9597,-0.5790,0.0037,-0.1211,-0.0428
P1U,U,264763,0.9930,0.9914,0.9947,0.9806,1.0000,-0.7975,-10.0615,-0.7239,0.0373,-0.0970,0.0035
P1U,U,264783,0.9895,0.9879,0.9943,1.0000,1.0000,-0.4616,-9.8896,-0.8275,0.0731,-0.0514,0.0549
P1U,U,264803,0.9918,0.9914,1.0000,0.9935,0.9502,-0.1485,-9.8549,-1.0718,0.1001,-0.0594,0.0648
P1U,U,264823,0.9918,0.9923,0.9908,0.9865,0.9391,-0.1509,-9.7262,-1.2203,0.1041,-0.0675,0.0466
P1U,U,264843,0.9903,0.9905,0.9908,0.9920,0.9428,-0.1760,-9.6567,-1.3592,0.0962,-0.0482,0.0262
P1U,U,264863,0.9872,0.9879,0.9843,0.9780,0.9349,-0.1862,-9.7268,-1.4969,0.0469,-0.0258,0.0063
P1U,U,264883,0.9903,0.9923,0.9860,1.0000,0.9414,-0.2024,-9.6813,-1.4969,-0.0262,0.0008,-0.0203
P1U,U,264903,0.9899,0.9923,1.0000,0.9931,1.0000,-0.3563,-9.6208,-1.4310,-0.0702,-0.0285,-0.0618
P1U,U,264923,0.9903,0.9905,0.9739,0.9718,0.9558,-0.6987,-9.6669,-1.3005,-0.0771,-0.0232,-0.0698
P1U,U,264943,0.9915,0.9923,0.9925,0.9961,1.0000,-0.8083,-9.7070,-1.0658,-0.0674,-0.0059,-0.0606
P1U,U,264963,0.9915,0.9914,0.9852,0.9891,0.9562,-0.7928,-9.7801,-0.9724,-0.0592,-0.0048,-0.0397
P1U,U,264983,0.9884,0.9888,1.0000,0.9942,1.0000,-0.7029,-9.7537,-0.9083,-0.0520,0.0053,-0.0187
P1U,U,265003,0.9903,0.9914,0.9908,0.9817,0.9599,-0.5802,-9.7591,-0.8712,-0.0420,0.0187,-0.0144
P1U,U,265023,0.9922,0.9914,0.9743,0.9806,0.9428,-0.4910,-9.7405,-0.8616,-0.0430,0.0121,-0.0266
P1U,U,265043,0.9915,0.9905,0.9921,0.9791,0.9808,-0.5664,-9.7393,-0.8436,-0.0561,-0.0035,-0.0369
P1U,U,265063,0.9888,0.9866,0.9895,0.9758,0.9729,-0.7071,-9.7495,-0.8490,-0.0516,0.0048,-0.0441
P1U,U,265083,0.9911,0.9905,0.9904,1.0000,1.0000,-0.7221,-9.7238,-0.8550,-0.0374,0.0027,-0.0397
P1U,U,265103,0.9884,0.9801,0.9908,0.9975,0.9785,-0.7850,-9.8603,-0.8784,-0.0286,-0.0027,-0.0333
P1U,U,265123,0.9888,0.9927,0.9891,1.0000,0.9808,-0.7586,-9.7855,-0.7993,-0.0228,-0.0269,-0.0256
P1U,U,265143,0.9895,0.9897,0.9813,0.9968,1.0000,-0.9083,-9.7944,-0.8335,-0.0168,-0.0530,-0.0071
P1U,U,265163,0.9888,0.9892,0.9921,0.9898,0.9804,-0.8634,-9.6705,-0.7496,0.0100,-0.0309,0.0069
P1U,U,265183,0.9880,0.9862,0.9834,0.9968,1.0000,-0.7113,-9.7609,-0.8281,0.0476,-0.0445,0.0081
P1U,U,265203,0.9899,0.9897,0.9700,1.0000,0.9762,-0.7125,-9.7202,-0.8520,0.0554,-0.0497,0.0091
P1U,U,265223,0.9880,0.9888,0.9908,0.9931,0.9618,-0.5742,-9.8070,-0.8844,0.0568,-0.0480,0.0155
P1U,U,265243,0.9903,0.9884,0.9947,0.9791,0.9618,-0.4628,-9.7202,-0.8658,0.0577,-0.0738,0.0161
