person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1V,V,375943,0.9913,0.9931,0.9856,0.9786,1.0000,-1.4592,-9.0867,-3.6955,0.0230,-0.0145,0.0105
P1V,V,375963,0.9917,0.9931,0.9846,0.9925,0.9633,-1.5616,-9.1035,-3.7308,0.0071,-0.0735,-0.0172
P1V,V,375983,0.9913,0.9919,0.9865,0.9891,0.9340,-1.7160,-9.0017,-3.7308,0.0156,-0.0810,-0.0167
P1V,V,376003,0.9883,0.9881,0.9836,0.9911,1.0000,-1.7472,-9.1107,-3.7919,0.0089,-0.0097,0.0217
P1V,V,376023,0.9906,0.9902,0.9933,0.9814,1.0000,-1.4544,-9.0394,-3.7656,0.0132,-0.0097,0.0337
P1V,V,376043,0.9906,0.9860,0.9846,0.9657,1.0000,-1.4113,-9.1136,-3.8632,0.0031,-0.0693,0.0092
P1V,V,376063,0.9921,0.9935,0.9831,1.0000,0.9725,-1.5430,-8.9436,-3.8183,0.0000,-0.0709,-0.0059
P1V,V,376083,0.9894,0.9893,0.9851,1.0000,0.9156,-1.4658,-9.0256,-3.7883,0.0136,-0.0424,0.0028
P1V,V,376103,0.9909,0.9872,0.9904,0.9922,0.9491,-1.3448,-9.1113,-3.7608,0.0163,-0.0536,-0.0040
P1V,V,376123,0.9909,0.9872,0.9972,0.9936,1.0000,-1.3406,-9.0663,-3.7404,0.0260,-0.0606,-0.0192
P1V,V,376143,0.9898,0.9877,0.9797,1.0000,1.0000,-1.4532,-9.1256,-3.7973,0.0288,-0.0538,-0.0280
P1V,V,376163,0.9894,0.9902,0.9773,0.9939,0.9468,-1.5867,-9.0951,-3.8440,0.0161,-0.0161,-0.0077
P1V,V,376183,0.9909,0.9902,0.9696,1.0000,0.9684,-1.5388,-9.0867,-3.8332,0.0001,0.0004,0.0000
P1V,V,376203,0.9898,0.9872,0.9541,0.9835,0.9083,-1.5394,-9.0119,-3.7482,0.0020,-0.0225,-0.0175
P1V,V,376223,0.9891,0.9872,0.9885,0.9859,0.9161,-1.6262,-9.0634,-3.7757,0.0173,-0.0408,-0.0197
P1V,V,376243,0.9842,0.9847,0.9860,0.9932,0.9422,-1.6591,-9.0568,-3.7482,0.0124,-0.0222,0.0033
P1V,V,376263,0.9879,0.9868,0.9880,0.9978,1.0000,-1.5059,-9.0747,-3.7183,0.0104,-0.0302,0.0028
P1V,V,376283,0.9891,0.9877,0.9788,0.9925,1.0000,-1.5107,-9.1041,-3.7356,0.0153,-0.0590,-0.0161
P1V,V,376303,0.9906,0.9868,0.9783,1.0000,0.9941,-1.6280,-9.0604,-3.7392,0.0121,-0.0440,-0.0105
P1V,V,376323,0.9898,0.9927,0.9686,0.9782,0.9473,-1.5687,-9.1119,-3.8320,0.0261,-0.0095,0.0035
P1V,V,376343,0.9909,0.9868,0.9846,1.0000,1.0000,-1.4220,-9.0454,-3.8183,0.0105,-0.0212,-0.0013
P1V,V,376363,0.9876,0.9919,0.9676,0.9828,0.9560,-1.5999,-9.0238,-3.8296,0.0031,-0.0488,-0.0005
P1V,V,376383,0.9909,0.9877,0.9885,0.9831,0.9445,-1.4705,-9.0867,-3.7973,0.0228,-0.0408,-0.0052
P1V,V,376403,0.9906,0.9877,0.9851,0.9974,0.9968,-1.4807,-9.0825,-3.7973,-0.0033,-0.0442,-0.0176
P1V,V,376423,0.9883,0.9881,1.0000,0.9946,1.0000,-1.6244,-9.0681,-3.7973,0.0001,-0.0248,-0.0141
P1V,V,376443,0.9861,0.9868,0.9856,1.0000,0.9184,-1.5256,-9.0053,-3.7440,0.0040,-0.0048,0.0009
