person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1W,W,558883,1.0000,0.9966,0.9887,1.0000,1.0000,-1.4945,-8.7993,-4.4793,0.0148,-0.0433,-0.0048
P1W,W,558903,0.9961,0.9979,1.0000,0.9849,0.9774,-1.4502,-8.7945,-4.4655,0.0017,-0.0241,0.0008
P1W,W,558923,0.9992,0.9949,0.9874,1.0000,0.9354,-1.4550,-8.7646,-4.4482,0.0099,-0.0358,-0.0091
P1W,W,558943,0.9969,0.9996,0.9947,1.0000,1.0000,-1.5292,-8.7933,-4.4170,0.0103,-0.0446,-0.0071
P1W,W,558963,0.9961,0.9979,0.9956,0.9869,0.9712,-1.6160,-8.8316,-4.4056,0.0143,-0.0073,0.0061
P1W,W,558983,0.9958,0.9966,1.0000,1.0000,0.9946,-1.4669,-8.8167,-4.3751,0.0096,0.0091,0.0161
P1W,W,559003,0.9961,0.9988,0.9956,1.0000,0.9631,-1.3963,-8.8089,-4.3985,0.0081,-0.0362,0.0007
P1W,W,559023,0.9958,1.0000,0.9741,0.9829,1.0000,-1.5101,-8.7945,-4.3907,0.0120,-0.0557,-0.0089
P1W,W,559043,0.9961,0.9957,1.0000,0.9931,0.9564,-1.5202,-8.7915,-4.4092,0.0236,-0.0334,-0.0041
P1W,W,559063,0.9965,0.9983,0.9968,0.9978,0.9865,-1.4574,-8.7789,-4.4476,0.0312,-0.0354,-0.0073
P1W,W,559083,0.9965,0.9944,0.9960,1.0000,0.9856,-1.5304,-8.8101,-4.4733,0.0172,-0.0342,0.0000
P1W,W,559103,0.9961,0.9957,0.9973,0.9806,1.0000,-1.5220,-8.7975,-4.4745,0.0099,-0.0301,0.0051
P1W,W,559123,0.9935,0.9957,0.9887,0.9806,0.9765,-1.4376,-8.7245,-4.4841,0.0107,-0.0381,-0.0007
P1W,W,559143,0.9950,0.9983,0.9960,0.9904,0.9679,-1.4741,-8.7873,-4.4733,0.0164,-0.0476,-0.0027
P1W,W,559163,0.9961,0.9979,1.0000,0.9798,1.0000,-1.4077,-8.8346,-4.4805,0.0075,-0.0376,-0.0040
P1W,W,559183,0.9954,0.9957,0.9947,0.9888,0.9430,-1.3837,-8.7885,-4.4176,-0.0048,-0.0356,-0.0084
P1W,W,559203,0.9942,1.0000,0.9973,0.9896,0.9459,-1.4346,-8.7634,-4.4038,0.0109,-0.0296,-0.0113
P1W,W,559223,0.9965,0.9992,0.9917,0.9849,0.9287,-1.4532,-8.8167,-4.4110,0.0187,-0.0248,-0.0159
P1W,W,559243,0.9965,0.9962,1.0000,1.0000,0.9244,-1.4867,-8.8448,-4.3979,0.0226,-0.0321,-0.0173
P1W,W,559263,0.9954,0.9944,0.9981,0.9876,0.9641,-1.5352,-8.8233,-4.4368,0.0193,-0.0246,-0.0147
P1W,W,559283,0.9958,0.9944,0.9973,0.9900,1.0000,-1.5520,-8.7682,-4.4661,0.0159,-0.0274,-0.0083
P1W,W,559303,0.9961,0.9979,0.9913,0.9927,0.9287,-1.6382,-8.7658,-4.4829,0.0195,-0.0216,-0.0025
P1W,W,559323,0.9977,0.9949,1.0000,0.9951,1.0000,-1.5244,-8.7951,-4.4278,0.0103,-0.0160,0.0027
P1W,W,559343,0.9931,0.9949,0.9844,0.9935,0.9430,-1.4909,-8.7807,-4.4194,0.0164,-0.0537,-0.0104
P1W,W,559363,0.9961,0.9953,0.9921,0.9962,0.9655,-1.5699,-8.7975,-4.4332,0.0171,-0.0494,-0.0116
P1W,W,559383,0.9969,0.9962,0.9938,1.0000,0.9985,-1.5184,-8.8143,-4.4314,0.0121,-0.0409,0.0040
P1W,W,559403,0.9965,0.9962,0.9956,0.9853,0.9440,-1.4681,-8.7640,-4.4595,0.0128,-0.0348,0.0028
P1W,W,559423,0.9950,0.9953,0.9951,1.0000,0.9770,-1.4394,-8.7514,-4.4206,0.0164,-0.0298,-0.0009
P1W,W,559443,0.9946,0.9957,1.0000,1.0000,1.0000,-1.4933,-8.8179,-4.4637,0.0215,-0.0440,-0.0115
P1W,W,559463,0.9965,0.9940,0.9938,0.9880,1.0000,-1.5568,-8.7592,-4.5158,0.0080,-0.0220,-0.0044
P1W,W,559483,0.9946,0.9983,0.9917,1.0000,1.0000,-1.4885,-8.7682,-4.4619,0.0133,-0.0116,0.0027
P1W,W,559503,0.9942,0.9953,0.9973,1.0000,1.0000,-1.4161,-8.8089,-4.4362,0.0053,-0.0336,-0.0067
P1W,W,559523,0.9958,0.9944,0.9861,1.0000,1.0000,-1.4783,-8.7957,-4.4194,0.0081,-0.0560,-0.0226
P1W,W,559543,0.9938,0.9970,0.9951,1.0000,0.9392,-1.5484,-8.8370,-4.4799,0.0149,-0.0468,-0.0137
P1W,W,559563,0.9927,0.9949,0.9986,0.9986,1.0000,-1.5406,-8.7760,-4.4482,0.0067,-0.0284,-0.0056
P1W,W,559583,0.9969,0.9931,0.9895,0.9994,0.9282,-1.4885,-8.8137,-4.4314,-0.0032,-0.0260,-0.0044
P1W,W,580483,0.8491,0.1173,0.0000,0.0000,0.7886,-0.1880,-9.8753,-0.4521,0.0135,-0.0497,0.0097
P1W,W,580503,0.8476,0.1229,0.0000,0.0000,0.9129,-0.2383,-9.8681,-0.4179,-0.0733,-0.0605,0.0116
P1W,W,580543,0.8479,0.1212,0.0000,0.0000,0.8656,-0.1233,-9.7370,-0.1497,-0.0288,-0.0204,-0.0013
P1W,W,580563,0.8468,0.1181,0.0000,0.0000,0.8799,-0.1599,-9.8890,-0.0814,-0.0224,-0.0003,-0.0217
P1W,W,580583,0.8468,0.1186,0.0000,0.0000,0.9029,-0.1958,-9.8866,0.0641,0.0012,-0.0101,-0.0301
P1W,W,580603,0.8491,0.1169,0.0000,0.0000,0.8971,-0.1928,-9.8609,-0.0012,0.0000,-0.0193,-0.0524
P1W,W,580623,0.8479,0.1216,0.0000,0.0000,0.8613,-0.3616,-9.7849,0.0174,0.0297,-0.0224,-0.0609
P1W,W,580643,0.8449,0.1181,0.0000,0.0000,0.8680,-0.3916,-9.8028,-0.0802,0.0344,-0.0378,-0.0568
P1W,W,580663,0.8468,0.1169,0.0000,0.0000,0.8622,-0.4982,-9.8789,-0.1641,0.0105,-0.0047,-0.0468
P1W,W,580683,0.8460,0.1069,0.0000,0.0000,0.8680,-0.4527,-9.8094,-0.1748,0.0047,0.0305,-0.0332
P1W,W,580703,0.8472,0.1160,0.0000,0.0000,0.8675,-0.3748,-9.9202,-0.1659,0.0140,-0.0103,-0.0341
P1W,W,580723,0.8460,0.1220,0.0000,0.0000,0.8240,-0.5203,-9.7052,-0.2413,-0.0081,-0.0449,-0.0365
P1W,W,580743,0.8487,0.1199,0.0000,0.0000,0.9387,-0.6628,-9.7765,-0.3114,0.0073,-0.0286,-0.0236
P1W,W,580763,0.8476,0.1194,0.0000,0.0000,0.8594,-0.4682,-9.7795,-0.3269,0.0028,-0.0332,-0.0123
P1W,W,580783,0.8468,0.1225,0.0000,0.0000,0.8871,-0.5353,-9.7106,-0.2551,0.0225,-0.0357,-0.0073
P1W,W,580803,0.8472,0.1160,0.0000,0.0000,0.8317,-0.4227,-9.7513,-0.2203,0.0119,-0.0024,-0.0019
P1W,W,580823,0.8479,0.1190,0.0000,0.0000,0.8579,-0.3347,-9.8166,-0.1790,0.0057,-0.0374,0.0019
P1W,W,580843,0.8487,0.1190,0.0000,0.0000,0.8771,-0.4461,-9.8495,-0.2006,-0.0261,-0.0717,-0.0113
P1W,W,580863,0.8483,0.1233,0.0000,0.0000,0.8747,-0.4664,-9.7328,-0.1305,-0.0389,-0.0332,-0.0096
P1W,W,580883,0.8498,0.1203,0.0000,0.0000,0.7862,-0.4676,-9.7184,-0.0748,-0.0060,-0.0072,-0.0079
P1W,W,580903,0.8464,0.1199,0.0000,0.0000,0.8904,-0.3682,-9.7747,-0.0096,0.0213,0.0168,-0.0027
P1W,W,580923,0.8464,0.1190,0.0000,0.0000,0.8890,-0.2808,-9.9226,-0.0419,0.0011,-0.0445,-0.0085
P1W,W,580943,0.8434,0.1220,0.0000,0.0000,0.8116,-0.4952,-9.7370,-0.0671,-0.0246,-0.0612,-0.0080
P1W,W,580963,0.8464,0.1220,0.0000,0.0000,0.9349,-0.5491,-9.6759,-0.1120,0.0056,-0.0143,-0.0140
P1W,W,580983,0.8544,0.1259,0.0000,0.0000,0.8876,-0.4072,-9.7902,-0.0724,0.0480,0.0249,-0.0015
P1W,W,581003,0.8472,0.1229,0.0000,0.0000,0.8900,-0.3048,-9.8393,-0.0269,0.0461,-0.0268,-0.0052
P1W,W,581023,0.8483,0.1246,0.0000,0.0000,0.9077,-0.4419,-9.8866,-0.0635,0.0137,-0.0550,-0.0135
P1W,W,581043,0.8491,0.1264,0.0000,0.0000,0.8264,-0.5036,-9.6914,-0.1515,-0.0398,-0.0161,-0.0224
P1W,W,581063,0.8479,0.1268,0.0000,0.0000,0.8584,-0.4281,-9.6190,-0.0671,0.0294,0.0225,-0.0248
P1W,W,581083,0.8476,0.1268,0.0000,0.0000,0.7891,-0.3173,-9.7399,-0.0778,0.0622,-0.0007,-0.0400
P1W,W,581103,0.8502,0.1290,0.0000,0.0000,0.8909,-0.3658,-9.9417,-0.1413,0.0755,-0.0085,-0.0629
P1W,W,581123,0.8476,0.1277,0.0000,0.0000,0.9301,-0.4084,-9.8226,-0.1940,0.0242,-0.0145,-0.0297
P1W,W,581143,0.8487,0.1385,0.0000,0.0000,0.8675,-0.3958,-9.8184,-0.3335,0.0071,-0.0155,-0.0199
P1W,W,581163,0.8457,0.1333,0.0000,0.0000,0.7590,-0.4640,-9.4717,-0.3251,0.0216,-0.0341,-0.0047
P1W,W,581183,0.8460,0.1363,0.0000,0.0000,0.8761,-0.4341,-9.8621,-0.2790,0.0870,-0.0400,-0.0035
P1W,W,581203,0.8491,0.1367,0.0000,0.0000,0.7996,-0.5838,-10.0717,-0.1868,0.0473,-0.0361,-0.0221
P1W,W,581223,0.8502,0.1346,0.0000,0.0000,0.8986,-0.3587,-9.9561,-0.2563,-0.0317,-0.0416,-0.0229
P1W,W,581243,0.8464,0.1359,0.0000,0.0000,0.7886,-0.5820,-9.6154,-0.3126,-0.0681,-0.0753,-0.0164
P1W,W,581263,0.8483,0.1419,0.0000,0.0000,0.8254,-0.6065,-9.6130,-0.2778,-0.0028,-0.0273,0.0044
P1W,W,581283,0.8498,0.1376,0.0000,0.0000,0.9263,-0.3533,-9.8160,-0.2132,0.0297,-0.0020,-0.0007
P1W,W,581303,0.8483,0.1376,0.0000,0.0000,0.8178,-0.3509,-9.8172,-0.1623,0.0318,-0.0432,-0.0100
P1W,W,581323,0.8506,0.1385,0.0000,0.0000,0.8565,-0.3724,-9.9070,-0.1156,0.0093,-0.0389,-0.0151
P1W,W,581343,0.8514,0.1359,0.0000,0.0000,0.8130,-0.4844,-9.7088,-0.1186,-0.0193,-0.0486,-0.0097
P1W,W,581363,0.8514,0.1367,0.0000,0.0000,0.8231,-0.4718,-9.7088,-0.1479,0.0063,-0.0381,-0.0204
P1W,W,581383,0.8502,0.1354,0.0000,0.0000,0.8259,-0.3778,-9.7411,-0.2173,0.0080,-0.0360,-0.0191
P1W,W,581403,0.8510,0.1372,0.0000,0.0000,0.8235,-0.4742,-9.7807,-0.2263,0.0349,-0.0176,-0.0230
P1W,W,581423,0.8518,0.1359,0.0000,0.0000,0.7925,-0.3880,-9.8854,-0.2772,-0.0008,-0.0036,-0.0310
P1W,W,581443,0.8537,0.1363,0.0000,0.0000,0.8020,-0.4814,-9.7208,-0.3527,-0.0096,-0.0472,-0.0252
P1W,W,581463,0.8514,0.1376,0.0000,0.0000,0.7710,-0.5071,-9.8920,-0.3545,0.0017,-0.0349,-0.0129
P1W,W,581483,0.8479,0.1359,0.0000,0.0000,0.8063,-0.4772,-9.9190,-0.3275,-0.0297,-0.0678,-0.0129
P1W,W,581503,0.8529,0.1354,0.0000,0.0000,0.7738,-0.5904,-9.7483,-0.2191,-0.0506,-0.0244,0.0000
P1W,W,581523,0.8506,0.1354,0.0000,0.0000,0.8278,-0.3066,-9.7711,-0.0856,-0.0513,-0.0001,-0.0004
P1W,W,581543,0.8510,0.1346,0.0000,0.0000,0.7853,-0.3209,-9.7849,0.0210,-0.0496,-0.0677,-0.0143
P1W,W,581563,0.8514,0.1342,0.0000,0.0000,0.8713,-0.4545,-9.6885,0.0868,-0.0460,-0.0866,-0.0288
P1W,W,581583,0.8510,0.1342,0.0000,0.0000,0.8369,-0.4808,-9.8872,0.1018,-0.0215,-0.0384,-0.0274
P1W,W,581603,0.8495,0.1342,0.0000,0.0000,0.7700,-0.5796,-9.9094,0.1269,-0.0187,-0.0278,-0.0260
P1W,W,581623,0.8487,0.1398,0.0000,0.0000,0.8747,-0.4910,-9.7340,0.1904,0.0213,-0.0104,-0.0252
P1W,W,581643,0.8487,0.1359,0.0000,0.0000,0.8011,-0.5982,-9.7986,0.0425,0.0325,-0.0397,-0.0240
P1W,W,581663,0.8502,0.1333,0.0000,0.0000,0.8732,-0.6185,-9.8561,-0.1641,-0.0113,-0.0349,-0.0310
P1W,W,581683,0.8491,0.1329,0.0000,0.0000,0.8708,-0.6562,-9.5897,-0.2299,-0.0285,-0.0136,-0.0310
P1W,W,581703,0.8514,0.1337,0.0000,0.0000,0.8646,-0.6688,-9.6561,-0.2712,0.0128,-0.0116,-0.0241
P1W,W,581723,0.8476,0.1333,0.0000,0.0000,0.8226,-0.6059,-9.8657,-0.2593,-0.0085,-0.0152,-0.0097
P1W,W,581743,0.8495,0.1342,0.0000,0.0000,0.8498,-0.5497,-9.8214,-0.1659,-0.0357,-0.0377,-0.0029
P1W,W,581763,0.8487,0.1346,0.0000,0.0000,0.8302,-0.6389,-9.8753,-0.0940,-0.0670,-0.0352,-0.0052
P1W,W,581783,0.8540,0.1333,0.0000,0.0000,0.8565,-0.5694,-9.6220,0.0461,-0.0514,-0.0413,0.0028
P1W,W,581803,0.8495,0.1342,0.0000,0.0000,0.9163,-0.5012,-9.7567,0.1365,0.0017,-0.0434,0.0168
P1W,W,581823,0.8502,0.1342,0.0000,0.0000,0.9143,-0.4796,-9.8471,0.0724,-0.0069,-0.0402,0.0076
P1W,W,581843,0.8491,0.1324,0.0000,0.0000,0.8852,-0.4742,-9.7974,0.0425,-0.0164,-0.0392,-0.0024
P1W,W,581863,0.8479,0.1350,0.0000,0.0000,0.8713,-0.5371,-9.7980,0.0629,-0.0047,-0.0702,0.0005
P1W,W,581883,0.8479,0.1342,0.0000,0.0000,0.8785,-0.5263,-9.7208,0.0964,0.0448,-0.0374,0.0040
P1W,W,581903,0.8479,0.1359,0.0000,0.0000,0.8517,-0.3820,-9.7992,0.0347,0.0580,-0.0234,0.0037
