person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1X,X,683123,0.9923,0.9892,0.9996,0.9942,1.0000,-1.8537,-9.5070,-1.6843,0.0309,-0.0586,0.0043
P1X,X,683143,0.9923,0.9918,0.9965,0.9763,0.9995,-1.9448,-9.5070,-1.7873,0.0284,-0.0605,-0.0020
P1X,X,683163,0.9927,0.9866,0.9942,1.0000,1.0000,-1.9220,-9.5669,-1.9184,0.0233,-0.0203,0.0088
P1X,X,683183,0.9927,0.9947,0.9933,0.9968,1.0000,-1.7765,-9.4789,-1.9226,-0.0016,-0.0132,0.0145
P1X,X,683203,0.9938,0.9870,1.0000,0.9886,1.0000,-1.8082,-9.5465,-1.9034,-0.0099,-0.0496,0.0036
P1X,X,683223,0.9907,0.9892,0.9832,0.9778,1.0000,-1.8502,-9.5082,-1.9226,-0.0250,-0.0573,0.0048
P1X,X,683243,0.9938,0.9841,1.0000,1.0000,1.0000,-1.8406,-9.4154,-1.8196,-0.0200,-0.0444,0.0047
P1X,X,683263,0.9950,0.9892,0.9765,0.9797,0.9530,-1.7615,-9.4478,-1.7166,0.0093,-0.0392,0.0032
P1X,X,683283,0.9927,0.9853,0.9849,1.0000,1.0000,-1.7825,-9.5933,-1.7645,0.0205,-0.0436,-0.0101
P1X,X,683303,0.9907,0.9896,0.9898,1.0000,0.9681,-1.7741,-9.5310,-1.7172,0.0164,-0.0288,-0.0145
P1X,X,683323,0.9931,0.9913,0.9973,0.9950,1.0000,-1.7963,-9.5777,-1.7178,0.0088,-0.0277,-0.0168
P1X,X,683343,0.9915,0.9866,0.9951,1.0000,1.0000,-1.8214,-9.4573,-1.7088,-0.0020,-0.0310,-0.0192
P1X,X,683363,0.9931,0.9883,0.9902,0.9979,0.9416,-1.8100,-9.4382,-1.6741,0.0506,-0.0273,-0.0304
P1X,X,683383,0.9919,0.9875,0.9916,0.9886,1.0000,-1.7232,-9.5148,-1.7262,0.0749,-0.0470,-0.0481
P1X,X,683403,0.9907,0.9862,0.9916,0.9883,0.9964,-1.9454,-9.6435,-1.8430,0.0605,-0.0390,-0.0549
P1X,X,683423,0.9923,0.9943,0.9894,0.9801,1.0000,-2.0304,-9.5657,-1.8525,0.0313,0.0215,-0.0322
P1X,X,683443,0.9919,0.9870,0.9814,0.9819,0.9725,-1.9759,-9.4873,-1.7502,0.0184,0.0466,-0.0107
P1X,X,683463,0.9946,0.9875,0.9894,0.9957,0.9305,-1.8537,-9.4933,-1.7945,0.0261,0.0008,-0.0103
P1X,X,683483,0.9876,0.9892,0.9809,0.9868,0.9676,-2.0501,-9.4861,-1.8196,0.0298,-0.0637,-0.0172
P1X,X,683503,0.9911,0.9870,0.9951,0.9842,0.9623,-2.1046,-9.5070,-1.8508,0.0293,-0.0313,0.0035
P1X,X,683523,0.9911,0.9875,1.0000,0.9972,1.0000,-1.8813,-9.5292,-1.8627,0.0157,-0.0302,0.0137
P1X,X,683543,0.9888,0.9862,0.9991,0.9968,0.9349,-1.8915,-9.4861,-1.8531,-0.0081,-0.0553,0.0080
P1X,X,683563,0.9927,0.9862,0.9747,1.0000,0.9141,-1.8519,-9.4627,-1.7945,-0.0111,-0.0353,0.0027
P1X,X,683583,0.9907,0.9858,1.0000,0.9924,1.0000,-1.7807,-9.4645,-1.7460,0.0012,-0.0484,-0.0061
P1X,X,683603,0.9795,0.9922,0.9916,1.0000,0.9703,-1.8436,-9.5783,-1.7142,0.0240,-0.0670,-0.0120
P1X,X,683623,0.9927,0.9870,0.9929,1.0000,1.0000,-1.8681,-9.6160,-1.7364,0.0153,-0.0569,-0.0067
