person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1Y,Y,35663,0.9919,0.9880,0.9864,0.9994,1.0000,-1.9046,-8.9460,-3.9715,-0.0064,0.0041,0.0136
P1Y,Y,35683,0.9956,0.9900,0.9922,1.0000,0.9754,-1.7508,-8.8388,-3.9278,0.0005,-0.0308,-0.0017
P1Y,Y,35703,0.9959,0.9912,1.0000,0.9939,0.9138,-1.9567,-8.9586,-3.9440,0.0264,-0.0560,-0.0242
P1Y,Y,35723,0.9952,0.9900,0.9911,1.0000,0.9378,-1.9454,-9.0023,-3.9494,0.0017,-0.0140,-0.0101
P1Y,Y,35743,0.9937,0.9896,0.9942,1.0000,0.9284,-1.9052,-9.0244,-3.9410,-0.0135,-0.0325,0.0036
P1Y,Y,35763,0.9919,0.9888,0.9961,0.9961,1.0000,-1.9531,-8.8478,-3.9153,-0.0116,-0.0317,-0.0037
P1Y,Y,35783,0.9945,0.9896,0.9950,1.0000,0.9929,-1.9250,-8.8071,-3.8542,0.0252,-0.0237,-0.0085
P1Y,Y,35803,0.9930,0.9888,0.9930,0.9954,0.9528,-1.8759,-9.0220,-3.8698,0.0490,-0.0217,-0.0087
P1Y,Y,35823,0.9959,0.9956,0.9771,1.0000,1.0000,-1.9028,-9.0208,-3.8590,0.0226,-0.0401,-0.0068
P1Y,Y,35843,0.9937,0.9908,0.9965,0.9990,0.9660,-1.9190,-8.9502,-3.8871,0.0059,-0.0007,0.0071
P1Y,Y,35863,0.9941,0.9904,0.9930,1.0000,0.9594,-1.8268,-8.9400,-3.9326,0.0143,-0.0088,0.0052
P1Y,Y,35883,0.9937,0.9872,0.9887,0.9965,1.0000,-1.8759,-8.8825,-3.9374,0.0277,-0.0298,-0.0161
P1Y,Y,35903,0.9945,0.9869,0.9876,0.9979,1.0000,-1.8561,-8.9119,-4.0476,0.0292,-0.0492,-0.0209
P1Y,Y,35923,0.9930,0.9884,0.9604,0.9968,1.0000,-2.0471,-9.0286,-4.0925,0.0093,-0.0341,-0.0124
P1Y,Y,35943,0.9923,0.9912,0.9895,1.0000,0.9999,-1.9208,-8.8568,-3.9931,-0.0207,-0.0103,0.0019
P1Y,Y,35963,0.9945,0.9861,1.0000,0.9807,1.0000,-1.8286,-8.8915,-3.9302,-0.0039,-0.0446,-0.0151
P1Y,Y,35983,0.9930,0.9880,0.9755,0.9594,0.9557,-2.0196,-8.9113,-3.9123,0.0036,-0.0406,-0.0237
P1Y,Y,36003,0.9952,0.9861,1.0000,0.9990,0.9397,-1.9472,-8.9729,-3.8560,0.0141,-0.0109,-0.0072
P1Y,Y,36023,0.9926,0.9900,0.9950,0.9906,1.0000,-1.8280,-9.0035,-3.8668,-0.0053,-0.0397,-0.0065
P1Y,Y,36043,0.9923,0.9880,0.9915,0.9968,1.0000,-1.9633,-8.9119,-3.8021,0.0024,-0.0565,-0.0204
P1Y,Y,36063,0.9952,0.9853,0.9915,0.9645,0.9745,-2.0070,-8.9472,-3.8614,0.0306,-0.0308,-0.0116
P1Y,Y,36083,0.9970,0.9888,0.9907,0.9976,1.0000,-1.9076,-8.9592,-3.9057,0.0322,-0.0252,-0.0037
P1Y,Y,36103,0.9941,0.9861,1.0000,0.9939,0.9674,-1.9483,-9.0172,-3.9410,0.0208,-0.0388,-0.0089
P1Y,Y,36123,0.9926,0.9896,0.9907,0.9972,1.0000,-1.9448,-8.8849,-3.9697,0.0157,-0.0441,-0.0133
P1Y,Y,36143,0.9926,0.9884,0.9651,0.9932,1.0000,-1.9962,-8.8819,-3.9847,0.0103,-0.0601,-0.0075
P1Y,Y,36163,0.9934,0.9876,0.9748,0.9818,0.9783,-1.9974,-8.8837,-3.9614,0.0226,-0.0481,-0.0024
P1Y,Y,36183,0.9912,0.9865,0.9953,0.9987,0.9731,-1.8478,-8.9628,-3.9757,0.0132,-0.0505,-0.0065
P1Y,Y,36203,0.9915,0.9869,0.9717,0.9711,1.0000,-1.9921,-8.9244,-3.9422,0.0080,-0.0536,-0.0104
P1Y,Y,36223,0.9934,0.9861,0.9988,1.0000,0.9133,-1.8525,-8.9358,-3.9171,0.0077,-0.0191,0.0035
P1Y,Y,36243,0.9923,0.9865,0.9977,0.9939,0.9340,-1.9112,-8.9711,-3.9757,0.0096,-0.0378,-0.0019
P1Y,Y,36263,0.9904,0.9845,0.9922,0.9979,1.0000,-1.8585,-8.9244,-3.9212,0.0179,-0.0308,-0.0115
P1Y,Y,36283,0.9908,0.9896,0.9953,0.9972,0.9453,-1.9495,-8.9550,-3.9194,0.0228,-0.0360,-0.0136
P1Y,Y,36303,0.9904,0.9876,1.0000,0.9968,0.9368,-2.0004,-8.9508,-3.9177,0.0242,-0.0352,-0.0099
P1Y,Y,36323,0.9919,0.9861,0.9953,0.9965,0.9373,-1.9196,-8.8957,-3.8889,0.0365,-0.0115,-0.0016
P1Y,Y,42043,0.0037,0.6287,0.6260,0.8489,0.0119,-0.2509,-9.0604,-4.3919,-0.0582,-0.0437,-0.0281
P1Y,Y,42063,0.0011,0.6291,0.6233,0.8485,0.0016,-0.3934,-9.0101,-4.1733,-0.0751,-0.0101,-0.0148
P1Y,Y,42083,0.0051,0.6287,0.6326,0.8636,0.0000,-0.3036,-9.1598,-4.0512,-0.0823,0.0112,-0.0095
P1Y,Y,42103,0.0029,0.6259,0.6253,0.8482,0.0180,-0.2012,-9.0741,-3.8889,-0.0857,-0.0290,-0.0197
P1Y,Y,42123,0.0018,0.6311,0.6346,0.8518,0.0000,-0.3377,-9.1508,-3.8177,-0.0401,-0.0757,-0.0108
P1Y,Y,42143,0.0044,0.6283,0.6124,0.8434,0.0270,-0.3670,-9.2089,-3.8147,-0.0273,-0.0376,0.0007
