person_id,label,timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
P1Z,Z,87243,0.9928,0.9910,1.0000,1.0000,0.9567,-1.0556,-9.6926,-1.0820,0.0184,-0.0334,0.0060
P1Z,Z,87263,0.9895,0.9851,0.9922,0.9821,1.0000,-1.1400,-9.6418,-1.1215,0.0013,-0.0369,0.0028
P1Z,Z,87283,0.9921,0.9876,1.0000,0.9919,1.0000,-0.9718,-9.7154,-1.1640,-0.0120,-0.0292,0.0191
P1Z,Z,87303,0.9899,0.9885,1.0000,0.9802,0.9999,-1.0077,-9.6429,-1.1472,-0.0273,-0.0413,0.0077
P1Z,Z,87323,0.9925,0.9885,0.9521,0.9798,0.9891,-1.0149,-9.7232,-1.1095,-0.0234,-0.0400,-0.0007
P1Z,Z,87343,0.9917,0.9885,0.9846,1.0000,0.9694,-1.0724,-9.7256,-1.0778,-0.0292,-0.0232,-0.0005
P1Z,Z,87363,0.9872,0.9881,0.9635,0.9926,0.9783,-0.9873,-9.7376,-1.0299,-0.0268,-0.0156,0.0036
P1Z,Z,87383,0.9943,0.9885,1.0000,0.9667,0.9952,-1.0131,-9.7364,-0.9652,-0.0232,-0.0322,0.0020
P1Z,Z,87403,0.9880,0.9864,0.9922,0.9813,0.9811,-1.0616,-9.8118,-0.9778,0.0105,-0.0412,0.0029
P1Z,Z,87423,0.9887,0.9872,1.0000,0.9960,0.9356,-0.9826,-9.8627,-0.9993,0.0132,-0.0309,0.0075
P1Z,Z,87443,0.9891,0.9881,0.9913,0.9904,0.9750,-1.1035,-9.7579,-1.0155,0.0184,-0.0365,0.0032
P1Z,Z,87463,0.9876,0.9972,1.0000,0.9889,0.9238,-0.8981,-9.7615,-1.0550,0.0338,-0.0131,-0.0032
P1Z,Z,87483,0.9876,0.9876,0.9942,0.9975,0.9450,-0.9844,-9.7088,-1.0855,0.0191,-0.0292,-0.0184
P1Z,Z,87503,0.9872,0.9864,0.9913,0.9990,0.9163,-1.0424,-9.7352,-1.0634,0.0085,-0.0244,-0.0159
P1Z,Z,87523,0.9895,0.9901,1.0000,0.9780,0.9384,-1.0329,-9.6178,-0.9993,0.0004,-0.0104,-0.0101
P1Z,Z,87543,0.9891,0.9885,1.0000,0.9911,0.9252,-1.0867,-9.7286,-1.0149,0.0107,-0.0318,-0.0089
P1Z,Z,87563,0.9876,0.9989,0.9774,0.9945,1.0000,-1.0951,-9.6400,-0.9305,0.0031,-0.0378,-0.0124
P1Z,Z,87583,0.9891,0.9926,0.9875,1.0000,0.9271,-1.1472,-9.6932,-0.9281,0.0099,-0.0425,-0.0049
P1Z,Z,87603,0.9925,0.9872,1.0000,0.9941,0.9224,-1.0305,-9.7567,-0.9963,0.0084,-0.0336,0.0087
P1Z,Z,87623,0.9921,0.9876,0.9731,0.9904,1.0000,-0.9478,-9.7190,-0.9502,0.0041,-0.0494,0.0005
P1Z,Z,87643,0.9861,0.9781,1.0000,0.9952,0.9398,-0.9682,-9.7495,-1.0167,0.0215,-0.0492,-0.0059
P1Z,Z,87663,0.9876,0.9851,0.9884,1.0000,0.9360,-0.9945,-9.7795,-1.0520,0.0101,-0.0522,-0.0052
P1Z,Z,87683,0.9884,0.9914,0.9875,1.0000,0.9351,-1.0209,-9.7262,-1.0873,0.0041,-0.0398,0.0024
P1Z,Z,87703,0.9872,0.9897,0.9894,1.0000,0.9694,-0.9903,-9.7238,-1.0568,0.0109,-0.0322,-0.0009
P1Z,Z,87723,0.9872,0.9881,1.0000,0.9937,0.9698,-1.0311,-9.7801,-1.0676,0.0208,-0.0385,-0.0076
P1Z,Z,87743,0.9887,0.9864,0.9607,0.9926,1.0000,-0.9820,-9.7789,-1.0287,0.0157,-0.0211,-0.0009
P1Z,Z,87763,0.9861,0.9914,0.9865,1.0000,0.9515,-0.9760,-9.7298,-1.0203,0.0139,-0.0248,0.0059
P1Z,Z,87783,0.9895,0.9997,0.9554,0.9930,1.0000,-0.9299,-9.7465,-1.0526,0.0071,-0.0292,-0.0108
P1Z,Z,87803,0.9914,0.9864,0.9803,0.9926,1.0000,-1.0406,-9.7453,-1.0239,0.0009,-0.0448,-0.0218
P1Z,Z,87823,0.9854,0.9851,0.9879,0.9630,0.9670,-1.1448,-9.6861,-1.0179,-0.0017,-0.0264,-0.0049
P1Z,Z,87843,0.9876,0.9876,0.9870,0.9975,1.0000,-1.0095,-9.7525,-1.0287,0.0152,0.0017,0.0036
P1Z,Z,87863,0.9872,0.9864,0.9898,0.9836,1.0000,-0.9760,-9.7148,-1.0478,0.0115,-0.0217,-0.0141
P1Z,Z,87883,0.9876,0.9872,0.9683,0.9802,0.9896,-1.1065,-9.7447,-1.0861,0.0056,-0.0470,-0.0141
P1Z,Z,87903,0.9861,0.9860,0.9903,0.9926,1.0000,-1.1418,-9.6759,-1.0460,-0.0017,-0.0208,0.0003
P1Z,Z,87923,0.9895,0.9860,0.9894,0.9900,1.0000,-0.9790,-9.7058,-1.0466,0.0065,-0.0141,0.0068
P1Z,Z,98303,0.9384,0.6186,0.5502,0.0000,0.7337,1.2286,-9.4268,-1.8388,-0.0169,-0.0302,0.1001
P1Z,Z,98323,0.9387,0.6203,0.5535,0.0000,0.7849,1.3610,-9.6926,-2.1633,-0.0442,0.0416,0.0929
P1Z,Z,98343,0.9395,0.6174,0.5535,0.0000,0.7929,1.6520,-9.9579,-2.3920,-0.0970,0.1335,0.0834
P1Z,Z,98363,0.9376,0.6194,0.5559,0.0000,0.8206,1.8669,-9.9579,-2.5699,-0.1633,0.2745,0.0903
P1Z,Z,98383,0.9391,0.6182,0.5248,0.0000,0.7553,2.4860,-9.8938,-3.0722,-0.2192,0.5173,0.1524
P1Z,Z,98403,0.9361,0.6169,0.5492,0.0000,0.7670,3.3872,-9.7286,-3.3446,-0.3055,0.9070,0.1816
P1Z,Z,98423,0.9373,0.6140,0.5229,0.0000,0.7638,4.2997,-9.4448,-3.2165,-0.4363,1.2347,0.0573
